timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-03-24 10:06:07.358222,ea-k3s-node-us-east-2-3,"",metrics-database-6c5586d74-snsw2,kube-system,12,0,0,""
2023-03-24 10:06:07.359744,k3s-master,"",coredns-5b5bf59798-mvlm2,kube-system,3,0,0,""
2023-03-24 10:06:07.361251,ea-k3s-node-us-east-2-3,"",dispatcher-8flgq,default,1,0,0,""
2023-03-24 10:06:07.362849,ea-k3s-node-us-east-2-1,dynamic-html,dynamic-html-yxxvi8hv,openfaas-fn,1,200,200,community-2
2023-03-24 10:06:07.364142,ea-k3s-node-us-east-2-1,"",dispatcher-nxwkg,default,1,0,0,""
2023-03-24 10:06:07.36539,k3s-master,"",traefik-7f48667fb9-gvm5j,kube-system,4,0,0,""
2023-03-24 10:06:07.368307,k3s-master,"",metrics-server-c6799cf48-b7j62,kube-system,6,0,0,""
2023-03-24 10:06:07.369879,k3s-master,"",svclb-traefik-p5jfb,kube-system,0,0,0,""
2023-03-24 10:06:07.371169,ea-k3s-node-us-east-2-2,"",dispatcher-nh54l,default,1,0,0,""
2023-03-24 10:06:07.558492,ea-k3s-node-us-east-2-3,"",delay-discovery-fh6h9,default,0,0,0,""
2023-03-24 10:06:07.758656,k3s-master,"",dispatcher-r87bf,default,1,0,0,""
2023-03-24 10:06:07.958596,ea-k3s-node-us-east-2-3,compression,compression-3tvjzjpe,openfaas-fn,1,200,200,community-2
2023-03-24 10:06:08.158387,ea-k3s-node-us-east-2-1,"",allocation-algorithm-86ccb8bbdf-tljkk,default,18,500,1000,""
2023-03-24 10:06:08.358753,k3s-master,"",pod-autoscaler-76b6884b54-9xq22,kube-system,4,500,500,""
2023-03-24 10:06:08.558802,k3s-master,"",community-2-676fc9656c-qrk9v,openfaas-fn,3,200,200,""
2023-03-24 10:06:08.759765,ea-k3s-node-us-east-2-2,"",edge-system-controller-847d657d8b-hk54t,kube-system,1,100,200,""
2023-03-24 10:06:08.959787,k3s-master,"",delay-discovery-h87w8,default,2,0,0,""
2023-03-24 10:06:09.159689,k3s-master,"",flannel-fixer-deployment-5c468f87f8-cxsk8,kube-system,1,0,0,""
2023-03-24 10:06:09.360174,ea-k3s-node-us-east-2-1,"",svclb-traefik-pg94j,kube-system,0,0,0,""
2023-03-24 10:06:09.560281,ea-k3s-node-us-east-2-3,thumbnailer,thumbnailer-szwk2b29,openfaas-fn,1,200,200,community-2
2023-03-24 10:06:09.760582,ea-k3s-node-us-east-2-1,"",delay-discovery-94bbt,default,0,0,0,""
2023-03-24 10:06:09.960203,k3s-master,"",custom-metrics-apiserver-8586695c47-lv2mw,custom-metrics,6,200,200,""
2023-03-24 10:06:10.15952,ea-k3s-node-us-east-2-3,"",svclb-traefik-npz57,kube-system,0,0,0,""
2023-03-24 10:06:10.359987,k3s-master,"",podscale-controller-57f68c67fc-v64k8,kube-system,4,100,200,""
2023-03-24 10:06:10.560277,ea-k3s-node-us-east-2-3,"",slpa-algorithm-76cd7d9b97-mhjwp,default,1,100,200,""
2023-03-24 10:06:10.759699,k3s-master,"",monitoring-747bdc64bc-jvclv,default,0,0,0,""
2023-03-24 10:06:10.960347,k3s-master,"",local-path-provisioner-79c4646df5-tk9bc,kube-system,2,0,0,""
