timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-03-24 15:19:24.626263,ea-k3s-node-eu-west-2-2,"",delay-discovery-w4l6c,default,0,0,0,""
2023-03-24 15:19:24.826202,ea-k3s-node-eu-west-2-1,"",svclb-traefik-b88kh,kube-system,0,0,0,""
2023-03-24 15:19:25.026694,k3s-master,"",local-path-provisioner-79c4646df5-vwv52,kube-system,1,0,0,""
2023-03-24 15:19:25.226558,k3s-master,"",pod-autoscaler-76b6884b54-7l9ll,kube-system,501,500,500,""
2023-03-24 15:19:25.425996,ea-k3s-node-eu-west-2-1,"",slpa-algorithm-76cd7d9b97-9c6bc,default,1,100,200,""
2023-03-24 15:19:25.826422,ea-k3s-node-eu-west-2-3,"",delay-discovery-95l9g,default,0,0,0,""
2023-03-24 15:19:26.025003,k3s-master,"",podscale-controller-57f68c67fc-7xggg,kube-system,3,100,200,""
2023-03-24 15:19:26.224584,ea-k3s-node-eu-west-2-2,"",allocation-algorithm-679c5fcc65-n6qvm,default,1,500,1000,""
2023-03-24 15:19:26.424583,ea-k3s-node-eu-west-2-2,compression,compression-68w1vlb7,openfaas-fn,1,200,200,community-3
2023-03-24 15:19:26.625412,ea-k3s-node-eu-west-2-2,dynamic-html,dynamic-html-0cenv53v,openfaas-fn,1,200,200,community-3
2023-03-24 15:19:26.825783,ea-k3s-node-eu-west-2-3,compression,compression-fc82fttb,openfaas-fn,1,200,200,community-3
2023-03-24 15:19:27.026007,ea-k3s-node-eu-west-2-3,thumbnailer,thumbnailer-063j4o0m,openfaas-fn,1,200,200,community-3
2023-03-24 15:19:27.22578,ea-k3s-node-eu-west-2-3,"",workload-5cb5f8bd4d-b44gt,default,28,0,0,""
2023-03-24 15:19:27.426353,ea-k3s-node-eu-west-2-2,"",dispatcher-nw5gr,default,1,0,0,""
2023-03-24 15:19:27.625888,ea-k3s-node-eu-west-2-3,"",dispatcher-c9z5b,default,1,0,0,""
2023-03-24 15:19:27.826352,k3s-master,"",coredns-5b5bf59798-mbrjh,kube-system,3,0,0,""
2023-03-24 15:19:28.026158,ea-k3s-node-eu-west-2-1,"",metrics-database-6c5586d74-rmtfl,kube-system,4,0,0,""
2023-03-24 15:19:28.225748,ea-k3s-node-eu-west-2-2,"",svclb-traefik-77lpv,kube-system,0,0,0,""
2023-03-24 15:19:28.426147,ea-k3s-node-eu-west-2-2,thumbnailer,thumbnailer-0yv9wh99,openfaas-fn,1,200,200,community-3
2023-03-24 15:19:28.626131,ea-k3s-node-eu-west-2-3,dynamic-html,dynamic-html-jh0qepjg,openfaas-fn,1,200,200,community-3
2023-03-24 15:19:33.629325,ea-k3s-node-eu-west-2-3,"",delay-discovery-95l9g,default,0,0,0,""
2023-03-24 15:19:33.630649,k3s-master,"",pod-autoscaler-76b6884b54-7l9ll,kube-system,500,500,500,""
2023-03-24 15:19:33.631952,ea-k3s-node-eu-west-2-1,"",slpa-algorithm-76cd7d9b97-9c6bc,default,1,100,200,""
2023-03-24 15:19:33.635065,ea-k3s-node-eu-west-2-3,"",workload-5cb5f8bd4d-b44gt,default,46,0,0,""
2023-03-24 15:19:33.637679,k3s-master,"",podscale-controller-57f68c67fc-7xggg,kube-system,3,100,200,""
2023-03-24 15:19:33.640594,ea-k3s-node-eu-west-2-2,"",allocation-algorithm-679c5fcc65-n6qvm,default,1,500,1000,""
2023-03-24 15:19:33.646077,ea-k3s-node-eu-west-2-2,compression,compression-68w1vlb7,openfaas-fn,1,200,200,community-3
2023-03-24 15:19:33.648405,ea-k3s-node-eu-west-2-2,dynamic-html,dynamic-html-0cenv53v,openfaas-fn,4,431,431,community-3
2023-03-24 15:19:33.649782,ea-k3s-node-eu-west-2-3,compression,compression-fc82fttb,openfaas-fn,1,200,200,community-3
2023-03-24 15:19:33.829274,ea-k3s-node-eu-west-2-3,thumbnailer,thumbnailer-063j4o0m,openfaas-fn,1,200,200,community-3
2023-03-24 15:19:34.02894,ea-k3s-node-eu-west-2-2,"",svclb-traefik-77lpv,kube-system,0,0,0,""
2023-03-24 15:19:34.229182,ea-k3s-node-eu-west-2-2,"",dispatcher-nw5gr,default,1,0,0,""
2023-03-24 15:19:34.429974,ea-k3s-node-eu-west-2-3,"",dispatcher-c9z5b,default,1,0,0,""
2023-03-24 15:19:34.629009,k3s-master,"",coredns-5b5bf59798-mbrjh,kube-system,3,0,0,""
2023-03-24 15:19:34.829119,ea-k3s-node-eu-west-2-1,"",metrics-database-6c5586d74-rmtfl,kube-system,21,0,0,""
2023-03-24 15:19:35.029928,ea-k3s-node-eu-west-2-3,dynamic-html,dynamic-html-jh0qepjg,openfaas-fn,15,359,359,community-3
