timestamp,node,function,namespace,community,latency,gpu
2023-03-26 01:58:34.022693,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,166,f
2023-03-26 01:58:35.089458,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,161,f
2023-03-26 01:58:36.036713,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,42,f
2023-03-26 01:58:37.109909,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,166,f
2023-03-26 01:58:38.206422,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,191,f
2023-03-26 01:58:39.226172,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,108,f
2023-03-26 01:58:40.232766,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,101,f
2023-03-26 01:58:41.232837,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,95,f
2023-03-26 01:58:42.224005,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,86,f
2023-03-26 01:58:43.289984,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,162,f
2023-03-26 01:58:44.309576,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,107,f
2023-03-26 01:58:45.306855,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,93,f
2023-03-26 01:58:46.255851,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,43,f
2023-03-26 01:58:47.231389,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,70,f
2023-03-26 01:58:48.207166,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,71,f
2023-03-26 01:59:11.919635,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,188,f
2023-03-26 01:59:12.866553,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,41,f
2023-03-26 01:59:13.813007,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,41,f
2023-03-26 01:59:14.760096,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,41,f
2023-03-26 01:59:15.822592,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,158,f
2023-03-26 01:59:21.388794,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,133,f
2023-03-26 01:59:22.420167,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,124,f
2023-03-26 01:59:23.425376,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,99,f
2023-03-26 01:59:24.420928,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,90,f
2023-03-26 01:59:25.421933,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,95,f
2023-03-26 01:59:26.506764,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,174,f
2023-03-26 01:59:27.454687,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,43,f
2023-03-26 01:59:28.422146,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,63,f
2023-03-26 01:59:29.422183,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,96,f
2023-03-26 01:59:30.420322,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,93,f
2023-03-26 01:59:31.373983,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,43,f
2023-03-26 01:59:32.321828,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,43,f
2023-03-26 01:59:33.322607,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,95,f
2023-03-26 01:59:34.27131,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,43,f
2023-03-26 01:59:35.313854,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,137,f
2023-03-26 01:59:36.265893,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,42,f
2023-03-26 01:59:37.311938,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,141,f
2023-03-26 01:59:38.322835,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,107,f
2023-03-26 01:59:39.32189,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,94,f
2023-03-26 01:59:40.266301,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,42,f
2023-03-26 01:59:41.22172,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,42,f
2023-03-26 01:59:42.225997,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,99,f
2023-03-26 01:59:43.222574,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,91,f
2023-03-26 01:59:44.227312,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,99,f
2023-03-26 01:59:45.226361,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,93,f
2023-03-26 01:59:50.821273,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,161,f
2023-03-26 01:59:51.890979,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,166,f
2023-03-26 01:59:52.991593,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,195,f
2023-03-26 01:59:54.015948,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,118,f
2023-03-26 01:59:55.025114,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,103,f
2023-03-26 01:59:56.120787,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,185,f
2023-03-26 01:59:57.139747,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,114,f
2023-03-26 01:59:58.108305,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,66,f
2023-03-26 01:59:59.116339,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,103,f
2023-03-26 02:00:00.122394,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,103,f
2023-03-26 02:00:05.608866,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,54,f
2023-03-26 02:00:06.558885,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,43,f
2023-03-26 02:00:07.605363,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,141,f
2023-03-26 02:00:08.599595,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,89,f
2023-03-26 02:00:09.548616,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,42,f
2023-03-26 02:00:10.500258,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,42,f
2023-03-26 02:00:11.582906,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,177,f
2023-03-26 02:00:12.600795,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,114,f
2023-03-26 02:00:13.707256,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,201,f
2023-03-26 02:00:14.655461,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,43,f
2023-03-26 02:00:15.621471,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,55,f
2023-03-26 02:00:16.621614,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,95,f
2023-03-26 02:00:17.624578,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,98,f
2023-03-26 02:00:18.61827,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,88,f
2023-03-26 02:00:19.596421,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,73,f
2023-03-26 02:00:20.596784,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,89,f
2023-03-26 02:00:21.599312,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,98,f
2023-03-26 02:00:22.549362,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,43,f
2023-03-26 02:00:23.506234,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,53,f
2023-03-26 02:00:24.511507,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,99,f
2023-03-26 02:00:25.630556,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,207,f
2023-03-26 02:00:26.691886,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,157,f
2023-03-26 02:00:27.640527,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,42,f
2023-03-26 02:00:28.722866,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,178,f
2023-03-26 02:00:29.620224,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,169,f
2023-03-26 02:00:29.797109,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,171,f
2023-03-26 02:00:30.722908,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,197,f
2023-03-26 02:00:30.748353,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,41,f
2023-03-26 02:00:31.668629,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,42,f
2023-03-26 02:00:31.820163,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,169,f
2023-03-26 02:00:32.613071,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,41,f
2023-03-26 02:00:32.807928,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,85,f
2023-03-26 02:00:33.557848,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,41,f
2023-03-26 02:00:33.831505,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,118,f
2023-03-26 02:00:34.9221,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,186,f
2023-03-26 02:00:35.93951,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,106,f
2023-03-26 02:00:36.931491,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,86,f
2023-03-26 02:00:37.932082,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,95,f
2023-03-26 02:00:38.91259,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,75,f
2023-03-26 02:00:39.108291,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,122,f
2023-03-26 02:00:39.905907,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,86,f
2023-03-26 02:00:40.122796,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,110,f
2023-03-26 02:00:40.92895,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,110,f
2023-03-26 02:00:41.112659,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,86,f
2023-03-26 02:00:41.928024,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,94,f
2023-03-26 02:00:42.059495,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,43,f
2023-03-26 02:00:42.902885,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,70,f
2023-03-26 02:00:43.021568,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,58,f
2023-03-26 02:00:43.921875,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,111,f
2023-03-26 02:00:44.020357,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,90,f
2023-03-26 02:00:44.872169,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,43,f
2023-03-26 02:00:45.018091,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,95,f
2023-03-26 02:00:46.016532,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,95,f
2023-03-26 02:00:47.015476,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,95,f
2023-03-26 02:00:47.961549,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,43,f
2023-03-26 02:00:50.347935,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,43,f
2023-03-26 02:00:51.300414,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,49,f
2023-03-26 02:00:52.248687,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,43,f
2023-03-26 02:00:53.30518,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,152,f
2023-03-26 02:00:53.436165,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,44,f
2023-03-26 02:00:54.251883,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,42,f
2023-03-26 02:00:54.384172,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,42,f
2023-03-26 02:00:55.20385,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,43,f
2023-03-26 02:00:55.407457,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,119,f
2023-03-26 02:00:56.151169,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,42,f
2023-03-26 02:00:56.355331,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,42,f
2023-03-26 02:00:57.097594,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,43,f
2023-03-26 02:00:57.301055,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,42,f
2023-03-26 02:00:58.115222,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,115,f
2023-03-26 02:00:59.062705,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,44,f
2023-03-26 02:01:00.037451,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,66,f
2023-03-26 02:01:01.093793,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,154,f
2023-03-26 02:01:02.02949,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,78,f
2023-03-26 02:01:02.118451,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,120,f
2023-03-26 02:01:02.822777,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,87,f
2023-03-26 02:01:03.02331,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,89,f
2023-03-26 02:01:03.2269,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-2,205,f
