timestamp,pod_name,container_name,cpu_actual,cpu_capped
2023-03-25 21:54:26.847574,pod-graph-mst-yxxvi8hv,,0.2,0.2
2023-03-25 21:54:29.891445,pod-graph-mst-yxxvi8hv,,0.2,0.2
2023-03-25 21:54:32.936194,pod-graph-mst-yxxvi8hv,,0.3,0.3
2023-03-25 21:54:35.992878,pod-graph-mst-yxxvi8hv,,0.3,0.3
2023-03-25 21:54:39.037006,pod-graph-mst-yxxvi8hv,,0.45,0.45
2023-03-25 21:54:42.078144,pod-graph-mst-yxxvi8hv,,0.45,0.45
2023-03-25 21:54:45.122178,pod-graph-mst-yxxvi8hv,,0.653,0.653
2023-03-25 21:54:48.166073,pod-graph-mst-yxxvi8hv,,0.653,0.653
2023-03-25 21:54:51.211383,pod-graph-mst-yxxvi8hv,,0.9,0.9
2023-03-25 21:54:54.256568,pod-graph-mst-yxxvi8hv,,0.9,0.9
2023-03-25 21:54:57.301263,pod-graph-mst-yxxvi8hv,,1.095,1.095
2023-03-25 21:55:00.345583,pod-graph-mst-yxxvi8hv,,1.095,1.095
2023-03-25 21:55:03.403647,pod-graph-mst-yxxvi8hv,,0.965,0.965
2023-03-25 21:55:06.44787,pod-graph-mst-yxxvi8hv,,0.965,0.965
2023-03-25 21:55:09.492684,pod-graph-mst-yxxvi8hv,,0.748,0.748
2023-03-25 21:55:12.536781,pod-graph-mst-yxxvi8hv,,0.748,0.748
2023-03-25 21:55:15.581251,pod-graph-mst-yxxvi8hv,,0.531,0.531
2023-03-25 21:55:18.626304,pod-graph-mst-yxxvi8hv,,0.531,0.531
2023-03-25 21:55:21.670183,pod-graph-mst-yxxvi8hv,,0.364,0.364
2023-03-25 21:55:24.712965,pod-graph-mst-yxxvi8hv,,0.364,0.364
2023-03-25 21:55:27.756916,pod-graph-mst-yxxvi8hv,,0.2,0.2
2023-03-25 21:55:30.800723,pod-graph-mst-yxxvi8hv,,0.2,0.2
2023-03-25 21:55:33.861047,pod-graph-mst-yxxvi8hv,,0.3,0.3
2023-03-25 21:55:36.914203,pod-graph-mst-yxxvi8hv,,0.3,0.3
2023-03-25 21:55:39.964089,pod-graph-mst-yxxvi8hv,,0.45,0.45
2023-03-25 21:55:43.01256,pod-graph-mst-yxxvi8hv,,0.45,0.45
2023-03-25 21:55:46.062161,pod-graph-mst-jpezi5hx,,1,1
2023-03-25 21:55:46.062161,pod-graph-mst-yxxvi8hv,,0.535,0.535
2023-03-25 21:55:49.123628,pod-graph-mst-jpezi5hx,,1,1
2023-03-25 21:55:49.123628,pod-graph-mst-yxxvi8hv,,0.535,0.535
2023-03-25 21:55:52.179591,pod-graph-mst-jpezi5hx,,0.25,0.25
2023-03-25 21:55:52.179591,pod-graph-mst-yxxvi8hv,,0.633,0.633
2023-03-25 21:55:55.279175,pod-graph-mst-jpezi5hx,,0.25,0.25
2023-03-25 21:55:55.279175,pod-graph-mst-yxxvi8hv,,0.633,0.633
2023-03-25 21:55:58.348501,pod-graph-mst-jpezi5hx,,0.2,0.2
