timestamp,pod_name,container_name,cpu_actual,cpu_capped
2023-03-26 00:12:25.771133,pod-thumbnailer-b61anxnd,,0.2,0.2
2023-03-26 00:12:28.895378,pod-thumbnailer-b61anxnd,,0.2,0.2
2023-03-26 00:12:25.771133,pod-thumbnailer-xvi8hvsz,,0.2,0.2
2023-03-26 00:12:28.895378,pod-thumbnailer-xvi8hvsz,,0.2,0.2
2023-03-26 00:12:31.948364,pod-thumbnailer-b61anxnd,,0.3,0.3
2023-03-26 00:12:35.022633,pod-thumbnailer-b61anxnd,,0.3,0.3
2023-03-26 00:12:38.077441,pod-thumbnailer-b61anxnd,,0.45,0.45
2023-03-26 00:12:41.130593,pod-thumbnailer-b61anxnd,,0.45,0.45
2023-03-26 00:12:44.183515,pod-thumbnailer-b61anxnd,,0.675,0.675
2023-03-26 00:12:47.238107,pod-thumbnailer-b61anxnd,,0.675,0.675
2023-03-26 00:12:50.292137,pod-thumbnailer-b61anxnd,,0.904,0.904
2023-03-26 00:12:53.345992,pod-thumbnailer-b61anxnd,,0.904,0.904
2023-03-26 00:12:56.398706,pod-thumbnailer-b61anxnd,,0.957,0.957
2023-03-26 00:12:59.454092,pod-thumbnailer-b61anxnd,,0.957,0.957
2023-03-26 00:12:31.948364,pod-thumbnailer-xvi8hvsz,,0.3,0.3
2023-03-26 00:12:35.022633,pod-thumbnailer-xvi8hvsz,,0.3,0.3
2023-03-26 00:12:38.077441,pod-thumbnailer-xvi8hvsz,,0.372,0.372
2023-03-26 00:12:41.130593,pod-thumbnailer-xvi8hvsz,,0.372,0.372
2023-03-26 00:12:44.183515,pod-thumbnailer-xvi8hvsz,,0.487,0.487
2023-03-26 00:12:47.238107,pod-thumbnailer-xvi8hvsz,,0.487,0.487
2023-03-26 00:12:50.292137,pod-thumbnailer-xvi8hvsz,,0.602,0.602
2023-03-26 00:12:53.345992,pod-thumbnailer-xvi8hvsz,,0.602,0.602
2023-03-26 00:12:56.398706,pod-thumbnailer-xvi8hvsz,,0.618,0.618
2023-03-26 00:12:59.454092,pod-thumbnailer-xvi8hvsz,,0.618,0.618
2023-03-26 00:13:02.508296,pod-thumbnailer-b61anxnd,,0.701,0.701
2023-03-26 00:13:05.583862,pod-thumbnailer-b61anxnd,,0.2,0.2
2023-03-26 00:13:08.636793,pod-thumbnailer-b61anxnd,,0.2,0.2
2023-03-26 00:13:11.689668,pod-thumbnailer-b61anxnd,,0.2,0.2
2023-03-26 00:13:14.748101,pod-thumbnailer-b61anxnd,,0.2,0.2
2023-03-26 00:13:17.802637,pod-thumbnailer-b61anxnd,,0.3,0.3
2023-03-26 00:13:20.855146,pod-thumbnailer-b61anxnd,,0.3,0.3
2023-03-26 00:13:23.907658,pod-thumbnailer-b61anxnd,,0.385,0.385
2023-03-26 00:13:26.959424,pod-thumbnailer-b61anxnd,,0.385,0.385
2023-03-26 00:13:02.508296,pod-thumbnailer-xvi8hvsz,,0.45,0.45
2023-03-26 00:13:05.583862,pod-thumbnailer-xvi8hvsz,,0.2,0.2
2023-03-26 00:13:08.636793,pod-thumbnailer-xvi8hvsz,,0.2,0.2
2023-03-26 00:13:11.689668,pod-thumbnailer-xvi8hvsz,,0.3,0.3
2023-03-26 00:13:14.748101,pod-thumbnailer-xvi8hvsz,,0.3,0.3
2023-03-26 00:13:17.802637,pod-thumbnailer-xvi8hvsz,,0.335,0.335
2023-03-26 00:13:20.855146,pod-thumbnailer-xvi8hvsz,,0.335,0.335
2023-03-26 00:13:23.907658,pod-thumbnailer-xvi8hvsz,,0.376,0.376
2023-03-26 00:13:26.959424,pod-thumbnailer-xvi8hvsz,,0.376,0.376
2023-03-26 00:13:30.010974,pod-thumbnailer-b61anxnd,,0.502,0.502
2023-03-26 00:13:33.087802,pod-thumbnailer-b61anxnd,,0.502,0.502
2023-03-26 00:13:36.14378,pod-thumbnailer-b61anxnd,,0.65,0.65
2023-03-26 00:13:39.199331,pod-thumbnailer-b61anxnd,,0.65,0.65
2023-03-26 00:13:42.261921,pod-thumbnailer-b61anxnd,,0.708,0.708
2023-03-26 00:13:45.318456,pod-thumbnailer-b61anxnd,,0.708,0.708
2023-03-26 00:13:48.376358,pod-thumbnailer-b61anxnd,,0.442,0.442
2023-03-26 00:13:51.433727,pod-thumbnailer-b61anxnd,,0.442,0.442
2023-03-26 00:13:54.495251,pod-thumbnailer-b61anxnd,,0.266,0.266
2023-03-26 00:13:57.556207,pod-thumbnailer-b61anxnd,,0.266,0.266
2023-03-26 00:13:30.010974,pod-thumbnailer-xvi8hvsz,,0.453,0.453
2023-03-26 00:13:33.087802,pod-thumbnailer-xvi8hvsz,,0.453,0.453
2023-03-26 00:13:36.14378,pod-thumbnailer-xvi8hvsz,,0.456,0.456
2023-03-26 00:13:39.199331,pod-thumbnailer-xvi8hvsz,,0.456,0.456
2023-03-26 00:13:42.261921,pod-thumbnailer-xvi8hvsz,,0.301,0.301
2023-03-26 00:13:45.318456,pod-thumbnailer-xvi8hvsz,,0.301,0.301
2023-03-26 00:13:48.376358,pod-thumbnailer-xvi8hvsz,,0.2,0.2
2023-03-26 00:13:51.433727,pod-thumbnailer-xvi8hvsz,,0.2,0.2
2023-03-26 00:13:54.495251,pod-thumbnailer-xvi8hvsz,,0.247,0.247
2023-03-26 00:13:57.556207,pod-thumbnailer-xvi8hvsz,,0.247,0.247
2023-03-26 00:13:39.199331,pod-thumbnailer-1opsb6qi,,1,1
2023-03-26 00:13:42.261921,pod-thumbnailer-1opsb6qi,,0.25,0.25
2023-03-26 00:13:45.318456,pod-thumbnailer-1opsb6qi,,0.25,0.25
2023-03-26 00:13:48.376358,pod-thumbnailer-1opsb6qi,,0.2,0.2
2023-03-26 00:13:51.433727,pod-thumbnailer-1opsb6qi,,0.2,0.2
2023-03-26 00:13:54.495251,pod-thumbnailer-1opsb6qi,,0.3,0.3
2023-03-26 00:13:57.556207,pod-thumbnailer-1opsb6qi,,0.3,0.3
2023-03-26 00:14:00.617764,pod-thumbnailer-1opsb6qi,,0.45,0.45
2023-03-26 00:14:03.703995,pod-thumbnailer-1opsb6qi,,0.45,0.45
2023-03-26 00:14:06.765867,pod-thumbnailer-1opsb6qi,,0.574,0.574
2023-03-26 00:14:09.826914,pod-thumbnailer-1opsb6qi,,0.574,0.574
2023-03-26 00:14:12.888494,pod-thumbnailer-1opsb6qi,,0.673,0.673
2023-03-26 00:14:15.949486,pod-thumbnailer-1opsb6qi,,0.673,0.673
2023-03-26 00:14:19.010554,pod-thumbnailer-1opsb6qi,,0.67,0.67
2023-03-26 00:14:22.073394,pod-thumbnailer-1opsb6qi,,0.67,0.67
2023-03-26 00:14:25.134832,pod-thumbnailer-1opsb6qi,,0.357,0.357
2023-03-26 00:14:28.19544,pod-thumbnailer-1opsb6qi,,0.357,0.357
2023-03-26 00:14:00.617764,pod-thumbnailer-b61anxnd,,0.2,0.2
2023-03-26 00:14:03.703995,pod-thumbnailer-b61anxnd,,0.2,0.2
2023-03-26 00:14:06.765867,pod-thumbnailer-b61anxnd,,0.3,0.3
2023-03-26 00:14:09.826914,pod-thumbnailer-b61anxnd,,0.3,0.3
2023-03-26 00:14:12.888494,pod-thumbnailer-b61anxnd,,0.393,0.393
