timestamp,node,function,namespace,community,latency,gpu
2023-03-25 20:47:45.406044,compression,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,27,f
2023-03-25 20:47:46.396601,compression,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,86,f
2023-03-25 20:47:47.363295,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,96,f
2023-03-25 20:47:48.377864,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,73,f
2023-03-25 20:47:49.379058,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,97,f
2023-03-25 20:47:54.877986,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,73,f
2023-03-25 20:47:55.878329,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,96,f
2023-03-25 20:47:56.874519,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,92,f
2023-03-25 20:47:57.874782,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,96,f
2023-03-25 20:47:58.875576,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,96,f
2023-03-25 20:47:59.876719,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,93,f
2023-03-25 20:48:00.875007,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,93,f
2023-03-25 20:48:01.876961,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,96,f
2023-03-25 20:48:02.879248,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,96,f
2023-03-25 20:48:03.876962,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,92,f
2023-03-25 20:48:04.879126,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,93,f
2023-03-25 20:48:05.880618,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,97,f
2023-03-25 20:48:06.87823,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,93,f
2023-03-25 20:48:07.880025,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,96,f
2023-03-25 20:48:08.878236,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,93,f
2023-03-25 20:48:23.380984,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,45,f
2023-03-25 20:48:24.387939,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,103,f
2023-03-25 20:48:25.38072,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,89,f
2023-03-25 20:48:26.3813,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,96,f
2023-03-25 20:48:27.384119,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,99,f
2023-03-25 20:48:28.381832,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,91,f
2023-03-25 20:48:29.385256,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,99,f
2023-03-25 20:48:30.383025,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,94,f
2023-03-25 20:48:31.376817,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,90,f
2023-03-25 20:48:32.378097,compression,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,97,f
2023-03-25 20:48:42.380441,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,93,f
2023-03-25 20:48:43.404621,compression,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,85,f
2023-03-25 20:48:44.36465,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,89,f
2023-03-25 20:48:45.371142,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,101,f
2023-03-25 20:48:46.365106,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,88,f
2023-03-25 20:48:47.365391,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,92,f
2023-03-25 20:48:48.366253,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,96,f
2023-03-25 20:48:49.366979,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,96,f
2023-03-25 20:48:50.33322,compression,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,27,f
2023-03-25 20:48:51.265819,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,61,f
2023-03-25 20:48:52.262733,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,87,f
2023-03-25 20:48:53.228989,compression,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,27,f
2023-03-25 20:48:54.163895,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,63,f
2023-03-25 20:48:55.16631,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,96,f
2023-03-25 20:48:56.167473,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,95,f
2023-03-25 20:48:57.136397,compression,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,27,f
2023-03-25 20:48:58.067338,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,59,f
2023-03-25 20:48:59.033087,compression,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,27,f
2023-03-25 20:48:59.964588,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,60,f
2023-03-25 20:49:00.966457,compression,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,96,f
