timestamp,node,function,namespace,community,latency,gpu
2023-03-25 22:15:39.473145,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,120,f
2023-03-25 22:15:40.572523,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,194,f
2023-03-25 22:15:41.593651,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,116,f
2023-03-25 22:15:42.670094,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,185,f
2023-03-25 22:15:43.694083,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,105,f
2023-03-25 22:15:44.695095,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,93,f
2023-03-25 22:15:45.692468,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,93,f
2023-03-25 22:15:46.68222,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,100,f
2023-03-25 22:15:47.68467,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,83,f
2023-03-25 22:15:48.670316,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,96,f
2023-03-25 22:15:49.685657,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,92,f
2023-03-25 22:15:50.680474,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,89,f
2023-03-25 22:15:51.690301,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,105,f
2023-03-25 22:15:52.679227,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,84,f
2023-03-25 22:15:53.680727,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,97,f
2023-03-25 22:15:54.680202,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,92,f
2023-03-25 22:15:55.680864,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,96,f
2023-03-25 22:15:56.680008,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,94,f
2023-03-25 22:15:57.663092,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,92,f
2023-03-25 22:15:58.688104,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,105,f
2023-03-25 22:15:59.625151,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,44,f
2023-03-25 22:16:00.587279,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,43,f
2023-03-25 22:16:01.583411,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,93,f
2023-03-25 22:16:02.578912,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,92,f
2023-03-25 22:16:03.59121,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,109,f
2023-03-25 22:16:04.582293,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,84,f
2023-03-25 22:16:05.583907,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,96,f
2023-03-25 22:16:06.561088,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,87,f
2023-03-25 22:16:07.581615,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,100,f
2023-03-25 22:16:08.582397,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,95,f
2023-03-25 22:16:09.579771,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,90,f
2023-03-25 22:16:10.585714,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,102,f
2023-03-25 22:16:11.586842,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,98,f
2023-03-25 22:16:12.562205,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,86,f
2023-03-25 22:16:13.585361,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,104,f
2023-03-25 22:16:14.585516,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,93,f
2023-03-25 22:16:15.5817,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,91,f
2023-03-25 22:16:16.673777,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,187,f
2023-03-25 22:16:17.675899,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,113,f
2023-03-25 22:16:18.692083,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,96,f
2023-03-25 22:16:19.691305,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,92,f
2023-03-25 22:16:20.677911,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,97,f
2023-03-25 22:16:21.778737,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,182,f
2023-03-25 22:16:22.79121,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,108,f
2023-03-25 22:16:23.87011,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,190,f
2023-03-25 22:16:33.893573,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,64,f
2023-03-25 22:16:34.884224,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,85,f
2023-03-25 22:16:35.884593,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,95,f
2023-03-25 22:16:36.866759,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,92,f
2023-03-25 22:16:37.883134,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,96,f
2023-03-25 22:16:38.891975,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,100,f
2023-03-25 22:16:39.824581,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,42,f
2023-03-25 22:16:40.787676,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,43,f
2023-03-25 22:16:41.781339,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,89,f
2023-03-25 22:16:42.714068,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,42,f
2023-03-25 22:16:43.681675,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,44,f
2023-03-25 22:16:44.614365,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,43,f
2023-03-25 22:16:45.58689,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,52,f
2023-03-25 22:16:46.593071,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,101,f
2023-03-25 22:16:47.58664,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,89,f
2023-03-25 22:16:48.585915,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,93,f
2023-03-25 22:16:49.567201,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,92,f
2023-03-25 22:16:50.586461,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,100,f
2023-03-25 22:16:51.680457,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,190,f
2023-03-25 22:16:52.774921,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,191,f
2023-03-25 22:16:53.795007,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,114,f
2023-03-25 22:16:54.873998,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,175,f
2023-03-25 22:16:55.96213,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,199,f
2023-03-25 22:16:56.998165,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,117,f
2023-03-25 22:16:57.994868,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,92,f
2023-03-25 22:16:58.98949,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,88,f
2023-03-25 22:16:59.989833,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,97,f
2023-03-25 22:17:00.979341,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,100,f
2023-03-25 22:17:01.989405,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,90,f
2023-03-25 22:17:03.076351,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,183,f
2023-03-25 22:17:04.088954,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,104,f
2023-03-25 22:17:05.086687,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,92,f
2023-03-25 22:17:06.08908,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,97,f
2023-03-25 22:17:07.086872,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,93,f
2023-03-25 22:17:08.088795,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,96,f
2023-03-25 22:17:09.092993,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,97,f
2023-03-25 22:17:10.085326,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,89,f
2023-03-25 22:17:11.082542,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,108,f
2023-03-25 22:17:12.086724,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,84,f
2023-03-25 22:17:13.087761,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,97,f
2023-03-25 22:17:14.08878,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,93,f
2023-03-25 22:17:15.086854,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,93,f
2023-03-25 22:17:16.080072,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,88,f
2023-03-25 22:17:17.080902,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,96,f
2023-03-25 22:17:18.071469,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,101,f
2023-03-25 22:17:23.576229,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,64,f
2023-03-25 22:17:24.577249,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,96,f
2023-03-25 22:17:25.573975,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,92,f
2023-03-25 22:17:26.575594,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,96,f
2023-03-25 22:17:27.581356,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,101,f
2023-03-25 22:17:28.565085,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,91,f
2023-03-25 22:17:29.581127,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,96,f
2023-03-25 22:17:30.460876,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,42,f
2023-03-25 22:17:30.56412,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,94,f
2023-03-25 22:17:31.479107,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,96,f
2023-03-25 22:17:31.593629,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,110,f
2023-03-25 22:17:32.482188,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,97,f
2023-03-25 22:17:32.590955,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,93,f
2023-03-25 22:17:33.482039,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-1,109,f
2023-03-25 22:17:34.489746,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,88,f
2023-03-25 22:17:38.08325,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,64,f
2023-03-25 22:17:39.098432,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,109,f
2023-03-25 22:17:39.99105,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,76,f
