timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-03-25 20:33:02.799815,k3s-master,"",podscale-controller-57f68c67fc-zmnm4,kube-system,3,100,200,""
2023-03-25 20:33:03.000332,k3s-master,"",pod-autoscaler-76b6884b54-dtzjd,kube-system,2,500,500,""
2023-03-25 20:33:03.200019,k3s-master,"",coredns-5b5bf59798-nbxjz,kube-system,3,0,0,""
2023-03-25 20:33:03.400429,ea-k3s-node-eu-west-1-1,"",delay-discovery-mwvzb,default,0,0,0,""
2023-03-25 20:33:03.79961,k3s-master,"",monitoring-747bdc64bc-fmxc2,default,0,0,0,""
2023-03-25 20:33:04.000471,ea-k3s-node-eu-west-1-2,"",delay-discovery-679qq,default,0,0,0,""
2023-03-25 20:33:04.200694,ea-k3s-node-eu-west-1-2,"",metrics-database-6c5586d74-r44d9,kube-system,4,0,0,""
2023-03-25 20:33:09.207076,k3s-master,"",monitoring-747bdc64bc-fmxc2,default,0,0,0,""
2023-03-25 20:33:09.209115,ea-k3s-node-eu-west-1-2,"",delay-discovery-679qq,default,0,0,0,""
2023-03-25 20:33:09.211263,ea-k3s-node-eu-west-1-2,"",metrics-database-6c5586d74-r44d9,kube-system,4,0,0,""
2023-03-25 20:33:09.213352,ea-k3s-node-eu-west-1-3,"",slpa-algorithm-76cd7d9b97-9jnx5,default,1,100,200,""
2023-03-25 20:33:09.21535,k3s-master,"",dispatcher-bfg5v,default,1,0,0,""
2023-03-25 20:33:09.217414,ea-k3s-node-eu-west-1-3,"",workload-5cb5f8bd4d-lwwdr,default,1,0,0,""
2023-03-25 20:33:09.220816,k3s-master,"",local-path-provisioner-79c4646df5-9xtwg,kube-system,1,0,0,""
2023-03-25 20:33:09.222017,k3s-master,"",custom-metrics-apiserver-8586695c47-zq9zr,custom-metrics,4,200,200,""
2023-03-25 20:33:09.223161,k3s-master,"",cpu-monitoring-7bbd5b549b-ckmr6,kube-system,17,0,0,""
2023-03-25 20:33:09.403889,ea-k3s-node-eu-west-1-2,graph-mst,graph-mst-d725m69f,openfaas-fn,1,618,618,community-3
2023-03-25 20:33:09.604235,k3s-master,"",delay-discovery-dpz8j,default,0,0,0,""
2023-03-25 20:33:09.804564,ea-k3s-node-eu-west-1-2,"",svclb-traefik-4x4dj,kube-system,0,0,0,""
2023-03-25 20:33:10.003764,ea-k3s-node-eu-west-1-3,"",delay-discovery-zjf25,default,0,0,0,""
2023-03-25 20:33:10.204059,k3s-master,"",community-3-57bf999865-kljqs,openfaas-fn,1,200,200,""
2023-03-25 20:33:10.403784,ea-k3s-node-eu-west-1-3,"",svclb-traefik-wmbq8,kube-system,0,0,0,""
2023-03-25 20:33:10.605503,ea-k3s-node-eu-west-1-2,"",dispatcher-zxtrs,default,1,0,0,""
2023-03-25 20:33:10.804817,ea-k3s-node-eu-west-1-1,"",svclb-traefik-qzlgg,kube-system,0,0,0,""
2023-03-25 20:33:11.005429,k3s-master,"",svclb-traefik-xmh9g,kube-system,0,0,0,""
2023-03-25 20:33:11.204954,k3s-master,"",flannel-fixer-deployment-5c468f87f8-nbrl6,kube-system,1,0,0,""
2023-03-25 20:33:11.405403,ea-k3s-node-eu-west-1-1,"",allocation-algorithm-649945b9dc-p6vwv,default,1,500,1000,""
2023-03-25 20:33:11.605004,k3s-master,"",metrics-server-c6799cf48-j5wtp,kube-system,6,0,0,""
2023-03-25 20:33:11.805476,ea-k3s-node-eu-west-1-1,"",dispatcher-5b22m,default,1,0,0,""
2023-03-25 20:33:12.004836,ea-k3s-node-eu-west-1-3,"",dispatcher-xc5gx,default,1,0,0,""
2023-03-25 20:33:12.20517,k3s-master,"",traefik-7f48667fb9-s6qcf,kube-system,4,0,0,""
2023-03-25 20:33:12.405735,ea-k3s-node-eu-west-1-2,"",edge-system-controller-847d657d8b-hrcl5,kube-system,1,100,200,""
2023-03-25 20:33:12.605263,k3s-master,"",podscale-controller-57f68c67fc-zmnm4,kube-system,3,100,200,""
2023-03-25 20:33:12.805192,k3s-master,"",pod-autoscaler-76b6884b54-dtzjd,kube-system,2,500,500,""
2023-03-25 20:33:13.005784,k3s-master,"",coredns-5b5bf59798-nbxjz,kube-system,3,0,0,""
2023-03-25 20:33:13.205178,ea-k3s-node-eu-west-1-1,"",delay-discovery-mwvzb,default,0,0,0,""
2023-03-25 20:33:18.211095,k3s-master,"",monitoring-747bdc64bc-fmxc2,default,0,0,0,""
2023-03-25 20:33:18.212371,ea-k3s-node-eu-west-1-2,"",delay-discovery-679qq,default,0,0,0,""
2023-03-25 20:33:18.213577,ea-k3s-node-eu-west-1-2,"",metrics-database-6c5586d74-r44d9,kube-system,4,0,0,""
2023-03-25 20:33:18.214751,ea-k3s-node-eu-west-1-3,"",slpa-algorithm-76cd7d9b97-9jnx5,default,1,100,200,""
2023-03-25 20:33:18.215874,k3s-master,"",dispatcher-bfg5v,default,1,0,0,""
2023-03-25 20:33:18.217104,ea-k3s-node-eu-west-1-3,"",workload-5cb5f8bd4d-lwwdr,default,1,0,0,""
2023-03-25 20:33:18.219477,k3s-master,"",local-path-provisioner-79c4646df5-9xtwg,kube-system,1,0,0,""
