timestamp,node,function,namespace,community,latency,gpu
2023-03-25 17:45:35.367401,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,173,f
2023-03-25 17:45:36.462065,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,190,f
2023-03-25 17:45:37.562662,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,195,f
2023-03-25 17:45:38.662182,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,195,f
2023-03-25 17:45:39.761352,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,195,f
2023-03-25 17:45:40.86374,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,192,f
2023-03-25 17:45:41.879328,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,111,f
2023-03-25 17:45:42.961865,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,178,f
2023-03-25 17:45:43.980661,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,114,f
2023-03-25 17:45:45.063387,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,179,f
2023-03-25 17:45:50.580248,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,82,f
2023-03-25 17:45:51.5809,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,94,f
2023-03-25 17:45:52.6614,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,175,f
2023-03-25 17:45:53.762691,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,195,f
2023-03-25 17:45:54.863726,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,195,f
2023-03-25 17:45:55.880153,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,106,f
2023-03-25 17:45:56.878495,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,94,f
2023-03-25 17:45:57.884871,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,102,f
2023-03-25 17:45:58.879223,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,90,f
2023-03-25 17:45:59.870875,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,87,f
2023-03-25 17:46:00.870774,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,90,f
2023-03-25 17:46:01.869831,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,95,f
2023-03-25 17:46:02.871682,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,98,f
2023-03-25 17:46:03.870452,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,94,f
2023-03-25 17:46:04.864499,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,90,f
2023-03-25 17:46:10.442367,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,173,f
2023-03-25 17:46:11.418914,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,42,f
2023-03-25 17:46:12.443117,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,149,f
2023-03-25 17:46:13.54274,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,194,f
2023-03-25 17:46:14.518699,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,42,f
2023-03-25 17:46:15.455134,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,53,f
2023-03-25 17:46:16.46129,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,70,f
2023-03-25 17:46:17.408691,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,41,f
2023-03-25 17:46:18.346312,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,61,f
2023-03-25 17:46:19.323927,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,42,f
2023-03-25 17:46:20.247759,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,44,f
2023-03-25 17:46:21.24478,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,93,f
2023-03-25 17:46:22.191396,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,43,f
2023-03-25 17:46:23.13719,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,41,f
2023-03-25 17:46:24.08273,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,42,f
2023-03-25 17:46:34.110723,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,41,f
2023-03-25 17:46:35.028286,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,42,f
2023-03-25 17:46:35.975496,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,42,f
2023-03-25 17:46:36.952022,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,42,f
2023-03-25 17:46:37.901162,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,44,f
2023-03-25 17:46:38.852117,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,41,f
2023-03-25 17:46:39.768335,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,41,f
2023-03-25 17:46:40.715135,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,42,f
2023-03-25 17:46:41.660896,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,41,f
2023-03-25 17:46:42.607589,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,41,f
2023-03-25 17:46:43.558567,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,41,f
2023-03-25 17:46:44.662874,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,170,f
2023-03-25 17:46:45.681886,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-1,114,f
2023-03-25 17:46:46.745806,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,190,f
2023-03-25 17:46:47.755353,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-1,106,f
