timestamp,node,function,namespace,community,latency,gpu
2023-03-25 12:15:23.041152,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,333,f
2023-03-25 12:15:24.341035,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,394,f
2023-03-25 12:15:25.670152,graph-bfs,ea-k3s-node-eu-west-1-3,openfaas-fn,community-2,421,f
2023-03-25 12:15:27.027346,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,456,f
2023-03-25 12:15:28.285486,graph-bfs,ea-k3s-node-eu-west-1-3,openfaas-fn,community-2,351,f
2023-03-25 12:15:29.603115,graph-bfs,ea-k3s-node-eu-west-1-1,openfaas-fn,community-2,412,f
2023-03-25 12:15:30.746169,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,237,f
2023-03-25 12:15:31.929904,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,279,f
2023-03-25 12:15:33.130995,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,295,f
2023-03-25 12:15:34.329383,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,293,f
2023-03-25 12:15:35.390532,graph-bfs,ea-k3s-node-eu-west-1-3,openfaas-fn,community-2,151,f
2023-03-25 12:15:36.439175,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,147,f
2023-03-25 12:15:37.531879,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,187,f
2023-03-25 12:15:38.631329,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,194,f
2023-03-25 12:15:39.690469,graph-bfs,ea-k3s-node-eu-west-1-3,openfaas-fn,community-2,151,f
2023-03-25 12:15:45.236886,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,124,f
2023-03-25 12:15:46.265108,graph-bfs,ea-k3s-node-eu-west-1-3,openfaas-fn,community-2,121,f
2023-03-25 12:15:47.266677,graph-bfs,ea-k3s-node-eu-west-1-3,openfaas-fn,community-2,98,f
2023-03-25 12:15:48.268655,graph-bfs,ea-k3s-node-eu-west-1-3,openfaas-fn,community-2,98,f
2023-03-25 12:15:49.267605,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,97,f
2023-03-25 12:15:50.275562,graph-bfs,ea-k3s-node-eu-west-1-3,openfaas-fn,community-2,97,f
2023-03-25 12:15:51.278333,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,98,f
2023-03-25 12:15:52.280148,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,97,f
2023-03-25 12:15:53.280225,graph-bfs,ea-k3s-node-eu-west-1-2,openfaas-fn,community-2,95,f
2023-03-25 12:15:54.287195,graph-bfs,ea-k3s-node-eu-west-1-3,openfaas-fn,community-2,99,f
