timestamp,node,function,namespace,community,latency,gpu
2023-03-25 11:09:14.077497,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,143,f
2023-03-25 11:09:15.177124,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,195,f
2023-03-25 11:09:16.196231,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,115,f
2023-03-25 11:09:17.18726,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,86,f
2023-03-25 11:09:18.186087,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,95,f
2023-03-25 11:09:28.243354,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,130,f
2023-03-25 11:09:29.345769,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,199,f
2023-03-25 11:09:30.375096,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,125,f
2023-03-25 11:09:31.394391,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,114,f
2023-03-25 11:09:32.365191,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,64,f
2023-03-25 11:09:37.860131,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,71,f
2023-03-25 11:09:38.852153,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,87,f
2023-03-25 11:09:39.863586,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,107,f
2023-03-25 11:09:40.810257,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,43,f
2023-03-25 11:09:41.776716,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,61,f
2023-03-25 11:09:42.775197,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,90,f
2023-03-25 11:09:43.754726,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,73,f
2023-03-25 11:09:44.700577,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,42,f
2023-03-25 11:09:45.65777,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,51,f
2023-03-25 11:09:46.649943,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,87,f
