timestamp,node,function,namespace,community,latency,gpu
2023-03-25 11:53:16.958213,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,138,f
2023-03-25 11:53:18.05755,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,194,f
2023-03-25 11:53:19.157299,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,195,f
2023-03-25 11:53:20.257015,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,195,f
2023-03-25 11:53:21.355087,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,194,f
2023-03-25 11:53:22.360645,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,97,f
2023-03-25 11:53:23.369952,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,104,f
2023-03-25 11:53:24.365117,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,91,f
2023-03-25 11:53:25.368462,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,98,f
2023-03-25 11:53:26.368631,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,96,f
2023-03-25 11:53:27.366951,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,90,f
2023-03-25 11:53:28.352114,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,80,f
2023-03-25 11:53:29.363238,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,107,f
2023-03-25 11:53:30.354071,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,86,f
2023-03-25 11:53:31.358097,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,99,f
2023-03-25 11:53:32.355631,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,90,f
2023-03-25 11:53:33.35969,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,99,f
2023-03-25 11:53:34.359528,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,95,f
2023-03-25 11:53:35.354571,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,90,f
2023-03-25 11:53:36.349482,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,90,f
2023-03-25 11:53:37.352455,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,94,f
2023-03-25 11:53:38.34794,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,90,f
2023-03-25 11:53:39.348353,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,94,f
2023-03-25 11:53:40.351663,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,98,f
2023-03-25 11:53:41.35184,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,94,f
2023-03-25 11:53:46.834199,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,57,f
2023-03-25 11:53:47.796245,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,57,f
2023-03-25 11:53:48.758664,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,58,f
2023-03-25 11:53:49.721259,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,57,f
2023-03-25 11:53:50.68395,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,58,f
2023-03-25 11:53:51.650851,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,58,f
2023-03-25 11:53:52.658739,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,103,f
