timestamp,node,function,namespace,community,latency,gpu
2023-03-25 14:24:25.288591,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,131,f
2023-03-25 14:24:26.389051,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,196,f
2023-03-25 14:24:27.40573,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,113,f
2023-03-25 14:24:28.405917,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,96,f
2023-03-25 14:24:29.397305,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,88,f
2023-03-25 14:24:30.399536,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,92,f
2023-03-25 14:24:31.395892,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,92,f
2023-03-25 14:24:32.396504,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,95,f
2023-03-25 14:24:33.407302,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,106,f
2023-03-25 14:24:34.404907,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,92,f
2023-03-25 14:24:35.398197,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,84,f
2023-03-25 14:24:36.398445,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,96,f
2023-03-25 14:24:37.402056,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,100,f
2023-03-25 14:24:38.398164,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,92,f
2023-03-25 14:24:39.407507,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,106,f
2023-03-25 14:24:40.40688,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,88,f
2023-03-25 14:24:41.396326,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,84,f
2023-03-25 14:24:42.398007,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,96,f
2023-03-25 14:24:43.399431,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,96,f
2023-03-25 14:24:44.397211,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,92,f
2023-03-25 14:24:45.406249,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,100,f
2023-03-25 14:24:46.397884,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,88,f
2023-03-25 14:24:47.396479,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,95,f
2023-03-25 14:24:48.395827,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,95,f
2023-03-25 14:24:49.399054,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,100,f
2023-03-25 14:24:50.396702,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,87,f
2023-03-25 14:24:51.488044,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,172,f
2023-03-25 14:24:52.582359,dynamic-html,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,188,f
2023-03-25 14:24:53.587027,dynamic-html,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,112,f
