timestamp,pod_name,container_name,cpu_actual,cpu_capped
2023-03-25 17:51:58.891569,pod-graph-mst-yilbb83n,,0.2,0.2
2023-03-25 17:52:01.937937,pod-graph-mst-yilbb83n,,0.3,0.3
2023-03-25 17:52:05.004105,pod-graph-mst-yilbb83n,,0.3,0.3
2023-03-25 17:52:08.049173,pod-graph-mst-yilbb83n,,0.45,0.45
2023-03-25 17:52:11.092651,pod-graph-mst-yilbb83n,,0.45,0.45
2023-03-25 17:52:14.134724,pod-graph-mst-yilbb83n,,0.62,0.62
2023-03-25 17:52:17.177846,pod-graph-mst-yilbb83n,,0.62,0.62
2023-03-25 17:52:20.218947,pod-graph-mst-yilbb83n,,0.747,0.747
2023-03-25 17:52:23.261326,pod-graph-mst-yilbb83n,,0.747,0.747
2023-03-25 17:52:26.306023,pod-graph-mst-yilbb83n,,0.825,0.825
2023-03-25 17:52:29.352062,pod-graph-mst-yilbb83n,,0.825,0.825
2023-03-25 17:52:32.396688,pod-graph-mst-yilbb83n,,0.835,0.835
2023-03-25 17:52:35.459228,pod-graph-mst-yilbb83n,,0.835,0.835
2023-03-25 17:52:38.501933,pod-graph-mst-yilbb83n,,0.66,0.66
2023-03-25 17:52:41.545544,pod-graph-mst-yilbb83n,,0.66,0.66
2023-03-25 17:52:44.58879,pod-graph-mst-yilbb83n,,0.404,0.404
2023-03-25 17:52:47.632224,pod-graph-mst-yilbb83n,,0.404,0.404
2023-03-25 17:52:50.678926,pod-graph-mst-yilbb83n,,0.2,0.2
2023-03-25 17:52:53.726561,pod-graph-mst-yilbb83n,,0.2,0.2
2023-03-25 17:52:56.771137,pod-graph-mst-yilbb83n,,0.3,0.3
2023-03-25 17:52:59.817204,pod-graph-mst-yilbb83n,,0.3,0.3
2023-03-25 17:53:02.861466,pod-graph-mst-yilbb83n,,0.403,0.403
2023-03-25 17:53:05.923882,pod-graph-mst-yilbb83n,,0.403,0.403
2023-03-25 17:53:08.970468,pod-graph-mst-yilbb83n,,0.531,0.531
2023-03-25 17:53:12.014253,pod-graph-mst-yilbb83n,,0.531,0.531
2023-03-25 17:53:15.058317,pod-graph-mst-yilbb83n,,0.677,0.677
2023-03-25 17:53:18.103163,pod-graph-mst-yilbb83n,,0.677,0.677
2023-03-25 17:53:21.148772,pod-graph-mst-yilbb83n,,0.778,0.778
2023-03-25 17:53:24.195206,pod-graph-mst-yilbb83n,,0.778,0.778
2023-03-25 17:53:27.238431,pod-graph-mst-yilbb83n,,0.69,0.69
2023-03-25 17:53:30.281335,pod-graph-mst-yilbb83n,,0.69,0.69
2023-03-25 17:53:33.345106,pod-graph-mst-yilbb83n,,0.524,0.524
2023-03-25 17:53:36.390202,pod-graph-mst-yilbb83n,,0.305,0.305
2023-03-25 17:53:39.433348,pod-graph-mst-yilbb83n,,0.305,0.305
2023-03-25 17:53:42.476401,pod-graph-mst-yilbb83n,,0.265,0.265
2023-03-25 17:53:45.571769,pod-graph-mst-yilbb83n,,0.265,0.265
2023-03-25 17:53:48.616273,pod-graph-mst-yilbb83n,,0.397,0.397
