,function,approach,sum,len,mean,median,min,max,std,mse,ratio,network_delay,network_delay_sdv
0,compression,Multi_Region\neptune,458.0,3387.0,121.5515956095635,90.16936904761903,28.18443304873273,613.6845669308801,82.55841722697117,51.03632929752628,0.1352229111307942,1.41,6.722154010840167
1,compression,Multi_Region\vsvbp,801.0,3292.0,214.9584520061323,89.19136353230104,26.90541433566434,2964.4854365543874,335.78367829479885,159.8448737067149,0.2433171324422843,2.7145390070921986,9.21897141807825
2,compression,Multi_Region\mcf,750.0,3361.0,196.92283644172406,75.52000000000001,25.901231962481955,3129.4707210012216,338.97418512907706,147.99590616871396,0.22314787265694733,0.8759894459102903,5.028853818003041
3,compression,Multi_Region\cr-o,886.0,3230.0,250.99599318043929,82.58209607753358,26.831892316017314,2619.204771991571,399.7094493781867,198.4588750873115,0.2743034055727554,1.1050384286934245,5.198048661107085
4,compression,Multi_Region\cr-h,857.0,3350.0,219.63900736788574,88.18392534548784,27.23086499199153,2644.1011048673545,341.83355899882554,160.25483638312363,0.25582089552238807,0.9122497055359248,4.372653347172356
5,dynamic-html,Multi_Region\neptune,851.0,3390.0,173.4548893756185,121.37249999999999,45.73155158730159,1009.1774031491384,149.2466638465715,92.2632586654736,0.2510324483775811,1.6916360294117647,7.624882104191482
6,dynamic-html,Multi_Region\vsvbp,943.0,3229.0,282.80255217555845,107.215,41.98220275432828,4008.0745565476186,452.326047459074,212.3810523973478,0.29204087952926605,5.221374045801527,14.031529423385264
7,dynamic-html,Multi_Region\mcf,1002.0,3291.0,295.52876697157114,106.99083333333333,40.01671634684974,3968.6141019119773,471.3818649983979,227.57951651090957,0.30446672743846853,3.654432132963989,14.644082163319723
8,dynamic-html,Multi_Region\cr-o,927.0,3325.0,286.3758417775211,109.2315833333333,42.23328839534219,5250.160892857144,508.511833528282,215.08087107122736,0.278796992481203,0.39097744360902265,2.4308004389351465
9,dynamic-html,Multi_Region\cr-h,883.0,3398.0,229.24740083026967,105.59875,42.254966967264764,2319.2742920274172,318.1571611344742,155.4156056545369,0.25985874043555035,2.182327317983821,7.496922334548317
10,graph-bfs,Multi_Region\neptune,60.0,3347.0,103.75682935702879,98.77166666666666,90.39416666666666,344.21,23.815242781543216,8.210319246467439,0.0179265013444876,0.3465045592705167,1.9157787311262606
11,graph-bfs,Multi_Region\vsvbp,194.0,3199.0,151.9968271183854,97.22233333333331,87.47500000000001,5323.500416666668,347.374484119557,58.51864684538309,0.060643951234760865,2.267844522968198,8.108342644601175
12,graph-bfs,Multi_Region\mcf,129.0,3216.0,116.87287051947499,98.13619074675324,88.68500000000002,1538.592220238095,97.21011515635557,22.61945469114219,0.04011194029850746,7.328981723237598,16.640026007874717
13,graph-bfs,Multi_Region\cr-o,25.0,3278.0,106.04193456677213,97.95013493450993,88.12583333333332,1563.0748333333331,78.87960520779578,11.947998563830247,0.00762660158633313,1.0105348460291734,4.001505292835593
14,graph-bfs,Multi_Region\cr-h,38.0,3268.0,105.74446814125288,98.07490773809525,84.46249999999999,1151.1386805555553,61.6760957991215,11.556869302226403,0.011627906976744186,0.6133333333333333,3.115851104365413
15,graph-mst,Multi_Region\neptune,338.0,3359.0,122.87135566965203,102.04776240426241,57.31500000000001,814.6984716810967,69.89538923298596,42.333141323637825,0.10062518606728194,0.6084198385236448,2.942854136265375
16,graph-mst,Multi_Region\vsvbp,486.0,3113.0,203.3838695095995,104.59086904761905,59.264186507936515,5330.66,448.45389644636396,123.17288215788032,0.15611949887568263,1.136463683052091,5.8618616227057725
17,graph-mst,Multi_Region\mcf,236.0,3263.0,121.93305604702785,99.99982405094903,60.08166666666667,1038.1163690476192,82.15570877289122,42.23840093066602,0.07232608029420778,1.9442406456346295,7.645183786871732
18,graph-mst,Multi_Region\cr-o,235.0,3308.0,125.65141422958004,96.94250000000002,63.61833333333334,1173.6513392857141,114.20716410508071,45.09751426019233,0.07103990326481258,0.6332518337408313,4.131987384228772
19,graph-mst,Multi_Region\cr-h,214.0,3267.0,117.16594357688022,96.81000000000002,60.75271825396826,698.6605342851592,72.86076163567577,37.02682707269943,0.0655035200489746,5.287280701754386,14.15469304843717
20,thumbnailer,Multi_Region\neptune,751.0,3372.0,169.3879749039489,111.64836023841963,57.65755357142857,1314.2343359275526,159.74373802763668,89.70805283965068,0.2227164887307236,1.41241890639481,6.588069762404181
21,thumbnailer,Multi_Region\vsvbp,759.0,3390.0,230.84080899409278,104.47274900401669,55.46013984626484,5008.659023809525,428.7691775107769,156.61451356732329,0.22389380530973452,6.497793468667255,15.710679759412047
22,thumbnailer,Multi_Region\mcf,830.0,3362.0,338.6307482402827,110.62826556010714,56.049213345864665,11748.104357142854,916.2081981672694,260.1660078574272,0.24687685901249257,7.519795657726692,18.46405652491983
23,thumbnailer,Multi_Region\cr-o,827.0,3298.0,290.88673027705903,108.10461374523288,56.13685119047618,7330.529053571428,634.5667934217648,215.76492991436896,0.250758035172832,0.5682382133995038,3.036396304929747
24,thumbnailer,Multi_Region\cr-h,806.0,3349.0,261.8757111357814,107.51000000000002,56.137980477855464,3102.0096205726645,448.6626423757581,182.66815752464967,0.24066885637503732,1.5425170068027212,6.963820140094683
