timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-04-01 16:25:13.154847,k3s-master,"",metrics-server-c6799cf48-4lrfp,kube-system,4,0,0,""
2023-04-01 16:25:13.157144,k3s-master,"",monitoring-747bdc64bc-ppqrh,default,0,0,0,""
2023-04-01 16:25:13.159338,ea-k3s-node-eu-west-1-1,dynamic-html,dynamic-html-b54k8o9v,openfaas-fn,1,200,200,community-0
2023-04-01 16:25:13.161407,ea-k3s-node-eu-west-1-1,"",allocation-algorithm-77df96cb9b-hqrp7,default,1,500,1000,""
2023-04-01 16:25:13.163436,k3s-master,"",delay-discovery-fvxhq,default,1,0,0,""
2023-04-01 16:25:13.168344,k3s-master,"",local-path-provisioner-79c4646df5-k5ckm,kube-system,1,0,0,""
2023-04-01 16:25:13.170234,k3s-master,"",community-0-556f9b58f9-4bnld,openfaas-fn,1,200,200,""
2023-04-01 16:25:13.353406,k3s-master,"",cpu-monitoring-7bbd5b549b-gbrsj,kube-system,9,0,0,""
2023-04-01 16:25:13.752757,k3s-master,"",flannel-fixer-deployment-5c468f87f8-s64cs,kube-system,1,0,0,""
2023-04-01 16:25:13.953327,k3s-master,"",custom-metrics-apiserver-8586695c47-lr8xd,custom-metrics,7,200,200,""
2023-04-01 16:25:14.353873,k3s-master,"",svclb-traefik-7c6rn,kube-system,0,0,0,""
2023-04-01 16:25:14.552879,k3s-master,"",dispatcher-bnfnq,default,1,0,0,""
2023-04-01 16:25:14.952616,ea-k3s-node-eu-west-1-1,"",delay-discovery-l76pp,default,0,0,0,""
2023-04-01 16:25:15.152674,k3s-master,"",traefik-7f48667fb9-gz6mf,kube-system,4,0,0,""
2023-04-01 16:25:15.552728,k3s-master,"",coredns-5b5bf59798-brqxq,kube-system,3,0,0,""
2023-04-01 16:25:15.9519,ea-k3s-node-eu-west-1-1,"",svclb-traefik-cq26w,kube-system,0,0,0,""
2023-04-01 16:25:16.151648,ea-k3s-node-eu-west-1-1,compression,compression-f1oq06fq,openfaas-fn,1,200,200,community-0
2023-04-01 16:25:16.552909,k3s-master,"",pod-autoscaler-76b6884b54-lkgtx,kube-system,1,500,500,""
2023-04-01 16:25:16.752636,k3s-master,"",podscale-controller-57f68c67fc-h9c87,kube-system,3,100,200,""
2023-04-01 16:25:17.353012,ea-k3s-node-eu-west-1-1,"",dispatcher-57dw6,default,1,0,0,""
2023-04-01 16:25:22.360291,ea-k3s-node-eu-west-1-1,"",svclb-traefik-cq26w,kube-system,0,0,0,""
2023-04-01 16:25:22.362472,ea-k3s-node-eu-west-1-1,compression,compression-f1oq06fq,openfaas-fn,1,200,200,community-0
2023-04-01 16:25:22.363639,ea-k3s-node-eu-west-1-1,"",dispatcher-57dw6,default,1,0,0,""
2023-04-01 16:25:22.365819,k3s-master,"",pod-autoscaler-76b6884b54-lkgtx,kube-system,1,500,500,""
2023-04-01 16:25:22.366897,k3s-master,"",podscale-controller-57f68c67fc-h9c87,kube-system,3,100,200,""
2023-04-01 16:25:22.557622,k3s-master,"",metrics-server-c6799cf48-4lrfp,kube-system,5,0,0,""
2023-04-01 16:25:22.756962,k3s-master,"",monitoring-747bdc64bc-ppqrh,default,0,0,0,""
2023-04-01 16:25:22.957279,ea-k3s-node-eu-west-1-1,dynamic-html,dynamic-html-b54k8o9v,openfaas-fn,1,200,200,community-0
2023-04-01 16:25:23.15741,k3s-master,"",community-0-556f9b58f9-4bnld,openfaas-fn,1,200,200,""
2023-04-01 16:25:23.358198,ea-k3s-node-eu-west-1-1,"",allocation-algorithm-77df96cb9b-hqrp7,default,4,500,1000,""
2023-04-01 16:25:23.558252,k3s-master,"",delay-discovery-fvxhq,default,0,0,0,""
2023-04-01 16:25:24.158141,k3s-master,"",local-path-provisioner-79c4646df5-k5ckm,kube-system,1,0,0,""
2023-04-01 16:25:24.35807,k3s-master,"",svclb-traefik-7c6rn,kube-system,0,0,0,""
2023-04-01 16:25:24.55814,k3s-master,"",dispatcher-bnfnq,default,1,0,0,""
2023-04-01 16:25:24.758749,k3s-master,"",cpu-monitoring-7bbd5b549b-gbrsj,kube-system,8,0,0,""
2023-04-01 16:25:25.158507,k3s-master,"",flannel-fixer-deployment-5c468f87f8-s64cs,kube-system,1,0,0,""
2023-04-01 16:25:25.358235,k3s-master,"",custom-metrics-apiserver-8586695c47-lr8xd,custom-metrics,5,200,200,""
2023-04-01 16:25:25.958141,ea-k3s-node-eu-west-1-1,"",delay-discovery-l76pp,default,0,0,0,""
2023-04-01 16:25:26.158571,k3s-master,"",traefik-7f48667fb9-gz6mf,kube-system,4,0,0,""
2023-04-01 16:25:26.558674,k3s-master,"",coredns-5b5bf59798-brqxq,kube-system,3,0,0,""
2023-04-01 16:25:31.565221,k3s-master,"",local-path-provisioner-79c4646df5-k5ckm,kube-system,1,0,0,""
2023-04-01 16:25:31.567539,k3s-master,"",community-0-556f9b58f9-4bnld,openfaas-fn,1,200,200,""
2023-04-01 16:25:31.568712,ea-k3s-node-eu-west-1-1,"",allocation-algorithm-77df96cb9b-hqrp7,default,4,500,1000,""
2023-04-01 16:25:31.569875,k3s-master,"",delay-discovery-fvxhq,default,0,0,0,""
