timestamp,node,function,namespace,community,latency,gpu
2023-04-01 16:50:26.990487,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,207,f
2023-04-01 16:50:28.194611,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,171,f
2023-04-01 16:50:29.389892,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,163,f
2023-04-01 16:50:30.588817,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,165,f
2023-04-01 16:50:31.789253,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,167,f
2023-04-01 16:50:33.693082,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,107,f
2023-04-01 16:50:34.79452,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,71,f
2023-04-01 16:50:35.896587,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,71,f
2023-04-01 16:50:36.99547,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,67,f
2023-04-01 16:50:38.094037,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,68,f
2023-04-01 16:50:45.887257,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,80,f
2023-04-01 16:50:46.961561,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,42,f
2023-04-01 16:50:48.035418,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,42,f
2023-04-01 16:50:49.109749,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,42,f
2023-04-01 16:50:50.188507,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,47,f
2023-04-01 16:50:51.903199,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,42,f
2023-04-01 16:50:52.978551,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,42,f
2023-04-01 16:50:54.053807,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,42,f
2023-04-01 16:50:55.12884,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,42,f
2023-04-01 16:50:56.203267,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,41,f
2023-04-01 16:51:04.00602,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,83,f
2023-04-01 16:51:05.186614,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,148,f
2023-04-01 16:51:06.3857,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,168,f
2023-04-01 16:51:07.50392,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,87,f
2023-04-01 16:51:08.68683,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,152,f
2023-04-01 16:51:10.603624,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,115,f
2023-04-01 16:51:11.70263,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,67,f
2023-04-01 16:51:12.887801,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,152,f
2023-04-01 16:51:14.003257,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,83,f
2023-04-01 16:51:15.187641,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,152,f
2023-04-01 16:51:16.986148,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,128,f
2023-04-01 16:51:18.18749,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,168,f
2023-04-01 16:51:19.306427,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,86,f
2023-04-01 16:51:20.406022,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,67,f
2023-04-01 16:51:21.498192,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,59,f
2023-04-01 16:51:35.095273,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,88,f
2023-04-01 16:51:36.16851,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,42,f
2023-04-01 16:51:37.28638,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,86,f
2023-04-01 16:51:38.388691,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,71,f
2023-04-01 16:51:39.49058,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-0,71,f
