timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-04-01 05:53:20.759341,ea-k3s-node-eu-west-2-1,"",slpa-algorithm-76cd7d9b97-t75l9,default,1,100,200,""
2023-04-01 05:53:25.761565,k3s-master,"",svclb-traefik-ptgql,kube-system,0,0,0,""
2023-04-01 05:53:25.764946,k3s-master,"",dispatcher-m6bsq,default,1,0,0,""
2023-04-01 05:53:25.767369,ea-k3s-node-eu-west-2-1,"",workload-5cb5f8bd4d-c2vq8,default,1,0,0,""
2023-04-01 05:53:25.768597,ea-k3s-node-eu-west-2-1,"",svclb-traefik-2v8pw,kube-system,0,0,0,""
2023-04-01 05:53:25.769785,k3s-master,"",metrics-server-c6799cf48-mwb5r,kube-system,6,0,0,""
2023-04-01 05:53:25.77534,ea-k3s-node-eu-west-2-1,"",dispatcher-wtz6r,default,1,0,0,""
2023-04-01 05:53:25.962891,ea-k3s-node-eu-west-2-1,"",delay-discovery-mhld8,default,0,0,0,""
2023-04-01 05:53:26.163241,k3s-master,"",community-0-556f9b58f9-8wzj4,openfaas-fn,2,200,200,""
2023-04-01 05:53:26.363608,k3s-master,"",delay-discovery-nmw4n,default,0,0,0,""
2023-04-01 05:53:26.562045,k3s-master,"",podscale-controller-57f68c67fc-hw87x,kube-system,4,100,200,""
2023-04-01 05:53:26.762595,k3s-master,"",custom-metrics-apiserver-8586695c47-2qhfw,custom-metrics,5,200,200,""
2023-04-01 05:53:26.962221,k3s-master,"",local-path-provisioner-79c4646df5-pdf9g,kube-system,1,0,0,""
2023-04-01 05:53:27.161857,ea-k3s-node-eu-west-2-1,graph-mst,graph-mst-ieyoh54e,openfaas-fn,1,200,200,community-0
2023-04-01 05:53:27.363786,ea-k3s-node-eu-west-2-1,graph-bfs,graph-bfs-1244ols7,openfaas-fn,1,450,450,community-0
2023-04-01 05:53:27.76179,k3s-master,"",monitoring-747bdc64bc-cbv4k,default,0,0,0,""
2023-04-01 05:53:28.162449,k3s-master,"",pod-autoscaler-76b6884b54-dkpdt,kube-system,4,500,500,""
2023-04-01 05:53:28.36323,k3s-master,"",flannel-fixer-deployment-5c468f87f8-7qh9v,kube-system,1,0,0,""
2023-04-01 05:53:28.562345,k3s-master,"",traefik-7f48667fb9-gq778,kube-system,3,0,0,""
2023-04-01 05:53:28.762444,ea-k3s-node-eu-west-2-1,"",allocation-algorithm-77df96cb9b-5xx76,default,12,500,1000,""
2023-04-01 05:53:29.162402,k3s-master,"",coredns-5b5bf59798-vrvl7,kube-system,3,0,0,""
2023-04-01 05:53:29.762486,ea-k3s-node-eu-west-2-1,"",slpa-algorithm-76cd7d9b97-t75l9,default,1,100,200,""
2023-04-01 05:53:29.962542,k3s-master,"",cpu-monitoring-7bbd5b549b-jcsfm,kube-system,8,0,0,""
2023-04-01 05:53:34.965716,k3s-master,"",cpu-monitoring-7bbd5b549b-jcsfm,kube-system,8,0,0,""
2023-04-01 05:53:34.9679,ea-k3s-node-eu-west-2-1,"",slpa-algorithm-76cd7d9b97-t75l9,default,1,100,200,""
2023-04-01 05:53:34.969949,k3s-master,"",svclb-traefik-ptgql,kube-system,0,0,0,""
2023-04-01 05:53:34.974765,k3s-master,"",dispatcher-m6bsq,default,1,0,0,""
2023-04-01 05:53:34.978743,ea-k3s-node-eu-west-2-1,"",workload-5cb5f8bd4d-c2vq8,default,8,0,0,""
2023-04-01 05:53:34.980727,ea-k3s-node-eu-west-2-1,"",svclb-traefik-2v8pw,kube-system,0,0,0,""
2023-04-01 05:53:35.165798,ea-k3s-node-eu-west-2-1,"",dispatcher-wtz6r,default,1,0,0,""
2023-04-01 05:53:35.366609,k3s-master,"",metrics-server-c6799cf48-mwb5r,kube-system,5,0,0,""
2023-04-01 05:53:35.564899,k3s-master,"",community-0-556f9b58f9-8wzj4,openfaas-fn,1,200,200,""
