timestamp,node,function,namespace,community,latency,gpu
2023-04-01 06:18:19.624064,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,333,f
2023-04-01 06:18:20.925477,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,397,f
2023-04-01 06:18:22.031146,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,202,f
2023-04-01 06:18:23.139358,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,205,f
2023-04-01 06:18:24.240511,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,197,f
2023-04-01 06:18:25.743657,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,213,f
2023-04-01 06:18:27.44228,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,157,f
2023-04-01 06:18:29.020727,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,165,f
2023-04-01 06:18:30.556468,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,122,f
2023-04-01 06:18:32.059099,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,89,f
2023-04-01 06:18:38.235063,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,105,f
2023-04-01 06:18:39.872035,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,91,f
2023-04-01 06:18:41.37652,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,88,f
2023-04-01 06:18:42.881508,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,88,f
2023-04-01 06:18:44.386045,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,88,f
2023-04-01 06:18:46.02251,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,88,f
2023-04-01 06:18:47.655959,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,89,f
2023-04-01 06:18:49.16111,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,89,f
2023-04-01 06:18:50.666023,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,89,f
2023-04-01 06:18:52.171753,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,89,f
2023-04-01 06:18:58.331442,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,88,f
2023-04-01 06:18:59.958068,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,88,f
