timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-04-01 15:07:45.954435,ea-k3s-node-us-west-2-0,"",allocation-algorithm-77df96cb9b-vtxp9,default,1,500,1000,""
2023-04-01 15:07:46.977179,ea-k3s-node-us-west-2-1,"",dispatcher-4mjtx,default,1,0,0,""
2023-04-01 15:07:47.232929,ea-k3s-node-us-west-2-0,"",edge-system-controller-847d657d8b-ktf94,kube-system,1,100,200,""
2023-04-01 15:07:47.744228,ea-k3s-node-us-west-2-1,thumbnailer,thumbnailer-x7kx6b3d,openfaas-fn,1,300,300,community-1
2023-04-01 15:07:48.511407,ea-k3s-node-us-west-2-0,"",coredns-5b5bf59798-m7vhd,kube-system,3,0,0,""
2023-04-01 15:07:49.279805,ea-k3s-node-us-west-2-0,"",dispatcher-fzc6l,default,1,0,0,""
2023-04-01 15:07:49.537046,ea-k3s-node-us-west-2-0,"",svclb-traefik-xnglp,kube-system,0,0,0,""
2023-04-01 15:07:49.794294,ea-k3s-node-us-west-2-0,"",metrics-server-c6799cf48-btsn4,kube-system,5,0,0,""
2023-04-01 15:07:50.309115,ea-k3s-node-us-west-2-1,"",svclb-traefik-ptzln,kube-system,0,0,0,""
2023-04-01 15:07:51.081213,ea-k3s-node-us-west-2-0,"",delay-discovery-kbrqb,default,0,0,0,""
2023-04-01 15:07:52.111033,ea-k3s-node-us-west-2-1,"",delay-discovery-bfr2t,default,1,0,0,""
2023-04-01 15:07:52.883441,ea-k3s-node-us-west-2-1,"",flannel-fixer-deployment-5c468f87f8-4hpn5,kube-system,1,0,0,""
2023-04-01 15:07:58.144036,ea-k3s-node-us-west-2-1,"",flannel-fixer-deployment-5c468f87f8-4hpn5,kube-system,1,0,0,""
2023-04-01 15:07:58.273574,ea-k3s-node-us-west-2-1,"",delay-discovery-bfr2t,default,1,0,0,""
2023-04-01 15:07:58.660777,ea-k3s-node-us-west-2-0,"",allocation-algorithm-77df96cb9b-vtxp9,default,1,500,1000,""
2023-04-01 15:07:59.947772,ea-k3s-node-us-west-2-0,"",edge-system-controller-847d657d8b-ktf94,kube-system,1,100,200,""
2023-04-01 15:08:00.462517,ea-k3s-node-us-west-2-1,thumbnailer,thumbnailer-x7kx6b3d,openfaas-fn,1,406,406,community-1
2023-04-01 15:08:00.977116,ea-k3s-node-us-west-2-1,"",dispatcher-4mjtx,default,1,0,0,""
2023-04-01 15:08:02.006549,ea-k3s-node-us-west-2-0,"",dispatcher-fzc6l,default,2,0,0,""
2023-04-01 15:08:02.263897,ea-k3s-node-us-west-2-0,"",svclb-traefik-xnglp,kube-system,0,0,0,""
2023-04-01 15:08:02.521251,ea-k3s-node-us-west-2-0,"",metrics-server-c6799cf48-btsn4,kube-system,5,0,0,""
2023-04-01 15:08:02.778615,ea-k3s-node-us-west-2-0,"",coredns-5b5bf59798-m7vhd,kube-system,3,0,0,""
2023-04-01 15:08:04.065318,ea-k3s-node-us-west-2-1,"",svclb-traefik-ptzln,kube-system,0,0,0,""
2023-04-01 15:08:04.837339,ea-k3s-node-us-west-2-0,"",delay-discovery-kbrqb,default,3,0,0,""
2023-04-01 15:08:10.740073,ea-k3s-node-us-west-2-1,"",dispatcher-4mjtx,default,1,0,0,""
2023-04-01 15:08:10.997348,ea-k3s-node-us-west-2-0,"",edge-system-controller-847d657d8b-ktf94,kube-system,1,100,200,""
2023-04-01 15:08:11.512043,ea-k3s-node-us-west-2-1,thumbnailer,thumbnailer-x7kx6b3d,openfaas-fn,1,388,388,community-1
2023-04-01 15:08:12.928077,ea-k3s-node-us-west-2-0,"",dispatcher-fzc6l,default,2,0,0,""
2023-04-01 15:08:13.185384,ea-k3s-node-us-west-2-0,"",svclb-traefik-xnglp,kube-system,0,0,0,""
2023-04-01 15:08:13.442799,ea-k3s-node-us-west-2-0,"",metrics-server-c6799cf48-btsn4,kube-system,5,0,0,""
2023-04-01 15:08:13.700153,ea-k3s-node-us-west-2-0,"",coredns-5b5bf59798-m7vhd,kube-system,3,0,0,""
2023-04-01 15:08:13.829666,ea-k3s-node-us-west-2-1,"",svclb-traefik-ptzln,kube-system,0,0,0,""
2023-04-01 15:08:15.502543,ea-k3s-node-us-west-2-0,"",delay-discovery-kbrqb,default,3,0,0,""
2023-04-01 15:08:16.275099,ea-k3s-node-us-west-2-1,"",flannel-fixer-deployment-5c468f87f8-4hpn5,kube-system,1,0,0,""
2023-04-01 15:08:16.532576,ea-k3s-node-us-west-2-1,"",delay-discovery-bfr2t,default,1,0,0,""
2023-04-01 15:08:17.047,ea-k3s-node-us-west-2-0,"",allocation-algorithm-77df96cb9b-vtxp9,default,14,500,1000,""
2023-04-01 15:08:22.562857,ea-k3s-node-us-west-2-1,thumbnailer,thumbnailer-x7kx6b3d,openfaas-fn,1,259,259,community-1
2023-04-01 15:08:23.077497,ea-k3s-node-us-west-2-1,"",dispatcher-4mjtx,default,1,0,0,""
2023-04-01 15:08:23.334966,ea-k3s-node-us-west-2-0,"",edge-system-controller-847d657d8b-ktf94,kube-system,1,100,200,""
2023-04-01 15:08:24.364306,ea-k3s-node-us-west-2-0,"",svclb-traefik-xnglp,kube-system,0,0,0,""
2023-04-01 15:08:24.621669,ea-k3s-node-us-west-2-0,"",metrics-server-c6799cf48-btsn4,kube-system,5,0,0,""
2023-04-01 15:08:24.878983,ea-k3s-node-us-west-2-0,"",coredns-5b5bf59798-m7vhd,kube-system,3,0,0,""
2023-04-01 15:08:25.645192,ea-k3s-node-us-west-2-0,"",dispatcher-fzc6l,default,2,0,0,""
2023-04-01 15:08:26.411892,ea-k3s-node-us-west-2-1,"",svclb-traefik-ptzln,kube-system,0,0,0,""
2023-04-01 15:08:26.922816,ea-k3s-node-us-west-2-0,"",delay-discovery-kbrqb,default,3,0,0,""
2023-04-01 15:08:27.944596,ea-k3s-node-us-west-2-1,"",flannel-fixer-deployment-5c468f87f8-4hpn5,kube-system,1,0,0,""
2023-04-01 15:08:28.200144,ea-k3s-node-us-west-2-1,"",delay-discovery-bfr2t,default,1,0,0,""
2023-04-01 15:08:29.477911,ea-k3s-node-us-west-2-0,"",allocation-algorithm-77df96cb9b-vtxp9,default,14,500,1000,""
2023-04-01 15:08:35.378978,ea-k3s-node-us-west-2-0,"",allocation-algorithm-77df96cb9b-vtxp9,default,14,500,1000,""
2023-04-01 15:08:36.149216,ea-k3s-node-us-west-2-1,"",dispatcher-4mjtx,default,1,0,0,""
2023-04-01 15:08:36.404761,ea-k3s-node-us-west-2-0,"",edge-system-controller-847d657d8b-ktf94,kube-system,1,100,200,""
2023-04-01 15:08:36.915809,ea-k3s-node-us-west-2-1,thumbnailer,thumbnailer-x7kx6b3d,openfaas-fn,1,468,468,community-1
2023-04-01 15:08:37.683105,ea-k3s-node-us-west-2-0,"",coredns-5b5bf59798-m7vhd,kube-system,3,0,0,""
2023-04-01 15:08:38.449877,ea-k3s-node-us-west-2-0,"",dispatcher-fzc6l,default,2,0,0,""
2023-04-01 15:08:38.705531,ea-k3s-node-us-west-2-0,"",svclb-traefik-xnglp,kube-system,0,0,0,""
2023-04-01 15:08:38.961093,ea-k3s-node-us-west-2-0,"",metrics-server-c6799cf48-btsn4,kube-system,5,0,0,""
2023-04-01 15:08:39.472165,ea-k3s-node-us-west-2-1,"",svclb-traefik-ptzln,kube-system,0,0,0,""
2023-04-01 15:08:40.238864,ea-k3s-node-us-west-2-0,"",delay-discovery-kbrqb,default,3,0,0,""
2023-04-01 15:08:41.261208,ea-k3s-node-us-west-2-1,"",delay-discovery-bfr2t,default,1,0,0,""
2023-04-01 15:08:42.028257,ea-k3s-node-us-west-2-1,"",flannel-fixer-deployment-5c468f87f8-4hpn5,kube-system,1,0,0,""
2023-04-01 15:08:47.158405,ea-k3s-node-us-west-2-0,"",delay-discovery-kbrqb,default,3,0,0,""
2023-04-01 15:08:47.67673,ea-k3s-node-us-west-2-1,"",delay-discovery-bfr2t,default,1,0,0,""
2023-04-01 15:08:48.065505,ea-k3s-node-us-west-2-1,"",flannel-fixer-deployment-5c468f87f8-4hpn5,kube-system,1,0,0,""
2023-04-01 15:08:48.832245,ea-k3s-node-us-west-2-0,"",allocation-algorithm-77df96cb9b-vtxp9,default,14,500,1000,""
2023-04-01 15:08:49.854682,ea-k3s-node-us-west-2-1,"",dispatcher-4mjtx,default,1,0,0,""
2023-04-01 15:08:50.110335,ea-k3s-node-us-west-2-0,"",edge-system-controller-847d657d8b-ktf94,kube-system,1,100,200,""
2023-04-01 15:08:50.621546,ea-k3s-node-us-west-2-1,thumbnailer,thumbnailer-x7kx6b3d,openfaas-fn,1,667,667,community-1
2023-04-01 15:08:51.393658,ea-k3s-node-us-west-2-0,"",coredns-5b5bf59798-m7vhd,kube-system,3,0,0,""
2023-04-01 15:08:52.16592,ea-k3s-node-us-west-2-0,"",dispatcher-fzc6l,default,2,0,0,""
2023-04-01 15:08:52.423367,ea-k3s-node-us-west-2-0,"",svclb-traefik-xnglp,kube-system,0,0,0,""
2023-04-01 15:08:52.680785,ea-k3s-node-us-west-2-0,"",metrics-server-c6799cf48-btsn4,kube-system,5,0,0,""
2023-04-01 15:08:53.195723,ea-k3s-node-us-west-2-1,"",svclb-traefik-ptzln,kube-system,0,0,0,""
2023-04-01 15:08:59.228411,ea-k3s-node-us-west-2-1,"",dispatcher-4mjtx,default,1,0,0,""
2023-04-01 15:08:59.357979,ea-k3s-node-us-west-2-0,"",edge-system-controller-847d657d8b-ktf94,kube-system,1,100,200,""
2023-04-01 15:08:59.617225,ea-k3s-node-us-west-2-1,thumbnailer,thumbnailer-x7kx6b3d,openfaas-fn,44,261,261,community-1
2023-04-01 15:09:00.006031,ea-k3s-node-us-west-2-0,"",metrics-server-c6799cf48-btsn4,kube-system,4,0,0,""
2023-04-01 15:09:00.392957,ea-k3s-node-us-west-2-0,"",coredns-5b5bf59798-m7vhd,kube-system,3,0,0,""
2023-04-01 15:09:00.781584,ea-k3s-node-us-west-2-0,"",dispatcher-fzc6l,default,1,0,0,""
2023-04-01 15:09:00.91124,ea-k3s-node-us-west-2-0,"",svclb-traefik-xnglp,kube-system,0,0,0,""
2023-04-01 15:09:01.170526,ea-k3s-node-us-west-2-1,"",svclb-traefik-ptzln,kube-system,0,0,0,""
2023-04-01 15:09:01.687038,ea-k3s-node-us-west-2-0,"",delay-discovery-kbrqb,default,0,0,0,""
2023-04-01 15:09:02.716572,ea-k3s-node-us-west-2-1,"",delay-discovery-bfr2t,default,0,0,0,""
2023-04-01 15:09:03.489109,ea-k3s-node-us-west-2-1,"",flannel-fixer-deployment-5c468f87f8-4hpn5,kube-system,1,0,0,""
2023-04-01 15:09:04.261292,ea-k3s-node-us-west-2-0,"",allocation-algorithm-77df96cb9b-vtxp9,default,1,500,1000,""
2023-04-01 15:09:10.16625,ea-k3s-node-us-west-2-0,"",allocation-algorithm-77df96cb9b-vtxp9,default,1,500,1000,""
2023-04-01 15:09:11.19754,ea-k3s-node-us-west-2-1,"",dispatcher-4mjtx,default,3,0,0,""
2023-04-01 15:09:11.454981,ea-k3s-node-us-west-2-0,"",edge-system-controller-847d657d8b-ktf94,kube-system,1,100,200,""
2023-04-01 15:09:11.969923,ea-k3s-node-us-west-2-1,thumbnailer,thumbnailer-x7kx6b3d,openfaas-fn,44,300,300,community-1
2023-04-01 15:09:12.741816,ea-k3s-node-us-west-2-0,"",metrics-server-c6799cf48-btsn4,kube-system,4,0,0,""
2023-04-01 15:09:13.256366,ea-k3s-node-us-west-2-0,"",coredns-5b5bf59798-m7vhd,kube-system,3,0,0,""
2023-04-01 15:09:14.028262,ea-k3s-node-us-west-2-0,"",dispatcher-fzc6l,default,1,0,0,""
2023-04-01 15:09:14.285605,ea-k3s-node-us-west-2-0,"",svclb-traefik-xnglp,kube-system,0,0,0,""
