timestamp,node,function,namespace,community,latency,gpu
2023-04-01 08:16:43.293238,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-1,1681,f
2023-04-01 08:16:44.392059,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-1,66,f
2023-04-01 08:16:45.489214,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-1,65,f
2023-04-01 08:16:46.593741,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-1,73,f
2023-04-01 08:16:47.690739,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-1,66,f
2023-04-01 08:16:48.886488,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-1,34,f
2023-04-01 08:16:49.950116,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-1,31,f
2023-04-01 08:16:51.00967,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-1,27,f
2023-04-01 08:16:52.069357,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-1,27,f
2023-04-01 08:16:53.129275,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-1,27,f
2023-04-01 08:16:54.321204,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-1,29,f
2023-04-01 08:16:55.381536,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-1,27,f
2023-04-01 08:16:56.443267,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-1,29,f
2023-04-01 08:16:57.503899,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-1,28,f
2023-04-01 08:16:58.563972,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-1,27,f
2023-04-01 08:16:59.749653,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-1,27,f
2023-04-01 08:17:00.806862,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-1,27,f
2023-04-01 08:17:01.863926,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-1,27,f
2023-04-01 08:17:02.921075,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-1,27,f
2023-04-01 08:17:03.978923,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-1,27,f
