timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-04-01 08:41:51.758455,ea-k3s-node-us-west-1-1,"",delay-discovery-m7xz9,default,1,0,0,""
2023-04-01 08:41:52.016887,ea-k3s-node-us-west-1-0,thumbnailer,thumbnailer-kjqd725m,openfaas-fn,1,200,200,community-1
2023-04-01 08:41:52.275294,ea-k3s-node-us-west-1-0,dynamic-html,dynamic-html-0miwn2dx,openfaas-fn,1,200,200,community-1
2023-04-01 08:41:52.792056,ea-k3s-node-us-west-1-0,"",delay-discovery-2r97r,default,2,0,0,""
2023-04-01 08:41:53.050469,ea-k3s-node-us-west-1-0,"",dispatcher-9lhjk,default,1,0,0,""
2023-04-01 08:41:58.956383,ea-k3s-node-us-west-1-1,"",delay-discovery-m7xz9,default,1,0,0,""
2023-04-01 08:41:59.086168,ea-k3s-node-us-west-1-0,thumbnailer,thumbnailer-kjqd725m,openfaas-fn,1,200,200,community-1
2023-04-01 08:41:59.345527,ea-k3s-node-us-west-1-0,"",delay-discovery-2r97r,default,2,0,0,""
2023-04-01 08:41:59.475216,ea-k3s-node-us-west-1-0,"",dispatcher-9lhjk,default,1,0,0,""
2023-04-01 08:41:59.994353,ea-k3s-node-us-west-1-0,dynamic-html,dynamic-html-0miwn2dx,openfaas-fn,1,200,200,community-1
2023-04-01 08:42:00.769667,ea-k3s-node-us-west-1-1,"",metrics-database-6c5586d74-r89ms,kube-system,6,0,0,""
2023-04-01 08:42:01.28671,ea-k3s-node-us-west-1-0,"",edge-system-controller-847d657d8b-vg5zg,kube-system,1,100,200,""
2023-04-01 08:42:01.803454,ea-k3s-node-us-west-1-0,"",svclb-traefik-rmd56,kube-system,0,0,0,""
2023-04-01 08:42:02.579201,ea-k3s-node-us-west-1-1,"",slpa-algorithm-76cd7d9b97-shsbl,default,1,100,200,""
2023-04-01 08:42:02.83811,ea-k3s-node-us-west-1-0,"",traefik-7f48667fb9-ktghd,kube-system,4,0,0,""
2023-04-01 08:42:03.355763,ea-k3s-node-us-west-1-1,"",dispatcher-rjn4t,default,1,0,0,""
2023-04-01 08:42:03.61536,ea-k3s-node-us-west-1-1,"",flannel-fixer-deployment-5c468f87f8-p7bkr,kube-system,1,0,0,""
2023-04-01 08:42:04.3919,ea-k3s-node-us-west-1-0,compression,compression-g2gypq5s,openfaas-fn,1,300,300,community-1
2023-04-01 08:42:04.650674,ea-k3s-node-us-west-1-0,"",metrics-server-c6799cf48-nsf84,kube-system,6,0,0,""
2023-04-01 08:42:05.168107,ea-k3s-node-us-west-1-1,"",svclb-traefik-mldxv,kube-system,0,0,0,""
2023-04-01 08:42:11.076893,ea-k3s-node-us-west-1-0,"",metrics-server-c6799cf48-nsf84,kube-system,6,0,0,""
2023-04-01 08:42:11.336231,ea-k3s-node-us-west-1-1,"",svclb-traefik-mldxv,kube-system,0,0,0,""
2023-04-01 08:42:11.98411,ea-k3s-node-us-west-1-1,"",delay-discovery-m7xz9,default,1,0,0,""
2023-04-01 08:42:12.243109,ea-k3s-node-us-west-1-0,thumbnailer,thumbnailer-kjqd725m,openfaas-fn,1,200,200,community-1
2023-04-01 08:42:12.760601,ea-k3s-node-us-west-1-0,"",delay-discovery-2r97r,default,2,0,0,""
2023-04-01 08:42:13.019497,ea-k3s-node-us-west-1-0,"",dispatcher-9lhjk,default,1,0,0,""
2023-04-01 08:42:14.055112,ea-k3s-node-us-west-1-0,dynamic-html,dynamic-html-0miwn2dx,openfaas-fn,1,200,200,community-1
2023-04-01 08:42:14.831481,ea-k3s-node-us-west-1-1,"",metrics-database-6c5586d74-r89ms,kube-system,6,0,0,""
2023-04-01 08:42:15.349074,ea-k3s-node-us-west-1-0,"",edge-system-controller-847d657d8b-vg5zg,kube-system,1,100,200,""
2023-04-01 08:42:15.86639,ea-k3s-node-us-west-1-0,"",svclb-traefik-rmd56,kube-system,0,0,0,""
2023-04-01 08:42:16.64231,ea-k3s-node-us-west-1-1,"",slpa-algorithm-76cd7d9b97-shsbl,default,1,100,200,""
2023-04-01 08:42:16.9009,ea-k3s-node-us-west-1-0,"",traefik-7f48667fb9-ktghd,kube-system,4,0,0,""
2023-04-01 08:42:17.418354,ea-k3s-node-us-west-1-1,"",dispatcher-rjn4t,default,3,0,0,""
2023-04-01 08:42:17.677234,ea-k3s-node-us-west-1-1,"",flannel-fixer-deployment-5c468f87f8-p7bkr,kube-system,1,0,0,""
2023-04-01 08:42:18.453655,ea-k3s-node-us-west-1-0,compression,compression-g2gypq5s,openfaas-fn,27,550,550,community-1
2023-04-01 08:42:23.7138,ea-k3s-node-us-west-1-0,"",metrics-server-c6799cf48-nsf84,kube-system,4,0,0,""
2023-04-01 08:42:24.489439,ea-k3s-node-us-west-1-1,"",svclb-traefik-mldxv,kube-system,0,0,0,""
2023-04-01 08:42:25.26481,ea-k3s-node-us-west-1-1,"",delay-discovery-m7xz9,default,3,0,0,""
2023-04-01 08:42:25.523151,ea-k3s-node-us-west-1-0,thumbnailer,thumbnailer-kjqd725m,openfaas-fn,1,200,200,community-1
2023-04-01 08:42:26.556662,ea-k3s-node-us-west-1-0,dynamic-html,dynamic-html-0miwn2dx,openfaas-fn,1,200,200,community-1
2023-04-01 08:42:27.073612,ea-k3s-node-us-west-1-0,"",delay-discovery-2r97r,default,0,0,0,""
2023-04-01 08:42:27.332229,ea-k3s-node-us-west-1-0,"",dispatcher-9lhjk,default,1,0,0,""
2023-04-01 08:42:27.84918,ea-k3s-node-us-west-1-0,"",edge-system-controller-847d657d8b-vg5zg,kube-system,1,100,200,""
2023-04-01 08:42:28.883284,ea-k3s-node-us-west-1-1,"",metrics-database-6c5586d74-r89ms,kube-system,27,0,0,""
2023-04-01 08:42:29.141736,ea-k3s-node-us-west-1-0,"",svclb-traefik-rmd56,kube-system,0,0,0,""
2023-04-01 08:42:29.917934,ea-k3s-node-us-west-1-1,"",slpa-algorithm-76cd7d9b97-shsbl,default,1,100,200,""
2023-04-01 08:42:30.176406,ea-k3s-node-us-west-1-1,"",flannel-fixer-deployment-5c468f87f8-p7bkr,kube-system,1,0,0,""
2023-04-01 08:42:30.952085,ea-k3s-node-us-west-1-0,compression,compression-g2gypq5s,openfaas-fn,27,604,604,community-1
2023-04-01 08:42:31.210643,ea-k3s-node-us-west-1-0,"",traefik-7f48667fb9-ktghd,kube-system,4,0,0,""
2023-04-01 08:42:31.727553,ea-k3s-node-us-west-1-1,"",dispatcher-rjn4t,default,3,0,0,""
2023-04-01 08:42:37.24708,ea-k3s-node-us-west-1-0,"",delay-discovery-2r97r,default,0,0,0,""
2023-04-01 08:42:37.505424,ea-k3s-node-us-west-1-0,"",dispatcher-9lhjk,default,1,0,0,""
2023-04-01 08:42:38.53911,ea-k3s-node-us-west-1-0,dynamic-html,dynamic-html-0miwn2dx,openfaas-fn,1,200,200,community-1
2023-04-01 08:42:39.314562,ea-k3s-node-us-west-1-1,"",metrics-database-6c5586d74-r89ms,kube-system,27,0,0,""
2023-04-01 08:42:39.831443,ea-k3s-node-us-west-1-0,"",edge-system-controller-847d657d8b-vg5zg,kube-system,1,100,200,""
2023-04-01 08:42:40.348281,ea-k3s-node-us-west-1-0,"",svclb-traefik-rmd56,kube-system,0,0,0,""
2023-04-01 08:43:30.766859,ea-k3s-node-us-west-1-0,"",delay-discovery-2r97r,default,3,0,0,""
2023-04-01 08:43:31.025573,ea-k3s-node-us-west-1-0,"",dispatcher-9lhjk,default,1,0,0,""
2023-04-01 08:43:32.579337,ea-k3s-node-us-west-1-1,"",metrics-database-6c5586d74-r89ms,kube-system,3,0,0,""
2023-04-01 08:44:14.349325,ea-k3s-node-us-west-1-0,"",dispatcher-9lhjk,default,1,0,0,""
2023-04-01 08:42:41.123621,ea-k3s-node-us-west-1-1,"",slpa-algorithm-76cd7d9b97-shsbl,default,1,100,200,""
2023-04-01 08:42:41.382068,ea-k3s-node-us-west-1-0,"",traefik-7f48667fb9-ktghd,kube-system,4,0,0,""
2023-04-01 08:42:41.898844,ea-k3s-node-us-west-1-1,"",dispatcher-rjn4t,default,3,0,0,""
2023-04-01 08:42:42.157284,ea-k3s-node-us-west-1-1,"",flannel-fixer-deployment-5c468f87f8-p7bkr,kube-system,1,0,0,""
2023-04-01 08:42:42.932782,ea-k3s-node-us-west-1-0,compression,compression-g2gypq5s,openfaas-fn,27,200,200,community-1
2023-04-01 08:42:43.191285,ea-k3s-node-us-west-1-0,"",metrics-server-c6799cf48-nsf84,kube-system,4,0,0,""
2023-04-01 08:42:43.708281,ea-k3s-node-us-west-1-1,"",svclb-traefik-mldxv,kube-system,0,0,0,""
2023-04-01 08:42:44.743198,ea-k3s-node-us-west-1-1,"",delay-discovery-m7xz9,default,3,0,0,""
2023-04-01 08:42:45.001655,ea-k3s-node-us-west-1-0,thumbnailer,thumbnailer-kjqd725m,openfaas-fn,1,200,200,community-1
2023-04-01 08:42:50.133214,ea-k3s-node-us-west-1-1,"",delay-discovery-m7xz9,default,3,0,0,""
2023-04-01 08:42:50.262973,ea-k3s-node-us-west-1-0,thumbnailer,thumbnailer-kjqd725m,openfaas-fn,1,200,200,community-1
2023-04-01 08:42:50.779893,ea-k3s-node-us-west-1-0,"",delay-discovery-2r97r,default,0,0,0,""
2023-04-01 08:42:51.038303,ea-k3s-node-us-west-1-0,"",dispatcher-9lhjk,default,1,0,0,""
2023-04-01 08:42:52.07216,ea-k3s-node-us-west-1-0,dynamic-html,dynamic-html-0miwn2dx,openfaas-fn,1,200,200,community-1
2023-04-01 08:42:52.847829,ea-k3s-node-us-west-1-1,"",metrics-database-6c5586d74-r89ms,kube-system,27,0,0,""
2023-04-01 08:42:53.365288,ea-k3s-node-us-west-1-0,"",edge-system-controller-847d657d8b-vg5zg,kube-system,1,100,200,""
2023-04-01 08:42:53.882563,ea-k3s-node-us-west-1-0,"",svclb-traefik-rmd56,kube-system,0,0,0,""
2023-04-01 08:42:54.658916,ea-k3s-node-us-west-1-1,"",slpa-algorithm-76cd7d9b97-shsbl,default,1,100,200,""
2023-04-01 08:42:54.917627,ea-k3s-node-us-west-1-0,"",traefik-7f48667fb9-ktghd,kube-system,4,0,0,""
2023-04-01 08:42:55.435154,ea-k3s-node-us-west-1-1,"",dispatcher-rjn4t,default,3,0,0,""
2023-04-01 08:42:55.693856,ea-k3s-node-us-west-1-1,"",flannel-fixer-deployment-5c468f87f8-p7bkr,kube-system,1,0,0,""
2023-04-01 08:42:56.470239,ea-k3s-node-us-west-1-0,compression,compression-g2gypq5s,openfaas-fn,27,200,200,community-1
2023-04-01 08:42:56.728905,ea-k3s-node-us-west-1-0,"",metrics-server-c6799cf48-nsf84,kube-system,4,0,0,""
2023-04-01 08:42:57.246721,ea-k3s-node-us-west-1-1,"",svclb-traefik-mldxv,kube-system,0,0,0,""
2023-04-01 08:43:03.283564,ea-k3s-node-us-west-1-0,"",svclb-traefik-rmd56,kube-system,0,0,0,""
2023-04-01 08:43:03.41329,ea-k3s-node-us-west-1-1,"",slpa-algorithm-76cd7d9b97-shsbl,default,1,100,200,""
2023-04-01 08:43:03.67281,ea-k3s-node-us-west-1-1,"",dispatcher-rjn4t,default,3,0,0,""
2023-04-01 08:43:03.802549,ea-k3s-node-us-west-1-1,"",flannel-fixer-deployment-5c468f87f8-p7bkr,kube-system,1,0,0,""
2023-04-01 08:43:04.192339,ea-k3s-node-us-west-1-0,compression,compression-g2gypq5s,openfaas-fn,27,200,200,community-1
