timestamp,node,function,namespace,community,latency,gpu
2023-04-01 12:45:39.122413,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,149,f
2023-04-01 12:45:40.320055,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,167,f
2023-04-01 12:45:41.436037,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,85,f
2023-04-01 12:45:42.535283,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,68,f
2023-04-01 12:45:43.638314,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,72,f
2023-04-01 12:45:45.533597,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,100,f
2023-04-01 12:45:46.624829,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,61,f
2023-04-01 12:45:47.727501,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,72,f
2023-04-01 12:45:48.826019,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,68,f
2023-04-01 12:45:49.928514,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,72,f
2023-04-01 12:45:51.923892,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,201,f
2023-04-01 12:45:53.03536,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,81,f
2023-04-01 12:45:54.134201,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,68,f
2023-04-01 12:45:55.236714,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,72,f
2023-04-01 12:45:56.337262,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,70,f
2023-04-01 12:45:58.324396,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,191,f
2023-04-01 12:45:59.435687,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,80,f
2023-04-01 12:46:00.618297,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,151,f
2023-04-01 12:46:01.818267,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,168,f
2023-04-01 12:46:02.942174,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,92,f
2023-04-01 12:46:04.919746,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,179,f
2023-04-01 12:46:06.041126,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,89,f
2023-04-01 12:46:07.136205,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,64,f
2023-04-01 12:46:08.234786,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,68,f
2023-04-01 12:46:09.33777,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,72,f
2023-04-01 12:46:11.231951,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,97,f
2023-04-01 12:46:12.331812,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,68,f
2023-04-01 12:46:13.435685,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,73,f
2023-04-01 12:46:14.617945,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,151,f
2023-04-01 12:46:15.821321,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,171,f
2023-04-01 12:46:28.02734,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,104,f
2023-04-01 12:46:29.120909,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,64,f
2023-04-01 12:46:30.222244,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,72,f
2023-04-01 12:46:31.323001,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,72,f
2023-04-01 12:46:32.432936,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,81,f
2023-04-01 12:46:34.333586,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,105,f
2023-04-01 12:46:35.424994,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,60,f
2023-04-01 12:46:36.529383,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,73,f
2023-04-01 12:46:37.626123,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,65,f
2023-04-01 12:46:38.827211,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,169,f
2023-04-01 12:46:45.919673,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,136,f
2023-04-01 12:46:47.032047,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,80,f
2023-04-01 12:46:48.136692,dynamic-html,ea-k3s-node-us-west-2-1,openfaas-fn,community-1,72,f
