timestamp,pod_name,container_name,cpu_actual,cpu_capped
2023-03-31 20:35:48.365599,pod-graph-bfs-dsckjdwg,,0.2,0.2
2023-03-31 20:35:52.935063,pod-graph-bfs-dsckjdwg,,0.2,0.2
2023-03-31 20:35:57.503256,pod-graph-bfs-dsckjdwg,,0.3,0.3
2023-03-31 20:35:48.365599,pod-graph-mst-fw6japz1,,0.2,0.2
2023-03-31 20:35:52.935063,pod-graph-mst-fw6japz1,,0.2,0.2
2023-03-31 20:35:57.503256,pod-graph-mst-fw6japz1,,0.2,0.2
2023-03-31 20:36:02.071656,pod-graph-bfs-dsckjdwg,,0.45,0.45
2023-03-31 20:36:06.673632,pod-graph-bfs-dsckjdwg,,0.675,0.675
2023-03-31 20:36:11.242498,pod-graph-bfs-dsckjdwg,,0.675,0.675
2023-03-31 20:36:15.810384,pod-graph-bfs-dsckjdwg,,0.883,0.883
2023-03-31 20:36:20.378969,pod-graph-bfs-dsckjdwg,,1.062,1.062
2023-03-31 20:36:24.947247,pod-graph-bfs-dsckjdwg,,1.207,1.207
2023-03-31 20:36:29.516103,pod-graph-bfs-dsckjdwg,,1.207,1.207
2023-03-31 20:36:02.071656,pod-graph-mst-fw6japz1,,0.2,0.2
2023-03-31 20:36:06.673632,pod-graph-mst-fw6japz1,,0.2,0.2
2023-03-31 20:36:11.242498,pod-graph-mst-fw6japz1,,0.2,0.2
2023-03-31 20:36:15.810384,pod-graph-mst-fw6japz1,,0.2,0.2
2023-03-31 20:36:20.378969,pod-graph-mst-fw6japz1,,0.2,0.2
2023-03-31 20:36:24.947247,pod-graph-mst-fw6japz1,,0.2,0.2
2023-03-31 20:36:29.516103,pod-graph-mst-fw6japz1,,0.2,0.2
2023-03-31 20:36:34.085774,pod-graph-bfs-dsckjdwg,,1.094,1.094
2023-03-31 20:36:38.689874,pod-graph-bfs-dsckjdwg,,1.039,1.039
2023-03-31 20:36:43.262157,pod-graph-bfs-dsckjdwg,,0.977,0.977
2023-03-31 20:36:47.835145,pod-graph-bfs-dsckjdwg,,0.921,0.921
2023-03-31 20:36:52.409707,pod-graph-bfs-dsckjdwg,,0.921,0.921
2023-03-31 20:36:56.995703,pod-graph-bfs-dsckjdwg,,0.865,0.865
2023-03-31 20:36:34.085774,pod-graph-mst-fw6japz1,,0.2,0.2
2023-03-31 20:36:38.689874,pod-graph-mst-fw6japz1,,0.2,0.2
2023-03-31 20:36:43.262157,pod-graph-mst-fw6japz1,,0.2,0.2
2023-03-31 20:36:47.835145,pod-graph-mst-fw6japz1,,0.2,0.2
2023-03-31 20:36:52.409707,pod-graph-mst-fw6japz1,,0.2,0.2
2023-03-31 20:36:56.995703,pod-graph-mst-fw6japz1,,0.2,0.2
2023-03-31 20:36:52.409707,pod-graph-bfs-0eqixuc0,,1,1
2023-03-31 20:36:52.409707,pod-graph-mst-uehq346v,,1,1
2023-03-31 20:36:56.995703,pod-graph-bfs-0eqixuc0,,0.25,0.25
2023-03-31 20:36:56.995703,pod-graph-mst-uehq346v,,0.25,0.25
2023-03-31 20:37:01.574266,pod-graph-bfs-0eqixuc0,,0.2,0.2
2023-03-31 20:37:01.574266,pod-graph-mst-uehq346v,,0.2,0.2
2023-03-31 20:37:06.192111,pod-graph-bfs-0eqixuc0,,0.2,0.2
2023-03-31 20:37:06.192111,pod-graph-mst-uehq346v,,0.2,0.2
2023-03-31 20:37:11.2969,pod-graph-bfs-0eqixuc0,,0.2,0.2
2023-03-31 20:37:11.2969,pod-graph-mst-uehq346v,,0.2,0.2
2023-03-31 20:37:16.399454,pod-graph-bfs-0eqixuc0,,0.2,0.2
2023-03-31 20:37:16.399454,pod-graph-mst-uehq346v,,0.2,0.2
2023-03-31 20:37:21.495086,pod-graph-bfs-0eqixuc0,,0.2,0.2
2023-03-31 20:37:21.495086,pod-graph-mst-uehq346v,,0.2,0.2
2023-03-31 20:37:26.594123,pod-graph-bfs-0eqixuc0,,0.3,0.3
2023-03-31 20:37:26.594123,pod-graph-mst-uehq346v,,0.2,0.2
2023-03-31 20:37:01.574266,pod-graph-bfs-dsckjdwg,,0.809,0.809
2023-03-31 20:37:06.192111,pod-graph-bfs-dsckjdwg,,0.753,0.753
2023-03-31 20:37:11.2969,pod-graph-bfs-dsckjdwg,,0.697,0.697
2023-03-31 20:37:16.399454,pod-graph-bfs-dsckjdwg,,0.697,0.697
