timestamp,node,function,namespace,community,latency,gpu
2023-03-31 20:35:52.422289,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,392,f
2023-03-31 20:35:54.419981,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,417,f
2023-03-31 20:35:56.124576,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,294,f
2023-03-31 20:35:57.747004,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,211,f
2023-03-31 20:35:59.34398,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,186,f
2023-03-31 20:36:01.028283,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,142,f
2023-03-31 20:36:02.658625,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,91,f
2023-03-31 20:36:04.158223,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,89,f
2023-03-31 20:36:05.659255,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,90,f
2023-03-31 20:36:07.161457,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,90,f
2023-03-31 20:36:08.936939,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,107,f
2023-03-31 20:36:10.565044,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,90,f
2023-03-31 20:36:12.065956,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,91,f
2023-03-31 20:36:13.565775,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,90,f
2023-03-31 20:36:15.065067,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,89,f
2023-03-31 20:36:34.793112,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,90,f
2023-03-31 20:36:36.555076,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,92,f
2023-03-31 20:36:38.057693,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,90,f
2023-03-31 20:36:39.560338,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,89,f
2023-03-31 20:36:41.062899,graph-bfs,ea-k3s-node-eu-west-2-1,openfaas-fn,community-0,89,f
