timestamp,pod_name,container_name,cpu_actual,cpu_capped
2023-04-01 09:22:18.941385,pod-graph-mst-2hot3y9n,,0.2,0.2
2023-04-01 09:22:23.780691,pod-graph-mst-2hot3y9n,,0.2,0.2
2023-04-01 09:22:28.618738,pod-graph-mst-2hot3y9n,,0.3,0.3
2023-04-01 09:22:33.457673,pod-graph-mst-2hot3y9n,,0.3,0.3
2023-04-01 09:22:38.31924,pod-graph-mst-2hot3y9n,,0.45,0.45
2023-04-01 09:22:43.155224,pod-graph-mst-2hot3y9n,,0.675,0.675
2023-04-01 09:22:47.995098,pod-graph-mst-2hot3y9n,,0.766,0.766
2023-04-01 09:22:52.834803,pod-graph-mst-2hot3y9n,,0.755,0.755
2023-04-01 09:22:57.671924,pod-graph-mst-2hot3y9n,,0.755,0.755
2023-04-01 09:23:02.510753,pod-graph-mst-2hot3y9n,,0.612,0.612
2023-04-01 09:23:07.371988,pod-graph-mst-2hot3y9n,,0.212,0.212
2023-04-01 09:23:12.210914,pod-graph-mst-2hot3y9n,,0.205,0.205
2023-04-01 09:23:17.049158,pod-graph-mst-2hot3y9n,,0.307,0.307
2023-04-01 09:23:21.887977,pod-graph-mst-2hot3y9n,,0.449,0.449
2023-04-01 09:23:26.725087,pod-graph-mst-2hot3y9n,,0.449,0.449
2023-04-01 09:23:31.558205,pod-graph-mst-2hot3y9n,,0.571,0.571
2023-04-01 09:23:36.421657,pod-graph-mst-2hot3y9n,,0.678,0.678
2023-04-01 09:23:41.261817,pod-graph-mst-2hot3y9n,,0.657,0.657
2023-04-01 09:23:46.098827,pod-graph-mst-2hot3y9n,,0.408,0.408
2023-04-01 09:23:50.933468,pod-graph-mst-2hot3y9n,,0.408,0.408
2023-04-01 09:23:55.77068,pod-graph-mst-2hot3y9n,,0.2,0.2
2023-04-01 09:24:00.61057,pod-graph-mst-2hot3y9n,,0.257,0.257
2023-04-01 09:24:05.466041,pod-graph-mst-2hot3y9n,,0.327,0.327
2023-04-01 09:24:10.302522,pod-graph-mst-2hot3y9n,,0.467,0.467
2023-04-01 09:24:15.139613,pod-graph-mst-2hot3y9n,,0.467,0.467
2023-04-01 09:24:19.975808,pod-graph-mst-2hot3y9n,,0.588,0.588
2023-04-01 09:24:24.815662,pod-graph-mst-2hot3y9n,,0.74,0.74
2023-04-01 09:24:29.654357,pod-graph-mst-2hot3y9n,,0.669,0.669
2023-04-01 09:24:34.489512,pod-graph-mst-2hot3y9n,,0.576,0.576
2023-04-01 09:24:39.354772,pod-graph-mst-2hot3y9n,,0.576,0.576
2023-04-01 09:24:44.19486,pod-graph-mst-2hot3y9n,,0.315,0.315
2023-04-01 09:24:49.030919,pod-graph-mst-2hot3y9n,,0.2,0.2
2023-04-01 09:24:53.862937,pod-graph-mst-2hot3y9n,,0.3,0.3
2023-04-01 09:24:58.699697,pod-graph-mst-2hot3y9n,,0.388,0.388
2023-04-01 09:25:03.536904,pod-graph-mst-2hot3y9n,,0.388,0.388
2023-04-01 09:25:08.399073,pod-graph-mst-2hot3y9n,,0.496,0.496
2023-04-01 09:25:13.234982,pod-graph-mst-2hot3y9n,,0.572,0.572
2023-04-01 09:25:18.07278,pod-graph-mst-2hot3y9n,,0.604,0.604
2023-04-01 09:25:22.906041,pod-graph-mst-2hot3y9n,,0.457,0.457
2023-04-01 09:25:27.741862,pod-graph-mst-2hot3y9n,,0.457,0.457
2023-04-01 09:25:32.575633,pod-graph-mst-2hot3y9n,,0.206,0.206
2023-04-01 09:25:37.43618,pod-graph-mst-2hot3y9n,,0.271,0.271
2023-04-01 09:25:42.272602,pod-graph-mst-2hot3y9n,,0.384,0.384
2023-04-01 09:25:47.108806,pod-graph-mst-2hot3y9n,,0.499,0.499
2023-04-01 09:25:51.946448,pod-graph-mst-2hot3y9n,,0.603,0.603
2023-04-01 09:25:56.781898,pod-graph-mst-2hot3y9n,,0.603,0.603
2023-04-01 09:26:01.618224,pod-graph-mst-2hot3y9n,,0.715,0.715
2023-04-01 09:26:06.48168,pod-graph-mst-2hot3y9n,,0.629,0.629
2023-04-01 09:26:11.316586,pod-graph-mst-2hot3y9n,,0.485,0.485
2023-04-01 09:26:11.316586,pod-graph-mst-se5p5vin,,0.25,0.25
2023-04-01 09:26:16.158959,pod-graph-mst-2hot3y9n,,0.299,0.299
2023-04-01 09:26:16.158959,pod-graph-mst-se5p5vin,,0.375,0.375
2023-04-01 09:26:21.002125,pod-graph-mst-2hot3y9n,,0.299,0.299
2023-04-01 09:26:21.002125,pod-graph-mst-se5p5vin,,0.375,0.375
2023-04-01 09:26:25.854937,pod-graph-mst-2hot3y9n,,0.235,0.235
2023-04-01 09:26:25.854937,pod-graph-mst-se5p5vin,,0.562,0.562
2023-04-01 09:26:30.702927,pod-graph-mst-2hot3y9n,,0.259,0.259
2023-04-01 09:26:30.702927,pod-graph-mst-se5p5vin,,0.813,0.813
2023-04-01 09:26:35.582072,pod-graph-mst-2hot3y9n,,0.388,0.388
2023-04-01 09:26:35.582072,pod-graph-mst-se5p5vin,,1.057,1.057
2023-04-01 09:26:40.429807,pod-graph-mst-2hot3y9n,,0.568,0.568
2023-04-01 09:26:40.429807,pod-graph-mst-se5p5vin,,1.254,1.254
2023-04-01 09:26:45.276899,pod-graph-mst-2hot3y9n,,0.568,0.568
2023-04-01 09:26:45.276899,pod-graph-mst-se5p5vin,,1.254,1.254
2023-04-01 09:26:50.126939,pod-graph-mst-2hot3y9n,,0.684,0.684
2023-04-01 09:26:50.126939,pod-graph-mst-se5p5vin,,0.958,0.958
2023-04-01 09:26:54.975451,pod-graph-mst-2hot3y9n,,0.734,0.734
2023-04-01 09:26:54.975451,pod-graph-mst-se5p5vin,,0.634,0.634
