timestamp,node,function,namespace,community,latency,gpu
2023-03-31 15:28:03.838238,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,83,f
2023-03-31 15:28:05.03869,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,42,f
2023-03-31 15:28:06.235679,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,38,f
2023-03-31 15:28:07.421732,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,27,f
2023-03-31 15:28:08.607792,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,27,f
2023-03-31 15:28:16.237037,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,34,f
2023-03-31 15:28:17.240081,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,98,f
2023-03-31 15:28:18.239847,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,94,f
2023-03-31 15:28:19.238977,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,94,f
2023-03-31 15:28:20.238426,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,94,f
2023-03-31 15:28:22.139417,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,102,f
2023-03-31 15:28:23.335994,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,38,f
2023-03-31 15:28:24.537101,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,42,f
2023-03-31 15:28:25.738385,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,42,f
2023-03-31 15:28:26.938752,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,42,f
2023-03-31 15:28:28.638949,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,27,f
2023-03-31 15:28:29.639121,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,94,f
2023-03-31 15:28:30.638966,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,95,f
2023-03-31 15:28:31.638904,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,94,f
2023-03-31 15:28:32.638489,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,94,f
2023-03-31 15:28:34.237118,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,50,f
2023-03-31 15:28:35.236555,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,95,f
2023-03-31 15:28:36.239911,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,98,f
2023-03-31 15:28:37.239051,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,95,f
2023-03-31 15:28:38.238756,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,94,f
2023-03-31 15:28:39.837389,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,54,f
2023-03-31 15:28:40.836796,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,94,f
2023-03-31 15:28:41.835659,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,94,f
2023-03-31 15:28:42.837968,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,98,f
2023-03-31 15:28:43.836921,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,94,f
2023-03-31 15:28:45.439081,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,58,f
2023-03-31 15:28:46.438707,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,94,f
2023-03-31 15:28:47.439024,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,95,f
2023-03-31 15:28:48.439041,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,95,f
2023-03-31 15:28:49.439623,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,95,f
2023-03-31 15:29:03.139469,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,46,f
2023-03-31 15:29:04.341017,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,42,f
2023-03-31 15:29:05.535282,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,34,f
2023-03-31 15:29:06.742051,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,47,f
2023-03-31 15:29:07.939218,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,39,f
2023-03-31 15:29:09.938156,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,70,f
2023-03-31 15:29:11.135819,compression,ea-k3s-node-us-west-1-1,openfaas-fn,community-1,38,f
