timestamp,node,function,namespace,community,latency,gpu
2023-03-31 16:43:10.978207,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,198,f
2023-03-31 16:43:12.176596,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,166,f
2023-03-31 16:43:13.378819,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,170,f
2023-03-31 16:43:14.580258,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,170,f
2023-03-31 16:43:15.778704,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,166,f
2023-03-31 16:43:23.58724,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,85,f
2023-03-31 16:43:24.680188,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,62,f
2023-03-31 16:43:25.755365,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,44,f
2023-03-31 16:43:26.830927,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,44,f
2023-03-31 16:43:27.905189,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,43,f
2023-03-31 16:43:29.771395,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,65,f
2023-03-31 16:43:30.88085,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,77,f
2023-03-31 16:43:31.955851,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,43,f
2023-03-31 16:43:33.031364,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,44,f
2023-03-31 16:43:34.106599,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,44,f
2023-03-31 16:43:41.899747,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,77,f
2023-03-31 16:43:43.00146,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,69,f
2023-03-31 16:43:44.089987,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,56,f
2023-03-31 16:43:45.190591,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,69,f
2023-03-31 16:43:46.291575,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,69,f
2023-03-31 16:43:48.285355,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,190,f
2023-03-31 16:43:49.487055,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,170,f
2023-03-31 16:43:50.595203,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,77,f
2023-03-31 16:43:51.780506,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,154,f
2023-03-31 16:43:52.979235,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,167,f
2023-03-31 16:43:54.978278,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,202,f
2023-03-31 16:43:56.178708,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,170,f
2023-03-31 16:43:57.37963,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,170,f
2023-03-31 16:43:58.579867,dynamic-html,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,170,f
