timestamp,pod_name,container_name,cpu_actual,cpu_capped
2023-03-31 15:39:53.918812,pod-graph-bfs-61anxnds,,0.2,0.2
2023-03-31 15:39:58.761207,pod-graph-bfs-61anxnds,,0.3,0.3
2023-03-31 15:39:53.918812,pod-graph-mst-ckjdwgfw,,0.2,0.2
2023-03-31 15:39:58.761207,pod-graph-mst-ckjdwgfw,,0.2,0.2
2023-03-31 15:40:03.600588,pod-graph-bfs-61anxnds,,0.45,0.45
2023-03-31 15:40:08.466935,pod-graph-bfs-61anxnds,,0.675,0.675
2023-03-31 15:40:13.305673,pod-graph-bfs-61anxnds,,0.873,0.873
2023-03-31 15:40:18.146063,pod-graph-bfs-61anxnds,,0.873,0.873
2023-03-31 15:40:22.983489,pod-graph-bfs-61anxnds,,1.035,1.035
2023-03-31 15:40:27.825041,pod-graph-bfs-61anxnds,,1.142,1.142
2023-03-31 15:40:03.600588,pod-graph-mst-ckjdwgfw,,0.2,0.2
2023-03-31 15:40:08.466935,pod-graph-mst-ckjdwgfw,,0.2,0.2
2023-03-31 15:40:13.305673,pod-graph-mst-ckjdwgfw,,0.2,0.2
2023-03-31 15:40:18.146063,pod-graph-mst-ckjdwgfw,,0.2,0.2
2023-03-31 15:40:22.983489,pod-graph-mst-ckjdwgfw,,0.2,0.2
2023-03-31 15:40:27.825041,pod-graph-mst-ckjdwgfw,,0.2,0.2
2023-03-31 15:40:32.670779,pod-graph-bfs-61anxnds,,1.137,1.137
2023-03-31 15:40:37.527929,pod-graph-bfs-61anxnds,,1.093,1.093
2023-03-31 15:40:42.366458,pod-graph-bfs-61anxnds,,1.093,1.093
2023-03-31 15:40:47.206622,pod-graph-bfs-61anxnds,,1.044,1.044
2023-03-31 15:40:52.045751,pod-graph-bfs-61anxnds,,0.988,0.988
2023-03-31 15:40:56.886053,pod-graph-bfs-61anxnds,,0.938,0.938
2023-03-31 15:40:32.670779,pod-graph-mst-ckjdwgfw,,0.2,0.2
2023-03-31 15:40:37.527929,pod-graph-mst-ckjdwgfw,,0.2,0.2
2023-03-31 15:40:42.366458,pod-graph-mst-ckjdwgfw,,0.2,0.2
2023-03-31 15:40:47.206622,pod-graph-mst-ckjdwgfw,,0.2,0.2
2023-03-31 15:40:52.045751,pod-graph-mst-ckjdwgfw,,0.2,0.2
2023-03-31 15:40:56.886053,pod-graph-mst-ckjdwgfw,,0.2,0.2
2023-03-31 15:41:01.726951,pod-graph-bfs-61anxnds,,0.888,0.888
2023-03-31 15:41:06.678448,pod-graph-bfs-61anxnds,,0.888,0.888
2023-03-31 15:41:11.520846,pod-graph-bfs-61anxnds,,0.838,0.838
2023-03-31 15:41:16.358858,pod-graph-bfs-61anxnds,,0.788,0.788
2023-03-31 15:41:21.203861,pod-graph-bfs-61anxnds,,0.756,0.756
2023-03-31 15:41:26.048739,pod-graph-bfs-61anxnds,,0.718,0.718
2023-03-31 15:41:01.726951,pod-graph-mst-ckjdwgfw,,0.2,0.2
2023-03-31 15:41:06.678448,pod-graph-mst-ckjdwgfw,,0.2,0.2
2023-03-31 15:41:11.520846,pod-graph-mst-ckjdwgfw,,0.2,0.2
2023-03-31 15:41:16.358858,pod-graph-mst-ckjdwgfw,,0.2,0.2
2023-03-31 15:41:21.203861,pod-graph-mst-ckjdwgfw,,0.2,0.2
2023-03-31 15:41:26.048739,pod-graph-mst-ckjdwgfw,,0.2,0.2
2023-03-31 15:41:26.048739,pod-graph-bfs-hf8kq9u3,,1,1
2023-03-31 15:41:26.048739,pod-graph-bfs-mhlnmdbf,,1,1
2023-03-31 15:41:30.903408,pod-graph-bfs-61anxnds,,0.718,0.718
2023-03-31 15:41:35.780376,pod-graph-bfs-61anxnds,,0.68,0.68
2023-03-31 15:41:40.638962,pod-graph-bfs-61anxnds,,0.642,0.642
2023-03-31 15:41:45.498274,pod-graph-bfs-61anxnds,,0.604,0.604
2023-03-31 15:41:50.354685,pod-graph-bfs-61anxnds,,0.566,0.566
2023-03-31 15:41:55.213169,pod-graph-bfs-61anxnds,,0.528,0.528
2023-03-31 15:41:30.903408,pod-graph-bfs-hf8kq9u3,,1,1
2023-03-31 15:41:30.903408,pod-graph-bfs-mhlnmdbf,,1,1
2023-03-31 15:41:35.780376,pod-graph-bfs-hf8kq9u3,,1.5,1.5
2023-03-31 15:41:35.780376,pod-graph-bfs-mhlnmdbf,,0.25,0.25
2023-03-31 15:41:40.638962,pod-graph-bfs-hf8kq9u3,,1.757,1.757
2023-03-31 15:41:40.638962,pod-graph-bfs-mhlnmdbf,,0.2,0.2
2023-03-31 15:41:45.498274,pod-graph-bfs-hf8kq9u3,,2.014,2.014
2023-03-31 15:41:45.498274,pod-graph-bfs-mhlnmdbf,,0.2,0.2
2023-03-31 15:41:50.354685,pod-graph-bfs-hf8kq9u3,,2.235,2.235
2023-03-31 15:41:50.354685,pod-graph-bfs-mhlnmdbf,,0.2,0.2
2023-03-31 15:41:55.213169,pod-graph-bfs-hf8kq9u3,,2.379,2.379
2023-03-31 15:41:55.213169,pod-graph-bfs-mhlnmdbf,,0.2,0.2
2023-03-31 15:41:30.903408,pod-graph-mst-ckjdwgfw,,0.2,0.2
2023-03-31 15:41:35.780376,pod-graph-mst-ckjdwgfw,,0.2,0.2
2023-03-31 15:41:40.638962,pod-graph-mst-ckjdwgfw,,0.2,0.2
2023-03-31 15:41:45.498274,pod-graph-mst-ckjdwgfw,,0.2,0.2
2023-03-31 15:41:50.354685,pod-graph-mst-ckjdwgfw,,0.2,0.2
2023-03-31 15:41:55.213169,pod-graph-mst-ckjdwgfw,,0.2,0.2
2023-03-31 15:42:00.066935,pod-graph-bfs-61anxnds,,0.528,0.528
2023-03-31 15:42:00.066935,pod-graph-bfs-hf8kq9u3,,2.379,2.379
2023-03-31 15:42:00.066935,pod-graph-bfs-mhlnmdbf,,0.2,0.2
2023-03-31 15:42:04.686576,pod-graph-bfs-hf8kq9u3,,2.534,2.534
