timestamp,node,function,namespace,community,latency,gpu
2023-03-31 17:58:20.890475,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,195,f
2023-03-31 17:58:22.093222,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,170,f
2023-03-31 17:58:23.291175,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,166,f
2023-03-31 17:58:24.476507,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,154,f
2023-03-31 17:58:25.679371,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,171,f
2023-03-31 17:58:27.598624,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,118,f
2023-03-31 17:58:28.701141,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,71,f
2023-03-31 17:58:29.80233,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,70,f
2023-03-31 17:58:30.898695,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,66,f
2023-03-31 17:58:31.998407,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,69,f
2023-03-31 17:58:39.682874,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,94,f
2023-03-31 17:58:40.783973,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,70,f
2023-03-31 17:58:41.881366,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,66,f
2023-03-31 17:58:42.982541,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,70,f
2023-03-31 17:58:44.08334,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,70,f
2023-03-31 17:58:45.938533,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,57,f
2023-03-31 17:58:47.028209,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,58,f
2023-03-31 17:58:48.116362,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,57,f
2023-03-31 17:58:49.205205,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,57,f
2023-03-31 17:58:50.295532,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,59,f
2023-03-31 17:58:52.02794,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,57,f
2023-03-31 17:58:53.11641,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,57,f
2023-03-31 17:58:54.205543,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,58,f
2023-03-31 17:58:55.303349,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,66,f
2023-03-31 17:58:56.400499,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,66,f
2023-03-31 17:58:58.196166,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,122,f
2023-03-31 17:58:59.301149,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,74,f
2023-03-31 17:59:00.578845,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,247,f
2023-03-31 17:59:01.792523,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,183,f
2023-03-31 17:59:02.990326,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,167,f
2023-03-31 17:59:04.876421,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,214,f
2023-03-31 17:59:06.090599,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,183,f
2023-03-31 17:59:07.284268,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,162,f
2023-03-31 17:59:08.477842,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,162,f
2023-03-31 17:59:09.67983,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,170,f
2023-03-31 17:59:11.482981,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,130,f
2023-03-31 17:59:12.603545,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,89,f
2023-03-31 17:59:13.695862,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,62,f
2023-03-31 17:59:14.796275,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,69,f
2023-03-31 17:59:15.896779,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,70,f
2023-03-31 17:59:17.689689,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,121,f
2023-03-31 17:59:18.79629,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,74,f
2023-03-31 17:59:19.889752,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,62,f
2023-03-31 17:59:20.991654,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,70,f
2023-03-31 17:59:22.088487,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,66,f
2023-03-31 17:59:29.884974,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,79,f
2023-03-31 17:59:30.977958,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,62,f
2023-03-31 17:59:32.065648,thumbnailer,ea-k3s-node-eu-west-1-1,openfaas-fn,community-1,57,f
