timestamp,node,function,namespace,community,latency,gpu
2023-03-31 22:04:51.455186,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,40,f
2023-03-31 22:04:52.456472,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,96,f
2023-03-31 22:04:53.456973,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,96,f
2023-03-31 22:04:54.457808,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,96,f
2023-03-31 22:04:55.454937,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,92,f
2023-03-31 22:04:56.772536,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,27,f
2023-03-31 22:04:57.957074,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,27,f
2023-03-31 22:04:59.140726,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,26,f
2023-03-31 22:05:00.325107,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,27,f
2023-03-31 22:05:01.508813,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,27,f
2023-03-31 22:05:07.864278,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,27,f
2023-03-31 22:05:08.857194,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,88,f
2023-03-31 22:05:09.857477,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,96,f
2023-03-31 22:05:10.854338,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,92,f
2023-03-31 22:05:11.854731,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,96,f
2023-03-31 22:05:12.854597,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,88,f
2023-03-31 22:05:13.855468,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,96,f
2023-03-31 22:05:14.856357,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,96,f
2023-03-31 22:05:15.856635,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,96,f
2023-03-31 22:05:16.857994,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,96,f
2023-03-31 22:05:23.359,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,48,f
2023-03-31 22:05:24.555472,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,40,f
2023-03-31 22:05:25.75589,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,44,f
2023-03-31 22:05:26.957447,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,44,f
2023-03-31 22:05:28.154917,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,40,f
2023-03-31 22:05:29.257836,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,64,f
2023-03-31 22:05:30.255663,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,92,f
2023-03-31 22:05:31.257204,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,97,f
2023-03-31 22:05:32.256237,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,93,f
2023-03-31 22:05:33.257168,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,96,f
2023-03-31 22:05:34.258332,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,89,f
2023-03-31 22:05:35.255435,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,92,f
2023-03-31 22:05:36.257371,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,96,f
2023-03-31 22:05:37.254403,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,92,f
2023-03-31 22:05:38.257443,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,98,f
2023-03-31 22:05:44.754155,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,48,f
2023-03-31 22:05:45.957522,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,44,f
2023-03-31 22:05:47.157242,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,40,f
2023-03-31 22:05:48.357885,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,41,f
2023-03-31 22:05:49.557097,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,40,f
2023-03-31 22:05:50.656749,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,60,f
2023-03-31 22:05:51.657571,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,96,f
2023-03-31 22:05:52.654563,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,92,f
2023-03-31 22:05:53.655501,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,96,f
2023-03-31 22:05:54.656567,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,96,f
2023-03-31 22:06:16.75722,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,68,f
2023-03-31 22:06:17.757861,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,96,f
2023-03-31 22:06:18.755182,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,92,f
2023-03-31 22:06:19.755724,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,96,f
2023-03-31 22:06:20.757519,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,97,f
2023-03-31 22:06:21.756973,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,88,f
2023-03-31 22:06:22.758941,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,97,f
2023-03-31 22:06:23.755566,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,92,f
2023-03-31 22:06:24.756537,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,96,f
2023-03-31 22:06:25.757554,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,97,f
2023-03-31 22:06:31.971111,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,27,f
2023-03-31 22:06:32.95606,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,80,f
2023-03-31 22:06:33.956538,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,96,f
2023-03-31 22:06:34.957832,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,96,f
2023-03-31 22:06:35.555395,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,68,f
2023-03-31 22:06:35.958466,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,96,f
2023-03-31 22:06:36.555481,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,96,f
2023-03-31 22:06:37.555663,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,96,f
2023-03-31 22:06:38.556069,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,96,f
2023-03-31 22:06:39.556217,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,96,f
2023-03-31 22:06:47.754841,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,68,f
2023-03-31 22:06:48.956938,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,44,f
2023-03-31 22:06:50.156259,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,40,f
2023-03-31 22:06:51.055771,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,28,f
2023-03-31 22:06:51.358206,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,44,f
2023-03-31 22:06:52.055987,compression,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,96,f
