timestamp,node,function,namespace,community,latency,gpu
2023-03-31 23:19:54.355005,dynamic-html,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,211,f
2023-03-31 23:19:55.458281,dynamic-html,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,199,f
2023-03-31 23:19:56.478311,dynamic-html,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,116,f
2023-03-31 23:19:57.467214,dynamic-html,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,84,f
2023-03-31 23:19:58.463907,dynamic-html,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,93,f
2023-03-31 23:19:59.461453,dynamic-html,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,85,f
2023-03-31 23:20:00.463597,dynamic-html,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,98,f
2023-03-31 23:20:01.461888,dynamic-html,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,93,f
2023-03-31 23:20:02.474216,dynamic-html,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,107,f
2023-03-31 23:20:03.461189,dynamic-html,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,81,f
2023-03-31 23:20:09.765373,dynamic-html,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,109,f
2023-03-31 23:20:10.760154,dynamic-html,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,90,f
2023-03-31 23:20:11.756988,dynamic-html,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,92,f
2023-03-31 23:20:12.754793,dynamic-html,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,93,f
2023-03-31 23:20:13.74335,dynamic-html,ea-k3s-node-us-west-1-1,openfaas-fn,community-0,82,f
2023-03-31 23:20:20.044443,dynamic-html,ea-k3s-node-us-west-1-1,openfaas-fn,community-0,107,f
2023-03-31 23:20:20.994428,dynamic-html,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,45,f
2023-03-31 23:20:21.942219,dynamic-html,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,43,f
2023-03-31 23:20:22.890201,dynamic-html,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,43,f
2023-03-31 23:20:23.8441,dynamic-html,ea-k3s-node-us-west-1-1,openfaas-fn,community-0,50,f
2023-03-31 23:20:24.797398,dynamic-html,ea-k3s-node-us-west-1-1,openfaas-fn,community-0,41,f
2023-03-31 23:20:25.74361,dynamic-html,ea-k3s-node-us-west-1-1,openfaas-fn,community-0,41,f
2023-03-31 23:20:26.693316,dynamic-html,ea-k3s-node-us-west-1-1,openfaas-fn,community-0,44,f
2023-03-31 23:20:27.640782,dynamic-html,ea-k3s-node-us-west-1-1,openfaas-fn,community-0,42,f
2023-03-31 23:20:28.656216,dynamic-html,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,111,f
2023-03-31 23:20:29.607971,dynamic-html,ea-k3s-node-us-west-1-1,openfaas-fn,community-0,41,f
2023-03-31 23:20:30.552189,dynamic-html,ea-k3s-node-us-west-1-1,openfaas-fn,community-0,41,f
2023-03-31 23:20:31.562802,dynamic-html,ea-k3s-node-us-west-1-0,openfaas-fn,community-0,107,f
