timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-03-31 23:19:56.186417,ea-k3s-node-us-west-1-0,thumbnailer,thumbnailer-7ari0f29,openfaas-fn,1,200,200,community-0
2023-03-31 23:19:57.725313,ea-k3s-node-us-west-1-1,"",metrics-server-c6799cf48-cfxmt,kube-system,5,0,0,""
2023-03-31 23:19:57.981776,ea-k3s-node-us-west-1-1,"",svclb-traefik-l8ldh,kube-system,0,0,0,""
2023-03-31 23:19:58.494436,ea-k3s-node-us-west-1-0,"",coredns-5b5bf59798-r4fnp,kube-system,3,0,0,""
2023-03-31 23:19:59.519751,ea-k3s-node-us-west-1-0,dynamic-html,dynamic-html-bcnsfypc,openfaas-fn,1,200,200,community-0
2023-03-31 23:19:53.364511,ea-k3s-node-us-west-1-0,compression,compression-5gcw06n4,openfaas-fn,1,200,200,community-0
2023-03-31 23:19:53.621142,ea-k3s-node-us-west-1-0,"",dispatcher-xjzhb,default,1,0,0,""
2023-03-31 23:19:53.877921,ea-k3s-node-us-west-1-1,"",slpa-algorithm-76cd7d9b97-htz78,default,1,100,200,""
2023-03-31 23:19:54.134539,ea-k3s-node-us-west-1-0,"",delay-discovery-sckd2,default,2,0,0,""
2023-03-31 23:19:54.391061,ea-k3s-node-us-west-1-0,"",svclb-traefik-mdtm9,kube-system,0,0,0,""
2023-03-31 23:19:54.903807,ea-k3s-node-us-west-1-1,"",traefik-7f48667fb9-vm7kn,kube-system,4,0,0,""
2023-03-31 23:19:55.801604,ea-k3s-node-us-west-1-0,"",edge-system-controller-847d657d8b-tr4f5,kube-system,1,100,200,""
2023-03-31 23:19:55.929996,ea-k3s-node-us-west-1-1,"",dispatcher-b7kvv,default,1,0,0,""
2023-03-31 23:20:04.907255,ea-k3s-node-us-west-1-0,"",edge-system-controller-847d657d8b-tr4f5,kube-system,1,100,200,""
2023-03-31 23:20:05.163839,ea-k3s-node-us-west-1-1,"",dispatcher-b7kvv,default,1,0,0,""
2023-03-31 23:20:05.292587,ea-k3s-node-us-west-1-0,thumbnailer,thumbnailer-7ari0f29,openfaas-fn,1,200,200,community-0
2023-03-31 23:20:06.064047,ea-k3s-node-us-west-1-1,"",metrics-server-c6799cf48-cfxmt,kube-system,5,0,0,""
2023-03-31 23:20:06.192611,ea-k3s-node-us-west-1-1,"",svclb-traefik-l8ldh,kube-system,0,0,0,""
2023-03-31 23:20:06.449588,ea-k3s-node-us-west-1-0,"",coredns-5b5bf59798-r4fnp,kube-system,3,0,0,""
2023-03-31 23:20:07.348093,ea-k3s-node-us-west-1-0,dynamic-html,dynamic-html-bcnsfypc,openfaas-fn,1,303,303,community-0
2023-03-31 23:20:07.861252,ea-k3s-node-us-west-1-1,"",workload-5cb5f8bd4d-nfxnv,default,0,0,0,""
2023-03-31 23:20:08.373751,ea-k3s-node-us-west-1-1,"",delay-discovery-fksqc,default,0,0,0,""
2023-03-31 23:20:08.886501,ea-k3s-node-us-west-1-0,"",svclb-traefik-mdtm9,kube-system,0,0,0,""
