timestamp,node,function,namespace,community,latency,gpu
2023-03-31 18:48:55.800038,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,630,f
2023-03-31 18:48:57.016176,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,184,f
2023-03-31 18:48:58.610873,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,562,f
2023-03-31 18:48:59.896032,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,253,f
2023-03-31 18:49:01.097436,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,169,f
2023-03-31 18:49:06.900638,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,115,f
2023-03-31 18:49:08.011521,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,79,f
2023-03-31 18:49:09.107782,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,65,f
2023-03-31 18:49:10.212352,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,74,f
2023-03-31 18:49:11.313833,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,71,f
2023-03-31 18:49:16.934656,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,62,f
2023-03-31 18:49:18.030156,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,64,f
2023-03-31 18:49:19.126428,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,66,f
2023-03-31 18:49:20.220419,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,63,f
2023-03-31 18:49:21.314278,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,63,f
2023-03-31 18:49:26.93581,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,63,f
2023-03-31 18:49:28.030133,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,63,f
2023-03-31 18:49:29.124198,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,63,f
2023-03-31 18:49:30.218812,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,64,f
2023-03-31 18:49:31.312321,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,63,f
2023-03-31 18:49:41.59714,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,74,f
2023-03-31 18:49:42.805713,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,177,f
2023-03-31 18:49:43.997878,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,160,f
2023-03-31 18:49:45.201056,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,172,f
2023-03-31 18:49:46.39662,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,164,f
2023-03-31 18:49:47.623848,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,65,f
2023-03-31 18:49:48.728075,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,73,f
2023-03-31 18:49:50.394237,graph-mst,ea-k3s-node-us-west-2-0,openfaas-fn,community-0,635,f
2023-03-31 18:49:51.517093,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,93,f
2023-03-31 18:49:52.617119,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,69,f
2023-03-31 18:49:53.905717,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,122,f
2023-03-31 18:49:55.415705,graph-mst,ea-k3s-node-us-west-2-0,openfaas-fn,community-0,476,f
2023-03-31 18:49:56.517605,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,69,f
2023-03-31 18:49:57.616177,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,66,f
2023-03-31 18:49:58.800206,graph-mst,ea-k3s-node-us-west-2-0,openfaas-fn,community-0,151,f
2023-03-31 18:50:00.032217,graph-mst,ea-k3s-node-us-west-2-0,openfaas-fn,community-0,66,f
2023-03-31 18:50:01.12991,graph-mst,ea-k3s-node-us-west-2-0,openfaas-fn,community-0,67,f
2023-03-31 18:50:02.227491,graph-mst,ea-k3s-node-us-west-2-0,openfaas-fn,community-0,67,f
2023-03-31 18:50:03.322811,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,65,f
2023-03-31 18:50:04.42187,graph-mst,ea-k3s-node-us-west-2-0,openfaas-fn,community-0,68,f
2023-03-31 18:50:05.703447,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,120,f
2023-03-31 18:50:06.819805,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,85,f
2023-03-31 18:50:07.918409,graph-mst,ea-k3s-node-us-west-2-0,openfaas-fn,community-0,67,f
2023-03-31 18:50:09.017575,graph-mst,ea-k3s-node-us-west-2-0,openfaas-fn,community-0,67,f
2023-03-31 18:50:10.11447,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,66,f
2023-03-31 18:50:11.397773,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,121,f
2023-03-31 18:50:12.517996,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,90,f
2023-03-31 18:50:13.618322,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,69,f
2023-03-31 18:50:14.713156,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,64,f
2023-03-31 18:50:15.813889,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,70,f
2023-03-31 18:50:17.039113,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,63,f
2023-03-31 18:50:18.13672,graph-mst,ea-k3s-node-us-west-2-0,openfaas-fn,community-0,67,f
2023-03-31 18:50:19.314686,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,148,f
2023-03-31 18:50:20.411273,graph-mst,ea-k3s-node-us-west-2-0,openfaas-fn,community-0,67,f
2023-03-31 18:50:21.609049,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,168,f
2023-03-31 18:50:22.910842,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,139,f
2023-03-31 18:50:24.102515,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,161,f
2023-03-31 18:50:25.201274,graph-mst,ea-k3s-node-us-west-2-0,openfaas-fn,community-0,67,f
2023-03-31 18:50:26.297864,graph-mst,ea-k3s-node-us-west-2-0,openfaas-fn,community-0,65,f
2023-03-31 18:50:27.395437,graph-mst,ea-k3s-node-us-west-2-0,openfaas-fn,community-0,67,f
2023-03-31 18:50:28.624825,graph-mst,ea-k3s-node-us-west-2-0,openfaas-fn,community-0,66,f
2023-03-31 18:50:29.723314,graph-mst,ea-k3s-node-us-west-2-0,openfaas-fn,community-0,66,f
2023-03-31 18:50:30.909463,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,155,f
2023-03-31 18:50:32.097593,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,157,f
2023-03-31 18:50:33.300894,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,173,f
2023-03-31 18:50:48.100705,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,64,f
2023-03-31 18:50:49.193655,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,63,f
2023-03-31 18:50:50.432877,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,208,f
2023-03-31 18:50:51.698748,graph-mst,ea-k3s-node-us-west-2-0,openfaas-fn,community-0,235,f
2023-03-31 18:50:52.793387,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,63,f
2023-03-31 18:50:58.540042,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,63,f
2023-03-31 18:50:59.633541,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,62,f
2023-03-31 18:51:00.72689,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,63,f
2023-03-31 18:51:01.82075,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,63,f
2023-03-31 18:51:02.915865,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,64,f
2023-03-31 18:51:04.142888,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,63,f
2023-03-31 18:51:05.238073,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,64,f
2023-03-31 18:51:06.333583,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,64,f
2023-03-31 18:51:07.59887,graph-mst,ea-k3s-node-us-west-2-0,openfaas-fn,community-0,234,f
2023-03-31 18:51:08.693021,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,62,f
2023-03-31 18:51:09.919481,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,62,f
2023-03-31 18:51:11.012706,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,62,f
2023-03-31 18:51:12.408231,graph-mst,ea-k3s-node-us-west-2-0,openfaas-fn,community-0,239,f
2023-03-31 18:51:13.009174,graph-mst,ea-k3s-node-us-west-2-0,openfaas-fn,community-0,222,f
2023-03-31 18:51:13.500988,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,63,f
2023-03-31 18:51:14.101197,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,62,f
2023-03-31 18:51:14.593822,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,62,f
2023-03-31 18:51:15.399474,graph-mst,ea-k3s-node-us-west-2-0,openfaas-fn,community-0,268,f
2023-03-31 18:51:15.820407,graph-mst,ea-k3s-node-us-west-2-1,openfaas-fn,community-0,63,f
