timestamp,node,function,namespace,community,latency,gpu
2023-03-21 23:49:18.846068,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,154,f
2023-03-21 23:49:19.944601,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,193,f
2023-03-21 23:49:21.04022,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,190,f
2023-03-21 23:49:22.139519,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,195,f
2023-03-21 23:49:23.239649,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,195,f
2023-03-21 23:49:24.253877,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,100,f
2023-03-21 23:49:25.248766,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,89,f
2023-03-21 23:49:26.247069,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,93,f
2023-03-21 23:49:27.245695,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,93,f
2023-03-21 23:49:28.248306,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,97,f
2023-03-21 23:49:29.246411,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,85,f
2023-03-21 23:49:30.244298,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,93,f
2023-03-21 23:49:31.238269,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,89,f
2023-03-21 23:49:32.236616,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,93,f
2023-03-21 23:49:33.23927,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,98,f
2023-03-21 23:49:34.237556,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,85,f
2023-03-21 23:49:35.237568,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,94,f
2023-03-21 23:49:36.189393,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,46,f
2023-03-21 23:49:37.141246,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,47,f
2023-03-21 23:49:38.092118,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,46,f
2023-03-21 23:49:43.63835,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,104,f
2023-03-21 23:49:44.590778,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,47,f
2023-03-21 23:49:45.542344,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,46,f
2023-03-21 23:49:46.494937,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,47,f
2023-03-21 23:49:47.446489,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,47,f
2023-03-21 23:49:48.436845,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,77,f
2023-03-21 23:49:49.388655,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,47,f
2023-03-21 23:49:50.341194,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,47,f
2023-03-21 23:49:51.293454,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,47,f
2023-03-21 23:49:52.245784,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,47,f
2023-03-21 23:49:53.204388,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,46,f
2023-03-21 23:49:54.241424,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,131,f
2023-03-21 23:49:55.255664,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,109,f
2023-03-21 23:49:56.335299,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,174,f
2023-03-21 23:49:57.353692,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,113,f
2023-03-21 23:49:58.434765,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,168,f
2023-03-21 23:49:59.547519,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,208,f
2023-03-21 23:50:00.647303,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,194,f
2023-03-21 23:50:01.739181,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,187,f
2023-03-21 23:50:02.835595,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,191,f
2023-03-21 23:50:03.938405,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,191,f
2023-03-21 23:50:05.038347,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,195,f
2023-03-21 23:50:06.044757,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,102,f
2023-03-21 23:50:07.049986,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,100,f
2023-03-21 23:50:08.047637,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,93,f
2023-03-21 23:50:22.5918,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,47,f
2023-03-21 23:50:23.543389,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,46,f
2023-03-21 23:50:24.495446,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,46,f
2023-03-21 23:50:25.44711,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,46,f
2023-03-21 23:50:26.399436,dynamic-html,ea-k3s-node-us-east-2-3,openfaas-fn,community-3,47,f
2023-03-21 23:50:36.569431,dynamic-html,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,151,f
2023-03-21 23:50:37.5855,dynamic-html,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,112,f
2023-03-21 23:50:38.583514,dynamic-html,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,93,f
2023-03-21 23:50:39.580396,dynamic-html,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,93,f
2023-03-21 23:50:40.582087,dynamic-html,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,97,f
2023-03-21 23:50:46.070011,dynamic-html,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,49,f
2023-03-21 23:50:47.072122,dynamic-html,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,98,f
2023-03-21 23:50:48.067989,dynamic-html,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,92,f
2023-03-21 23:50:49.074551,dynamic-html,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,102,f
2023-03-21 23:50:50.075736,dynamic-html,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,97,f
2023-03-21 23:50:51.074468,dynamic-html,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,86,f
2023-03-21 23:50:52.076601,dynamic-html,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,98,f
