timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-03-22 00:18:29.094601,k3s-master,"",local-path-provisioner-79c4646df5-kjbd7,kube-system,2,0,0,""
2023-03-22 00:18:29.294426,k3s-master,"",cpu-monitoring-7bbd5b549b-p48dd,kube-system,21,0,0,""
2023-03-22 00:18:29.494267,ea-k3s-node-us-east-2-2,"",slpa-algorithm-76cd7d9b97-dntw5,default,1,100,200,""
2023-03-22 00:18:29.693865,ea-k3s-node-us-east-2-1,compression,compression-ieyoh54e,openfaas-fn,1,200,200,community-3
2023-03-22 00:18:34.696933,k3s-master,"",community-3-57bf999865-crj2b,openfaas-fn,1,200,200,""
2023-03-22 00:18:34.69848,ea-k3s-node-us-east-2-3,"",allocation-algorithm-86ccb8bbdf-xrpl5,default,1,500,1000,""
2023-03-22 00:18:34.700009,ea-k3s-node-us-east-2-2,"",delay-discovery-2dw98,default,0,0,0,""
2023-03-22 00:18:34.701445,k3s-master,"",local-path-provisioner-79c4646df5-kjbd7,kube-system,2,0,0,""
2023-03-22 00:18:34.702928,k3s-master,"",cpu-monitoring-7bbd5b549b-p48dd,kube-system,21,0,0,""
2023-03-22 00:18:34.704313,ea-k3s-node-us-east-2-2,"",slpa-algorithm-76cd7d9b97-dntw5,default,1,100,200,""
2023-03-22 00:18:34.706276,ea-k3s-node-us-east-2-1,compression,compression-ieyoh54e,openfaas-fn,1,200,200,community-3
2023-03-22 00:18:34.708933,k3s-master,"",flannel-fixer-deployment-5c468f87f8-wgh2h,kube-system,1,0,0,""
2023-03-22 00:18:34.711635,k3s-master,"",dispatcher-2vtpb,default,1,0,0,""
2023-03-22 00:18:34.714289,k3s-master,"",pod-autoscaler-76b6884b54-9q7m5,kube-system,1,500,500,""
2023-03-22 00:18:35.098203,ea-k3s-node-us-east-2-1,"",svclb-traefik-5f8j9,kube-system,0,0,0,""
2023-03-22 00:18:35.298763,k3s-master,"",coredns-5b5bf59798-ptqcs,kube-system,3,0,0,""
2023-03-22 00:18:35.498418,ea-k3s-node-us-east-2-3,"",svclb-traefik-9pmrz,kube-system,0,0,0,""
2023-03-22 00:18:35.698397,ea-k3s-node-us-east-2-2,"",dispatcher-nz8km,default,1,0,0,""
