timestamp,node,function,namespace,community,latency,gpu
2023-03-23 17:16:13.447766,thumbnailer,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,304,f
2023-03-23 17:16:14.562007,thumbnailer,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,209,f
2023-03-23 17:16:15.646702,thumbnailer,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,180,f
2023-03-23 17:16:16.670229,thumbnailer,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,119,f
2023-03-23 17:16:17.669594,thumbnailer,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,94,f
2023-03-23 17:16:23.162104,thumbnailer,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,67,f
2023-03-23 17:16:24.154365,thumbnailer,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,88,f
2023-03-23 17:16:25.154181,thumbnailer,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,95,f
2023-03-23 17:16:26.153734,thumbnailer,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,95,f
2023-03-23 17:16:27.152571,thumbnailer,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,94,f
2023-03-23 17:16:28.150768,thumbnailer,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,90,f
2023-03-23 17:16:29.145658,thumbnailer,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,90,f
2023-03-23 17:16:30.106852,thumbnailer,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,57,f
2023-03-23 17:16:31.067973,thumbnailer,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,56,f
2023-03-23 17:16:32.048619,thumbnailer,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,75,f
2023-03-23 17:16:37.532645,thumbnailer,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,57,f
2023-03-23 17:16:38.493952,thumbnailer,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,57,f
2023-03-23 17:16:39.457505,thumbnailer,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,59,f
2023-03-23 17:16:40.448856,thumbnailer,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,87,f
2023-03-23 17:16:41.410798,thumbnailer,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,58,f
2023-03-23 17:16:42.375292,thumbnailer,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,57,f
