timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-03-23 18:05:47.83315,ea-k3s-node-us-east-2-1,"",edge-system-controller-847d657d8b-gdkm7,kube-system,1,100,200,""
2023-03-23 18:05:47.8357,ea-k3s-node-us-east-2-1,"",delay-discovery-xqfjd,default,0,0,0,""
2023-03-23 18:05:47.837128,k3s-master,"",traefik-7f48667fb9-rl7bp,kube-system,4,0,0,""
2023-03-23 18:05:47.838479,k3s-master,"",podscale-controller-57f68c67fc-rg75d,kube-system,3,100,200,""
2023-03-23 18:05:47.840026,k3s-master,"",coredns-5b5bf59798-rrl28,kube-system,3,0,0,""
2023-03-23 18:05:47.841744,ea-k3s-node-us-east-2-2,"",dispatcher-w82xl,default,1,0,0,""
2023-03-23 18:05:47.844291,k3s-master,"",local-path-provisioner-79c4646df5-njm4n,kube-system,1,0,0,""
2023-03-23 18:05:47.846864,ea-k3s-node-us-east-2-1,"",svclb-traefik-b72wc,kube-system,0,0,0,""
2023-03-23 18:05:47.848243,ea-k3s-node-us-east-2-3,"",slpa-algorithm-76cd7d9b97-h9nqt,default,1,100,200,""
2023-03-23 18:05:48.034311,k3s-master,"",monitoring-747bdc64bc-q42kt,default,0,0,0,""
2023-03-23 18:05:48.233734,k3s-master,"",dispatcher-548rq,default,1,0,0,""
2023-03-23 18:05:48.433568,ea-k3s-node-us-east-2-3,"",workload-5cb5f8bd4d-j76kj,default,1,0,0,""
2023-03-23 18:05:48.633986,ea-k3s-node-us-east-2-1,"",dispatcher-hfr7n,default,1,0,0,""
2023-03-23 18:05:48.835047,ea-k3s-node-us-east-2-1,dynamic-html,dynamic-html-ieyoh54e,openfaas-fn,1,300,300,community-1
2023-03-23 18:05:49.035365,ea-k3s-node-us-east-2-3,"",dispatcher-798zz,default,1,0,0,""
2023-03-23 18:05:49.234911,k3s-master,"",community-1-7dddd9c85c-fgj9c,openfaas-fn,1,200,200,""
2023-03-23 18:05:49.434621,ea-k3s-node-us-east-2-3,"",svclb-traefik-4llm4,kube-system,0,0,0,""
2023-03-23 18:05:49.634986,ea-k3s-node-us-east-2-2,"",svclb-traefik-fj44r,kube-system,0,0,0,""
2023-03-23 18:05:49.834783,k3s-master,"",custom-metrics-apiserver-8586695c47-rcdsh,custom-metrics,4,200,200,""
2023-03-23 18:05:50.035155,k3s-master,"",cpu-monitoring-7bbd5b549b-xxcls,kube-system,15,0,0,""
2023-03-23 18:05:50.234471,ea-k3s-node-us-east-2-1,"",metrics-database-6c5586d74-zlnqr,kube-system,3,0,0,""
2023-03-23 18:05:50.434665,ea-k3s-node-us-east-2-2,"",allocation-algorithm-97d776676-8rx8n,default,1,500,1000,""
2023-03-23 18:05:50.634942,ea-k3s-node-us-east-2-1,thumbnailer,thumbnailer-1244ols7,openfaas-fn,1,200,200,community-1
2023-03-23 18:05:50.835338,ea-k3s-node-us-east-2-2,"",delay-discovery-jslrz,default,0,0,0,""
2023-03-23 18:05:51.035172,k3s-master,"",svclb-traefik-vsf6s,kube-system,0,0,0,""
2023-03-23 18:05:51.234529,k3s-master,"",delay-discovery-7jfjx,default,0,0,0,""
2023-03-23 18:05:51.4351,ea-k3s-node-us-east-2-3,"",delay-discovery-ldml7,default,2,0,0,""
2023-03-23 18:05:51.634467,k3s-master,"",flannel-fixer-deployment-5c468f87f8-vwtlq,kube-system,1,0,0,""
2023-03-23 18:05:51.835053,k3s-master,"",pod-autoscaler-76b6884b54-krs56,kube-system,2,500,500,""
2023-03-23 18:05:52.034522,k3s-master,"",metrics-server-c6799cf48-gksvs,kube-system,5,0,0,""
