timestamp,node,function,namespace,community,latency,gpu
2023-03-23 19:23:53.0459,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,733,f
2023-03-23 19:23:54.345276,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,395,f
2023-03-23 19:23:55.566949,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,318,f
2023-03-23 19:23:56.653883,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,183,f
2023-03-23 19:23:57.83795,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,281,f
2023-03-23 19:23:59.036375,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,287,f
2023-03-23 19:24:00.237014,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,296,f
2023-03-23 19:24:01.433207,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,291,f
2023-03-23 19:24:02.541423,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,204,f
2023-03-23 19:24:03.633419,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,187,f
2023-03-23 19:24:04.733914,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,187,f
2023-03-23 19:24:05.832238,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,190,f
2023-03-23 19:24:06.935802,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,196,f
2023-03-23 19:24:07.962238,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,119,f
2023-03-23 19:24:08.963896,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,94,f
2023-03-23 19:24:09.973895,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,95,f
2023-03-23 19:24:10.978335,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,96,f
2023-03-23 19:24:11.979279,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,94,f
2023-03-23 19:24:12.979753,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,93,f
2023-03-23 19:24:13.981528,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,94,f
2023-03-23 19:24:14.989226,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,94,f
2023-03-23 19:24:15.988188,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,95,f
2023-03-23 19:24:16.989121,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,96,f
2023-03-23 19:24:17.98759,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,94,f
2023-03-23 19:24:18.987357,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,95,f
2023-03-23 19:24:29.048119,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,95,f
2023-03-23 19:24:30.053366,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,97,f
2023-03-23 19:24:31.055833,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,95,f
2023-03-23 19:24:32.059988,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,97,f
2023-03-23 19:24:33.061724,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,95,f
2023-03-23 19:24:34.072643,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,96,f
2023-03-23 19:24:35.075224,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,93,f
2023-03-23 19:24:36.076414,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,94,f
2023-03-23 19:24:37.078566,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,94,f
2023-03-23 19:24:38.285817,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,299,f
2023-03-23 19:24:48.342844,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,93,f
2023-03-23 19:24:49.343393,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,96,f
2023-03-23 19:24:50.342541,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,95,f
2023-03-23 19:24:51.343435,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,97,f
2023-03-23 19:24:52.342179,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,95,f
2023-03-23 19:24:53.344371,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,92,f
2023-03-23 19:24:54.346316,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,97,f
2023-03-23 19:24:55.343102,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,93,f
2023-03-23 19:24:56.343352,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,96,f
2023-03-23 19:24:57.338121,graph-bfs,ea-k3s-node-us-east-2-1,openfaas-fn,community-1,91,f
