timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-03-23 22:37:27.319433,ea-k3s-node-us-east-2-3,graph-bfs,graph-bfs-61anxnds,openfaas-fn,1,200,200,community-3
2023-03-23 22:37:27.321834,ea-k3s-node-us-east-2-2,"",slpa-algorithm-76cd7d9b97-5fpgx,default,1,100,200,""
2023-03-23 22:37:27.324015,k3s-master,"",cpu-monitoring-7bbd5b549b-8wscm,kube-system,17,0,0,""
2023-03-23 22:37:27.326115,k3s-master,"",community-3-57bf999865-ng4bt,openfaas-fn,1,200,200,""
2023-03-23 22:37:27.328139,k3s-master,"",flannel-fixer-deployment-5c468f87f8-j9569,kube-system,1,0,0,""
2023-03-23 22:37:27.330661,k3s-master,"",metrics-server-c6799cf48-ntghj,kube-system,4,0,0,""
2023-03-23 22:37:27.332802,ea-k3s-node-us-east-2-3,"",svclb-traefik-5x2z7,kube-system,0,0,0,""
2023-03-23 22:37:27.334866,k3s-master,"",coredns-5b5bf59798-mshzm,kube-system,3,0,0,""
2023-03-23 22:37:27.336921,ea-k3s-node-us-east-2-1,"",edge-system-controller-847d657d8b-w5xbg,kube-system,1,100,200,""
2023-03-23 22:37:27.338964,k3s-master,"",pod-autoscaler-76b6884b54-4wvh7,kube-system,1,500,500,""
2023-03-23 22:37:27.520074,ea-k3s-node-us-east-2-1,"",dispatcher-ptsxp,default,1,0,0,""
2023-03-23 22:37:27.720624,k3s-master,"",podscale-controller-57f68c67fc-t476v,kube-system,3,100,200,""
2023-03-23 22:37:27.919785,ea-k3s-node-us-east-2-2,"",delay-discovery-z4gb4,default,0,0,0,""
2023-03-23 22:37:28.11991,ea-k3s-node-us-east-2-1,"",allocation-algorithm-97d776676-6k9cc,default,1,500,1000,""
2023-03-23 22:37:28.319063,k3s-master,"",custom-metrics-apiserver-8586695c47-p5zjg,custom-metrics,6,200,200,""
2023-03-23 22:37:28.518438,ea-k3s-node-us-east-2-2,"",metrics-database-6c5586d74-6q9t9,kube-system,4,0,0,""
2023-03-23 22:37:28.919309,k3s-master,"",delay-discovery-5pwsx,default,2,0,0,""
2023-03-23 22:37:29.120036,ea-k3s-node-us-east-2-3,"",dispatcher-mbwgf,default,1,0,0,""
2023-03-23 22:37:29.32018,k3s-master,"",svclb-traefik-5h4fw,kube-system,0,0,0,""
2023-03-23 22:37:29.519685,ea-k3s-node-us-east-2-2,"",svclb-traefik-f2vdk,kube-system,0,0,0,""
2023-03-23 22:37:29.720043,ea-k3s-node-us-east-2-3,graph-mst,graph-mst-ckjdwgfw,openfaas-fn,1,200,200,community-3
2023-03-23 22:37:29.920011,ea-k3s-node-us-east-2-1,"",workload-5cb5f8bd4d-zmlqw,default,1,0,0,""
2023-03-23 22:37:30.120242,k3s-master,"",local-path-provisioner-79c4646df5-wmcjx,kube-system,1,0,0,""
2023-03-23 22:37:30.319676,k3s-master,"",traefik-7f48667fb9-fxbvc,kube-system,4,0,0,""
2023-03-23 22:37:30.51975,ea-k3s-node-us-east-2-3,"",delay-discovery-k5j56,default,0,0,0,""
2023-03-23 22:37:30.719993,ea-k3s-node-us-east-2-1,"",delay-discovery-5q4wm,default,0,0,0,""
2023-03-23 22:37:30.92061,k3s-master,"",monitoring-747bdc64bc-b2vcb,default,0,0,0,""
2023-03-23 22:37:31.120189,k3s-master,"",dispatcher-792lk,default,1,0,0,""
2023-03-23 22:37:31.320014,ea-k3s-node-us-east-2-2,"",dispatcher-pll86,default,1,0,0,""
2023-03-23 22:37:31.519689,ea-k3s-node-us-east-2-1,"",svclb-traefik-q4lz7,kube-system,0,0,0,""
2023-03-23 22:37:36.522028,ea-k3s-node-us-east-2-1,"",dispatcher-ptsxp,default,1,0,0,""
2023-03-23 22:37:36.523349,k3s-master,"",podscale-controller-57f68c67fc-t476v,kube-system,3,100,200,""
2023-03-23 22:37:36.524596,ea-k3s-node-us-east-2-2,"",delay-discovery-z4gb4,default,0,0,0,""
2023-03-23 22:37:36.525775,ea-k3s-node-us-east-2-1,"",allocation-algorithm-97d776676-6k9cc,default,1,500,1000,""
2023-03-23 22:37:36.528893,k3s-master,"",custom-metrics-apiserver-8586695c47-p5zjg,custom-metrics,6,200,200,""
2023-03-23 22:37:36.531142,ea-k3s-node-us-east-2-2,"",metrics-database-6c5586d74-6q9t9,kube-system,4,0,0,""
2023-03-23 22:37:36.53526,k3s-master,"",delay-discovery-5pwsx,default,2,0,0,""
2023-03-23 22:37:36.536356,ea-k3s-node-us-east-2-3,"",dispatcher-mbwgf,default,1,0,0,""
2023-03-23 22:37:36.53749,k3s-master,"",svclb-traefik-5h4fw,kube-system,0,0,0,""
2023-03-23 22:37:36.722771,ea-k3s-node-us-east-2-2,"",svclb-traefik-f2vdk,kube-system,0,0,0,""
2023-03-23 22:37:36.922549,ea-k3s-node-us-east-2-3,graph-mst,graph-mst-ckjdwgfw,openfaas-fn,1,450,450,community-3
2023-03-23 22:37:37.122799,ea-k3s-node-us-east-2-1,"",workload-5cb5f8bd4d-zmlqw,default,1,0,0,""
