timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-03-23 21:49:44.08632,ea-k3s-node-us-east-2-2,"",slpa-algorithm-76cd7d9b97-5fpgx,default,1,100,200,""
2023-03-23 21:49:44.087668,k3s-master,"",cpu-monitoring-7bbd5b549b-8wscm,kube-system,19,0,0,""
2023-03-23 21:49:44.088979,k3s-master,"",flannel-fixer-deployment-5c468f87f8-j9569,kube-system,1,0,0,""
2023-03-23 21:49:44.090209,k3s-master,"",metrics-server-c6799cf48-ntghj,kube-system,6,0,0,""
2023-03-23 21:49:44.091365,ea-k3s-node-us-east-2-3,"",svclb-traefik-5x2z7,kube-system,0,0,0,""
2023-03-23 21:49:44.092512,k3s-master,"",coredns-5b5bf59798-mshzm,kube-system,5,0,0,""
2023-03-23 21:49:44.093662,ea-k3s-node-us-east-2-1,"",edge-system-controller-847d657d8b-w5xbg,kube-system,1,100,200,""
2023-03-23 21:49:44.094869,k3s-master,"",pod-autoscaler-76b6884b54-4wvh7,kube-system,3,500,500,""
2023-03-23 21:49:44.102199,ea-k3s-node-us-east-2-1,"",dispatcher-ptsxp,default,1,0,0,""
2023-03-23 21:49:44.104935,k3s-master,"",podscale-controller-57f68c67fc-t476v,kube-system,3,100,200,""
2023-03-23 21:49:44.288579,ea-k3s-node-us-east-2-2,"",delay-discovery-z4gb4,default,0,0,0,""
2023-03-23 21:49:44.488484,ea-k3s-node-us-east-2-2,"",workload-5cb5f8bd4d-msjkb,default,34,0,0,""
2023-03-23 21:49:44.688076,k3s-master,"",custom-metrics-apiserver-8586695c47-p5zjg,custom-metrics,6,200,200,""
2023-03-23 21:49:44.888259,ea-k3s-node-us-east-2-2,"",metrics-database-6c5586d74-6q9t9,kube-system,14,0,0,""
2023-03-23 21:49:45.28898,k3s-master,"",delay-discovery-5pwsx,default,1,0,0,""
2023-03-23 21:49:45.48722,ea-k3s-node-us-east-2-3,"",dispatcher-mbwgf,default,1,0,0,""
2023-03-23 21:49:45.686409,k3s-master,"",svclb-traefik-5h4fw,kube-system,0,0,0,""
2023-03-23 21:49:45.886834,ea-k3s-node-us-east-2-2,"",svclb-traefik-f2vdk,kube-system,0,0,0,""
2023-03-23 21:49:46.08647,ea-k3s-node-us-east-2-1,graph-mst,graph-mst-1244ols7,openfaas-fn,1,200,200,community-3
2023-03-23 21:49:46.287718,ea-k3s-node-us-east-2-3,"",allocation-algorithm-86ccb8bbdf-mqstl,default,1,500,1000,""
2023-03-23 21:49:46.487309,k3s-master,"",local-path-provisioner-79c4646df5-wmcjx,kube-system,2,0,0,""
2023-03-23 21:49:46.686682,k3s-master,"",traefik-7f48667fb9-fxbvc,kube-system,4,0,0,""
2023-03-23 21:49:46.886705,ea-k3s-node-us-east-2-3,"",delay-discovery-k5j56,default,0,0,0,""
