timestamp,node,function,namespace,community,latency,gpu
2023-03-23 21:21:08.556729,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,292,f
2023-03-23 21:21:09.760363,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,297,f
2023-03-23 21:21:10.875206,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,209,f
2023-03-23 21:21:12.064885,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,284,f
2023-03-23 21:21:13.262911,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,292,f
2023-03-23 21:21:14.370559,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,194,f
2023-03-23 21:21:15.468732,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,192,f
2023-03-23 21:21:16.562029,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,188,f
2023-03-23 21:21:17.658368,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,190,f
2023-03-23 21:21:18.757251,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,193,f
2023-03-23 21:21:19.863342,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,192,f
2023-03-23 21:21:20.879151,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,109,f
2023-03-23 21:21:21.875101,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,90,f
2023-03-23 21:21:22.877087,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,96,f
2023-03-23 21:21:23.872759,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,90,f
2023-03-23 21:21:24.873789,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,88,f
2023-03-23 21:21:25.87715,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,99,f
2023-03-23 21:21:26.861333,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,79,f
2023-03-23 21:21:27.85628,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,90,f
2023-03-23 21:21:28.826308,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,66,f
2023-03-23 21:21:29.802657,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,65,f
2023-03-23 21:21:30.77177,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,65,f
2023-03-23 21:21:31.740723,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,65,f
2023-03-23 21:21:32.709839,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,65,f
2023-03-23 21:21:33.680554,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,66,f
2023-03-23 21:21:34.657389,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,66,f
2023-03-23 21:21:35.626652,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,65,f
2023-03-23 21:21:36.596592,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,66,f
2023-03-23 21:21:37.568313,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,67,f
2023-03-23 21:21:38.537703,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,65,f
2023-03-23 21:21:39.514424,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,65,f
2023-03-23 21:21:40.483781,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,65,f
2023-03-23 21:21:41.452979,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,65,f
2023-03-23 21:21:42.42248,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,66,f
2023-03-23 21:21:43.391089,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,65,f
2023-03-23 21:21:44.361128,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,59,f
2023-03-23 21:21:45.330996,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,66,f
2023-03-23 21:21:46.300834,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,65,f
2023-03-23 21:21:47.272235,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,67,f
2023-03-23 21:21:48.242379,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,66,f
2023-03-23 21:21:49.219494,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,65,f
2023-03-23 21:21:50.192147,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,68,f
2023-03-23 21:21:51.162295,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,65,f
2023-03-23 21:21:52.125941,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,59,f
2023-03-23 21:21:53.09636,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,65,f
2023-03-23 21:21:58.675642,graph-mst,ea-k3s-node-us-east-2-1,openfaas-fn,community-3,140,f
