timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-03-21 10:46:50.461934,k3s-master,"",delay-discovery-dw7nz,default,0,0,0,""
2023-03-21 10:46:50.464472,k3s-master,"",local-path-provisioner-79c4646df5-v7q98,kube-system,1,0,0,""
2023-03-21 10:46:50.466826,k3s-master,"",traefik-7f48667fb9-fl98x,kube-system,4,0,0,""
2023-03-21 10:46:50.468092,k3s-master,"",allocation-algorithm-679c5fcc65-x6jqv,default,20,500,1000,""
2023-03-21 10:46:50.470236,k3s-master,"",community-1-7dddd9c85c-vlxlw,openfaas-fn,1,200,200,""
2023-03-21 10:46:50.472412,ea-k3s-node-us-east-2-2,"",dispatcher-5p5sg,default,1,0,0,""
2023-03-21 10:46:50.475533,ea-k3s-node-us-east-2-1,"",edge-system-controller-847d657d8b-9sfl5,kube-system,1,100,200,""
2023-03-21 10:46:50.47789,k3s-master,"",coredns-5b5bf59798-bpn9m,kube-system,3,0,0,""
2023-03-21 10:46:50.480121,k3s-master,"",flannel-fixer-deployment-5c468f87f8-b44m4,kube-system,1,0,0,""
2023-03-21 10:46:50.482318,k3s-master,"",cpu-monitoring-7bbd5b549b-6lfkn,kube-system,14,0,0,""
2023-03-21 10:46:50.662817,ea-k3s-node-us-east-2-3,"",delay-discovery-ndxrs,default,0,0,0,""
2023-03-21 10:46:50.86118,k3s-master,"",metrics-server-c6799cf48-gm8l2,kube-system,6,0,0,""
2023-03-21 10:46:51.062659,ea-k3s-node-us-east-2-3,"",svclb-traefik-ph7pn,kube-system,0,0,0,""
2023-03-21 10:46:51.261829,ea-k3s-node-us-east-2-3,graph-mst,graph-mst-ieyoh54e,openfaas-fn,1,200,200,community-1
2023-03-21 10:46:51.462692,k3s-master,"",svclb-traefik-6frfc,kube-system,0,0,0,""
2023-03-21 10:46:51.661815,ea-k3s-node-us-east-2-1,"",metrics-database-6c5586d74-qq8dp,kube-system,8,0,0,""
2023-03-21 10:46:51.862309,k3s-master,"",custom-metrics-apiserver-8586695c47-ns4qg,custom-metrics,5,200,200,""
2023-03-21 10:46:52.061832,ea-k3s-node-us-east-2-2,"",svclb-traefik-dq7mb,kube-system,0,0,0,""
2023-03-21 10:46:52.262114,k3s-master,"",podscale-controller-57f68c67fc-7tt4l,kube-system,3,100,200,""
2023-03-21 10:46:52.66251,ea-k3s-node-us-east-2-3,"",slpa-algorithm-76cd7d9b97-lzhvc,default,1,100,200,""
2023-03-21 10:46:52.862431,k3s-master,"",dispatcher-mjlx6,default,1,0,0,""
2023-03-21 10:46:53.062078,k3s-master,"",monitoring-747bdc64bc-q7z7v,default,0,0,0,""
2023-03-21 10:46:53.262474,k3s-master,"",pod-autoscaler-76b6884b54-ktclf,kube-system,1,500,500,""
2023-03-21 10:46:53.46209,ea-k3s-node-us-east-2-1,"",svclb-traefik-hg28s,kube-system,0,0,0,""
2023-03-21 10:46:53.662265,ea-k3s-node-us-east-2-3,graph-bfs,graph-bfs-ieyoh54e,openfaas-fn,1,300,300,community-1
2023-03-21 10:46:53.862766,ea-k3s-node-us-east-2-2,"",delay-discovery-7wxcq,default,1,0,0,""
2023-03-21 10:46:54.062306,ea-k3s-node-us-east-2-3,"",workload-5cb5f8bd4d-g2nnq,default,107,0,0,""
2023-03-21 10:46:54.262608,ea-k3s-node-us-east-2-3,"",dispatcher-hrvp7,default,1,0,0,""
2023-03-21 10:46:54.461808,ea-k3s-node-us-east-2-1,"",delay-discovery-2rkp2,default,2,0,0,""
2023-03-21 10:46:54.662233,ea-k3s-node-us-east-2-1,"",dispatcher-jrsr4,default,1,0,0,""
2023-03-21 10:46:59.664774,ea-k3s-node-us-east-2-2,"",delay-discovery-7wxcq,default,1,0,0,""
2023-03-21 10:46:59.666144,ea-k3s-node-us-east-2-3,"",workload-5cb5f8bd4d-g2nnq,default,107,0,0,""
2023-03-21 10:46:59.667642,ea-k3s-node-us-east-2-3,"",dispatcher-hrvp7,default,1,0,0,""
2023-03-21 10:46:59.669068,ea-k3s-node-us-east-2-1,"",delay-discovery-2rkp2,default,2,0,0,""
2023-03-21 10:46:59.670232,ea-k3s-node-us-east-2-1,"",dispatcher-jrsr4,default,1,0,0,""
2023-03-21 10:46:59.671424,k3s-master,"",delay-discovery-dw7nz,default,0,0,0,""
2023-03-21 10:46:59.672554,k3s-master,"",local-path-provisioner-79c4646df5-v7q98,kube-system,1,0,0,""
2023-03-21 10:46:59.673688,k3s-master,"",traefik-7f48667fb9-fl98x,kube-system,4,0,0,""
2023-03-21 10:46:59.675982,k3s-master,"",allocation-algorithm-679c5fcc65-x6jqv,default,20,500,1000,""
2023-03-21 10:46:59.677436,k3s-master,"",community-1-7dddd9c85c-vlxlw,openfaas-fn,1,200,200,""
2023-03-21 10:46:59.865322,ea-k3s-node-us-east-2-2,"",dispatcher-5p5sg,default,1,0,0,""
2023-03-21 10:47:00.065772,ea-k3s-node-us-east-2-1,"",edge-system-controller-847d657d8b-9sfl5,kube-system,1,100,200,""
