timestamp,node,function,namespace,community,latency,gpu
2023-03-24 11:26:03.086682,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,203,f
2023-03-24 11:26:04.073385,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,81,f
2023-03-24 11:26:05.074951,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,97,f
2023-03-24 11:26:06.073286,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,93,f
2023-03-24 11:26:07.075202,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,97,f
2023-03-24 11:26:08.073039,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,89,f
2023-03-24 11:26:09.0711,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,93,f
2023-03-24 11:26:10.003036,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,27,f
2023-03-24 11:26:10.934726,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,27,f
2023-03-24 11:26:11.866534,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,27,f
2023-03-24 11:26:12.802073,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,27,f
2023-03-24 11:26:13.734836,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,27,f
2023-03-24 11:26:14.680919,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,41,f
2023-03-24 11:26:15.680154,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,94,f
2023-03-24 11:26:16.675545,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,91,f
2023-03-24 11:26:22.171811,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,69,f
2023-03-24 11:26:23.178276,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,101,f
2023-03-24 11:26:24.173277,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,89,f
2023-03-24 11:26:25.174958,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,97,f
2023-03-24 11:26:26.173297,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,93,f
2023-03-24 11:26:31.673191,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,74,f
2023-03-24 11:26:32.675773,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,97,f
2023-03-24 11:26:33.674841,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,94,f
2023-03-24 11:26:34.67308,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,93,f
2023-03-24 11:26:35.671638,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,93,f
2023-03-24 11:26:36.67596,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,95,f
2023-03-24 11:26:37.675371,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,94,f
2023-03-24 11:26:38.674687,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,94,f
2023-03-24 11:26:39.673426,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,93,f
2023-03-24 11:26:40.671586,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,93,f
2023-03-24 11:26:46.173777,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,78,f
2023-03-24 11:26:47.172458,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,94,f
2023-03-24 11:26:48.175885,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,99,f
2023-03-24 11:26:49.174453,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,94,f
2023-03-24 11:26:50.177521,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,98,f
2023-03-24 11:26:51.173813,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,90,f
2023-03-24 11:26:52.172582,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,94,f
2023-03-24 11:26:53.175346,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,98,f
2023-03-24 11:26:54.174522,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,94,f
2023-03-24 11:26:55.173382,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,94,f
2023-03-24 11:27:00.67279,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,73,f
2023-03-24 11:27:01.671943,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,94,f
2023-03-24 11:27:02.673999,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,97,f
2023-03-24 11:27:03.677063,compression,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,98,f
