timestamp,node,function,namespace,community,latency,gpu
2023-03-24 12:10:04.874849,thumbnailer,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,294,f
2023-03-24 12:10:05.985867,thumbnailer,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,206,f
2023-03-24 12:10:07.083474,thumbnailer,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,193,f
2023-03-24 12:10:08.181893,thumbnailer,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,193,f
2023-03-24 12:10:09.272532,thumbnailer,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,185,f
2023-03-24 12:10:10.292214,thumbnailer,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,110,f
2023-03-24 12:10:11.292575,thumbnailer,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,95,f
2023-03-24 12:10:12.292776,thumbnailer,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,95,f
2023-03-24 12:10:13.293797,thumbnailer,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,95,f
2023-03-24 12:10:14.293596,thumbnailer,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,95,f
2023-03-24 12:10:15.287925,thumbnailer,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,87,f
2023-03-24 12:10:16.279579,thumbnailer,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,87,f
2023-03-24 12:10:17.279549,thumbnailer,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,94,f
2023-03-24 12:10:18.279241,thumbnailer,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,95,f
2023-03-24 12:10:19.280091,thumbnailer,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,95,f
2023-03-24 12:10:20.275788,thumbnailer,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,87,f
2023-03-24 12:10:21.285106,thumbnailer,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,104,f
2023-03-24 12:10:22.269399,thumbnailer,ea-k3s-node-us-east-2-2,openfaas-fn,community-2,79,f
