,function,approach,sum,len,mean,median,min,max,std,mse,ratio,network_delay,network_delay_sdv
0,compression,SR_no_PI_controller\vsvbp,19.0,3451.0,31.00574875568775,27.523090763403264,26.322083333333335,350.01822670389765,21.996546787328015,71.4722569924372,0.0055056505360765,6.594897045658013,17.452972774028897
1,compression,SR_no_PI_controller\mcf,0.0,3351.0,28.561847907794192,27.387851411069857,26.055701090576086,108.11010376582672,4.536554846700048,71.44921832978802,0.0,2.8987341772151898,10.241104630085712
2,compression,SR_no_PI_controller\cr-o,0.0,3350.0,28.601503096205775,27.48462544256472,25.97791666666667,176.76448331690472,8.283899658255267,71.77767344183712,0.0,3.292608196093451,11.399443759034495
3,compression,SR_no_PI_controller\cr-h,27.0,3318.0,33.19157158694283,27.291768017163925,25.677229159729155,976.56560302806,52.62700358684762,74.35500674184553,0.0081374321880651,2.699787460148778,11.344273905060714
4,dynamic-html,SR_no_PI_controller\vsvbp,7.0,3347.0,49.425636755863145,46.03469997604304,42.64,251.91402818587395,12.457483915806323,51.45046805843959,0.002091425156856887,8.980844579886808,21.932368808464517
5,dynamic-html,SR_no_PI_controller\mcf,139.0,3414.0,65.26789269983882,45.04190476190477,40.8641626984127,701.0965382090133,67.82069597063665,58.78325524324064,0.040714704159343876,2.623748862602366,8.699456654965072
6,dynamic-html,SR_no_PI_controller\cr-o,81.0,3221.0,60.10448501506056,45.51380056055057,39.89331313131313,1102.7704612313612,74.31933983024646,59.09568166582753,0.025147469729897547,4.3942921517085995,13.46750296881573
7,dynamic-html,SR_no_PI_controller\cr-h,163.0,3446.0,70.10892314602681,43.95731769086093,38.184970279720275,704.99244165463,84.90413022968121,63.59144921770884,0.04730121880441091,4.077956989247312,12.10615448733694
8,graph-bfs,SR_no_PI_controller\vsvbp,336.0,3160.0,137.8166091518362,102.42383630952382,85.22699999999999,748.666527014652,105.78825316859587,43.88428735303902,0.10632911392405063,2.3599160545645335,8.480367351900126
9,graph-bfs,SR_no_PI_controller\mcf,95.0,3433.0,111.13423682573698,99.995,80.73499999999999,597.5692566738817,40.152484450214835,17.58182862676534,0.02767258957180309,12.223045822102426,26.670953084429936
10,graph-bfs,SR_no_PI_controller\cr-o,117.0,3406.0,119.12651868927706,100.91137499999999,85.965,1294.8875508658007,86.51745624534213,25.114699321776612,0.03435114503816794,2.3257055682684977,8.604892960088241
11,graph-bfs,SR_no_PI_controller\cr-h,147.0,3350.0,114.73217694776203,101.78299611499611,88.57749999999999,434.90991389166385,40.47998015522481,20.62778478267172,0.043880597014925374,9.164505372360134,19.677550336868023
12,graph-mst,SR_no_PI_controller\vsvbp,16.0,3304.0,71.74586181196729,66.9297124819625,60.040000000000006,379.3108569624819,19.949179141533488,31.222458978378697,0.004842615012106538,2.308629936616285,8.479350465971972
13,graph-mst,SR_no_PI_controller\mcf,0.0,3371.0,67.57495842743486,65.17430952380951,57.11,183.77327243589744,9.540914112370785,33.06497041092822,0.0,15.79541624536569,29.877859538747092
14,graph-mst,SR_no_PI_controller\cr-o,0.0,3343.0,69.90249347971273,67.70991666666666,57.254999999999995,182.9625,9.255107647597097,30.705664506134305,0.0,2.8670721112076456,9.077122120403487
15,graph-mst,SR_no_PI_controller\cr-h,0.0,3352.0,68.38755011454668,66.49930463980465,60.78147619047618,173.10999999999999,7.715810895902596,32.02317153290557,0.0,9.895819054146676,22.799467973787284
16,thumbnailer,SR_no_PI_controller\vsvbp,1386.0,3400.0,399.02775662597503,79.18706716954355,55.98325,2220.6314882279066,476.06784474429315,338.7438441529912,0.4076470588235294,8.101498929336188,19.36947138504508
17,thumbnailer,SR_no_PI_controller\mcf,1271.0,3372.0,283.8788302457066,77.34756325959259,55.58,1845.0074029997782,315.9611994839421,224.67704349112498,0.3769276393831554,2.348947995236205,10.811537856320589
18,thumbnailer,SR_no_PI_controller\cr-o,1508.0,3481.0,519.3466367854883,77.04189277763841,55.293833333333325,2216.9749837952295,601.2934993089328,459.2001537957923,0.4332088480321747,2.3178260869565217,8.721205269976084
19,thumbnailer,SR_no_PI_controller\cr-h,1552.0,3352.0,462.0260728519311,127.48841314445357,54.465333333333334,1899.314810869686,512.7215556528078,398.1437878346365,0.4630071599045346,3.0534591194968552,10.602216531085304
