,function,approach,len,mean,median,std,mse
0,compression,SR_no_PI_controller\vsvbp,794.0,2.6788485138539055,3.0,0.44539078745035837,97.32115148614609
1,compression,SR_no_PI_controller\mcf,822.0,2.083333333333333,2.0,0.5314962658536585,97.91666666666667
2,compression,SR_no_PI_controller\cr-o,1004.0,2.502183213244444,2.6941335205225765,0.6470527502517075,97.49781678675556
3,compression,SR_no_PI_controller\cr-h,823.0,2.155814094775213,2.0,0.544693418085877,97.84418590522479
4,dynamic-html,SR_no_PI_controller\vsvbp,824.0,2.647429611650486,2.995,0.4790816676076358,97.35257038834953
5,dynamic-html,SR_no_PI_controller\mcf,994.0,2.0773199195171053,2.0,0.5250593921388637,97.92268008048289
6,dynamic-html,SR_no_PI_controller\cr-o,1006.0,2.5361835695760084,2.7726907565634855,0.6176751462014088,97.46381643042399
7,dynamic-html,SR_no_PI_controller\cr-h,890.0,1.9791685393258427,2.0,0.5245433519221567,98.02083146067416
8,graph-bfs,SR_no_PI_controller\vsvbp,881.0,2.0424313280363213,2.0,0.7248359839819494,97.95756867196368
9,graph-bfs,SR_no_PI_controller\mcf,1024.0,2.7801757812499988,3.0,0.3789592660840373,97.21982421875
10,graph-bfs,SR_no_PI_controller\cr-o,1011.0,2.4680201048038555,2.638038209331765,0.6399871703312189,97.53197989519614
11,graph-bfs,SR_no_PI_controller\cr-h,1016.0,2.562844488188977,2.7550000000000003,0.4750314737077187,97.43715551181103
12,graph-mst,SR_no_PI_controller\vsvbp,866.0,2.258795612009238,2.18516,0.7124396266734807,97.74120438799076
13,graph-mst,SR_no_PI_controller\mcf,1025.0,2.7966292682926834,3.0,0.3687984830426863,97.20337073170732
14,graph-mst,SR_no_PI_controller\cr-o,950.0,2.30044622797138,2.2288374954797803,0.6597216202793199,97.69955377202862
15,graph-mst,SR_no_PI_controller\cr-h,1005.0,2.789218905472636,3.0,0.5223807553623424,97.21078109452736
16,thumbnailer,SR_no_PI_controller\vsvbp,861.0,2.5761022067363535,2.86096,0.49610908857062647,97.42389779326363
17,thumbnailer,SR_no_PI_controller\mcf,1013.0,2.3726920039486683,2.38176,0.653833401919917,97.62730799605133
18,thumbnailer,SR_no_PI_controller\cr-o,951.0,2.348687039849382,2.271658488508712,0.5834532922410884,97.65131296015063
19,thumbnailer,SR_no_PI_controller\cr-h,867.0,2.088566320645905,2.0,0.6529181870806774,97.9114336793541
