timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-04-02 19:11:12.652134,ea-k3s-node-eu-west-2-3,"",edge-system-controller-847d657d8b-wp96b,kube-system,1,100,200,""
2023-04-02 19:11:12.654497,ea-k3s-node-eu-west-2-1,"",allocation-algorithm-77df96cb9b-tmsnz,default,23,500,1000,""
2023-04-02 19:11:12.657502,ea-k3s-node-eu-west-2-2,graph-bfs,graph-bfs-hx0gvmki,openfaas-fn,1,1000,1000,community-3
2023-04-02 19:11:12.659639,k3s-master,"",cpu-monitoring-7bbd5b549b-9ckfp,kube-system,18,0,0,""
2023-04-02 19:11:12.661922,k3s-master,"",podscale-controller-57f68c67fc-br6s5,kube-system,2,100,200,""
2023-04-02 19:11:12.66424,ea-k3s-node-eu-west-2-1,"",dispatcher-2g6dw,default,1,0,0,""
2023-04-02 19:11:12.666662,k3s-master,"",monitoring-747bdc64bc-5mkch,default,0,0,0,""
2023-04-02 19:11:12.668853,k3s-master,"",custom-metrics-apiserver-8586695c47-9wswj,custom-metrics,5,200,200,""
2023-04-02 19:11:12.671072,ea-k3s-node-eu-west-2-3,"",delay-discovery-wvs4z,default,0,0,0,""
2023-04-02 19:11:12.672258,ea-k3s-node-eu-west-2-3,"",traefik-7f48667fb9-2vgqv,kube-system,4,0,0,""
2023-04-02 19:11:12.851311,ea-k3s-node-eu-west-2-2,"",delay-discovery-4mzjr,default,0,0,0,""
2023-04-02 19:11:13.051917,k3s-master,"",metrics-server-c6799cf48-fbkqb,kube-system,5,0,0,""
2023-04-02 19:11:13.251863,ea-k3s-node-eu-west-2-1,"",workload-5cb5f8bd4d-cqpq5,default,11,0,0,""
2023-04-02 19:11:13.451936,k3s-master,"",dispatcher-t7nz2,default,1,0,0,""
2023-04-02 19:11:13.65166,ea-k3s-node-eu-west-2-1,"",delay-discovery-dqfh6,default,0,0,0,""
2023-04-02 19:11:13.85198,k3s-master,"",flannel-fixer-deployment-5c468f87f8-ncj6l,kube-system,1,0,0,""
2023-04-02 19:11:14.051966,ea-k3s-node-eu-west-2-3,"",dispatcher-cqm2r,default,1,0,0,""
