timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-04-02 20:26:47.077943,ea-k3s-node-eu-west-2-3,"",delay-discovery-wvs4z,default,0,0,0,""
2023-04-02 20:26:47.080446,ea-k3s-node-eu-west-2-1,"",dispatcher-2g6dw,default,1,0,0,""
2023-04-02 20:26:47.082697,k3s-master,"",monitoring-747bdc64bc-5mkch,default,0,0,0,""
2023-04-02 20:26:47.084921,k3s-master,"",custom-metrics-apiserver-8586695c47-9wswj,custom-metrics,4,200,200,""
2023-04-02 20:26:47.08729,k3s-master,"",dispatcher-t7nz2,default,1,0,0,""
2023-04-02 20:26:47.089367,ea-k3s-node-eu-west-2-1,"",delay-discovery-dqfh6,default,0,0,0,""
2023-04-02 20:26:47.106879,ea-k3s-node-eu-west-2-3,"",traefik-7f48667fb9-2vgqv,kube-system,3,0,0,""
2023-04-02 20:26:47.10995,ea-k3s-node-eu-west-2-2,"",delay-discovery-4mzjr,default,0,0,0,""
2023-04-02 20:26:47.112713,k3s-master,"",metrics-server-c6799cf48-fbkqb,kube-system,5,0,0,""
2023-04-02 20:26:47.115551,ea-k3s-node-eu-west-2-1,"",workload-5cb5f8bd4d-cqpq5,default,12,0,0,""
2023-04-02 20:26:47.27779,ea-k3s-node-eu-west-2-3,"",dispatcher-cqm2r,default,1,0,0,""
2023-04-02 20:26:47.478786,ea-k3s-node-eu-west-2-2,"",metrics-database-6c5586d74-bmctq,kube-system,10,0,0,""
2023-04-02 20:26:47.677993,k3s-master,"",flannel-fixer-deployment-5c468f87f8-ncj6l,kube-system,1,0,0,""
2023-04-02 20:26:48.078115,ea-k3s-node-eu-west-2-2,graph-bfs,graph-bfs-n503uvls,openfaas-fn,1,1000,1000,community-3
2023-04-02 20:26:48.67792,ea-k3s-node-eu-west-2-2,"",slpa-algorithm-76cd7d9b97-mb2hk,default,1,100,200,""
2023-04-02 20:26:48.879056,k3s-master,"",local-path-provisioner-79c4646df5-k6vmb,kube-system,2,0,0,""
2023-04-02 20:26:49.078534,ea-k3s-node-eu-west-2-2,"",dispatcher-gdbg5,default,1,0,0,""
2023-04-02 20:26:49.278747,k3s-master,"",coredns-5b5bf59798-g2ksk,kube-system,3,0,0,""
2023-04-02 20:26:49.477858,k3s-master,"",delay-discovery-c2ghv,default,2,0,0,""
2023-04-02 20:26:49.87837,k3s-master,"",pod-autoscaler-76b6884b54-vbt2k,kube-system,1,500,500,""
2023-04-02 20:26:50.078645,ea-k3s-node-eu-west-2-2,"",svclb-traefik-glknx,kube-system,0,0,0,""
2023-04-02 20:26:50.27865,ea-k3s-node-eu-west-2-3,"",svclb-traefik-ltmtd,kube-system,0,0,0,""
2023-04-02 20:26:50.478176,ea-k3s-node-eu-west-2-2,graph-mst,graph-mst-1y0yv9wh,openfaas-fn,1,1000,1000,community-3
2023-04-02 20:26:50.878788,k3s-master,"",svclb-traefik-4nwnp,kube-system,0,0,0,""
2023-04-02 20:26:51.078308,ea-k3s-node-eu-west-2-1,"",svclb-traefik-x6ttf,kube-system,0,0,0,""
2023-04-02 20:26:51.278207,k3s-master,"",community-3-57bf999865-hsv6x,openfaas-fn,1,200,200,""
2023-04-02 20:26:51.478665,k3s-master,"",cpu-monitoring-7bbd5b549b-9ckfp,kube-system,14,0,0,""
2023-04-02 20:26:51.677945,k3s-master,"",podscale-controller-57f68c67fc-br6s5,kube-system,2,100,200,""
2023-04-02 20:26:51.878725,ea-k3s-node-eu-west-2-3,"",edge-system-controller-847d657d8b-wp96b,kube-system,1,100,200,""
2023-04-02 20:26:52.078239,ea-k3s-node-eu-west-2-1,"",allocation-algorithm-77df96cb9b-tmsnz,default,1,500,1000,""
2023-04-02 20:27:47.107033,ea-k3s-node-eu-west-2-2,"",metrics-database-6c5586d74-bmctq,kube-system,221,0,0,""
2023-04-02 20:27:47.108216,ea-k3s-node-eu-west-2-3,graph-bfs,graph-bfs-9tmk9q72,openfaas-fn,0,1000,1000,community-3
2023-04-02 20:27:47.109469,k3s-master,"",local-path-provisioner-79c4646df5-k6vmb,kube-system,1,0,0,""
2023-04-02 20:27:47.110652,ea-k3s-node-eu-west-2-2,"",dispatcher-gdbg5,default,2,0,0,""
2023-04-02 20:27:47.111855,k3s-master,"",coredns-5b5bf59798-g2ksk,kube-system,3,0,0,""
2023-04-02 20:27:47.113831,k3s-master,"",delay-discovery-c2ghv,default,2,0,0,""
2023-04-02 20:27:47.302676,ea-k3s-node-eu-west-2-1,graph-bfs,graph-bfs-jq67xmlb,openfaas-fn,25,1000,1000,community-3
2023-04-02 20:27:47.703188,ea-k3s-node-eu-west-2-2,"",slpa-algorithm-76cd7d9b97-mb2hk,default,1,100,200,""
2023-04-02 20:27:47.903658,ea-k3s-node-eu-west-2-3,"",svclb-traefik-ltmtd,kube-system,0,0,0,""
2023-04-02 20:27:48.102968,ea-k3s-node-eu-west-2-2,graph-mst,graph-mst-1y0yv9wh,openfaas-fn,65,1000,1000,community-3
2023-04-02 20:27:48.303415,ea-k3s-node-eu-west-2-3,graph-mst,graph-mst-qis8q8qw,openfaas-fn,0,1000,1000,community-3
2023-04-02 20:27:48.503044,k3s-master,"",pod-autoscaler-76b6884b54-vbt2k,kube-system,3,500,500,""
2023-04-02 20:27:48.703707,ea-k3s-node-eu-west-2-2,"",svclb-traefik-glknx,kube-system,0,0,0,""
2023-04-02 20:27:48.902826,k3s-master,"",community-3-57bf999865-hsv6x,openfaas-fn,3,200,200,""
2023-04-02 20:27:49.103851,k3s-master,"",svclb-traefik-4nwnp,kube-system,0,0,0,""
2023-04-02 20:27:49.303366,ea-k3s-node-eu-west-2-1,"",svclb-traefik-x6ttf,kube-system,0,0,0,""
2023-04-02 20:27:49.503265,ea-k3s-node-eu-west-2-3,"",edge-system-controller-847d657d8b-wp96b,kube-system,2,100,200,""
2023-04-02 20:27:49.703755,ea-k3s-node-eu-west-2-1,"",allocation-algorithm-77df96cb9b-tmsnz,default,20,500,1000,""
2023-04-02 20:27:49.903281,k3s-master,"",cpu-monitoring-7bbd5b549b-9ckfp,kube-system,16,0,0,""
2023-04-02 20:27:50.103651,k3s-master,"",podscale-controller-57f68c67fc-br6s5,kube-system,5,100,200,""
2023-04-02 20:27:50.302677,ea-k3s-node-eu-west-2-1,"",dispatcher-2g6dw,default,3,0,0,""
2023-04-02 20:27:50.501675,k3s-master,"",monitoring-747bdc64bc-5mkch,default,0,0,0,""
2023-04-02 20:27:50.702134,k3s-master,"",custom-metrics-apiserver-8586695c47-9wswj,custom-metrics,6,200,200,""
2023-04-02 20:27:50.902177,ea-k3s-node-eu-west-2-3,"",delay-discovery-wvs4z,default,0,0,0,""
2023-04-02 20:27:51.103137,ea-k3s-node-eu-west-2-3,"",traefik-7f48667fb9-2vgqv,kube-system,4,0,0,""
2023-04-02 20:27:51.303692,ea-k3s-node-eu-west-2-2,"",delay-discovery-4mzjr,default,0,0,0,""
2023-04-02 20:27:51.503534,k3s-master,"",metrics-server-c6799cf48-fbkqb,kube-system,6,0,0,""
2023-04-02 20:27:51.703721,ea-k3s-node-eu-west-2-1,"",workload-5cb5f8bd4d-cqpq5,default,17,0,0,""
2023-04-02 20:27:51.903473,k3s-master,"",dispatcher-t7nz2,default,1,0,0,""
2023-04-02 20:27:52.103999,ea-k3s-node-eu-west-2-1,"",delay-discovery-dqfh6,default,1,0,0,""
2023-04-02 20:27:57.107254,ea-k3s-node-eu-west-2-3,"",dispatcher-cqm2r,default,2,0,0,""
2023-04-02 20:27:57.109716,ea-k3s-node-eu-west-2-2,"",metrics-database-6c5586d74-bmctq,kube-system,221,0,0,""
2023-04-02 20:26:57.080772,ea-k3s-node-eu-west-2-2,"",dispatcher-gdbg5,default,1,0,0,""
2023-04-02 20:26:57.082194,k3s-master,"",coredns-5b5bf59798-g2ksk,kube-system,3,0,0,""
2023-04-02 20:26:57.083499,k3s-master,"",delay-discovery-c2ghv,default,2,0,0,""
2023-04-02 20:26:57.087316,ea-k3s-node-eu-west-2-2,"",slpa-algorithm-76cd7d9b97-mb2hk,default,1,100,200,""
2023-04-02 20:26:57.088541,k3s-master,"",local-path-provisioner-79c4646df5-k6vmb,kube-system,2,0,0,""
2023-04-02 20:26:57.09,ea-k3s-node-eu-west-2-2,graph-mst,graph-mst-1y0yv9wh,openfaas-fn,1,1000,1000,community-3
2023-04-02 20:26:57.092475,k3s-master,"",pod-autoscaler-76b6884b54-vbt2k,kube-system,1,500,500,""
2023-04-02 20:26:57.281567,ea-k3s-node-eu-west-2-2,"",svclb-traefik-glknx,kube-system,0,0,0,""
2023-04-02 20:26:57.481015,ea-k3s-node-eu-west-2-3,"",svclb-traefik-ltmtd,kube-system,0,0,0,""
2023-04-02 20:26:57.681277,k3s-master,"",svclb-traefik-4nwnp,kube-system,0,0,0,""
2023-04-02 20:26:57.881814,ea-k3s-node-eu-west-2-1,"",svclb-traefik-x6ttf,kube-system,0,0,0,""
2023-04-02 20:26:58.081247,k3s-master,"",community-3-57bf999865-hsv6x,openfaas-fn,1,200,200,""
2023-04-02 20:26:58.281282,ea-k3s-node-eu-west-2-1,"",allocation-algorithm-77df96cb9b-tmsnz,default,1,500,1000,""
2023-04-02 20:26:58.481211,k3s-master,"",cpu-monitoring-7bbd5b549b-9ckfp,kube-system,14,0,0,""
2023-04-02 20:26:58.68139,k3s-master,"",podscale-controller-57f68c67fc-br6s5,kube-system,2,100,200,""
2023-04-02 20:26:58.881531,ea-k3s-node-eu-west-2-3,"",edge-system-controller-847d657d8b-wp96b,kube-system,1,100,200,""
2023-04-02 20:26:59.082743,k3s-master,"",monitoring-747bdc64bc-5mkch,default,0,0,0,""
2023-04-02 20:26:59.282105,k3s-master,"",custom-metrics-apiserver-8586695c47-9wswj,custom-metrics,4,200,200,""
2023-04-02 20:26:59.482476,ea-k3s-node-eu-west-2-3,"",delay-discovery-wvs4z,default,0,0,0,""
2023-04-02 20:26:59.682954,ea-k3s-node-eu-west-2-1,"",dispatcher-2g6dw,default,3,0,0,""
2023-04-02 20:26:59.882222,ea-k3s-node-eu-west-2-2,"",delay-discovery-4mzjr,default,0,0,0,""
2023-04-02 20:27:00.082048,k3s-master,"",metrics-server-c6799cf48-fbkqb,kube-system,6,0,0,""
2023-04-02 20:27:00.283119,ea-k3s-node-eu-west-2-1,"",workload-5cb5f8bd4d-cqpq5,default,17,0,0,""
2023-04-02 20:27:00.482006,k3s-master,"",dispatcher-t7nz2,default,1,0,0,""
2023-04-02 20:27:00.68258,ea-k3s-node-eu-west-2-1,"",delay-discovery-dqfh6,default,1,0,0,""
2023-04-02 20:27:00.882699,ea-k3s-node-eu-west-2-3,"",traefik-7f48667fb9-2vgqv,kube-system,4,0,0,""
2023-04-02 20:27:01.082036,ea-k3s-node-eu-west-2-1,graph-mst,graph-mst-dwanklfg,openfaas-fn,29,256,256,community-3
2023-04-02 20:27:01.282041,ea-k3s-node-eu-west-2-2,graph-bfs,graph-bfs-n503uvls,openfaas-fn,1,1000,1000,community-3
2023-04-02 20:27:01.482637,ea-k3s-node-eu-west-2-3,"",dispatcher-cqm2r,default,2,0,0,""
2023-04-02 20:27:01.682051,ea-k3s-node-eu-west-2-2,"",metrics-database-6c5586d74-bmctq,kube-system,221,0,0,""
2023-04-02 20:27:01.882732,k3s-master,"",flannel-fixer-deployment-5c468f87f8-ncj6l,kube-system,1,0,0,""
2023-04-02 20:27:02.08256,ea-k3s-node-eu-west-2-3,graph-bfs,graph-bfs-9tmk9q72,openfaas-fn,0,256,256,community-3
2023-04-02 20:27:07.085021,k3s-master,"",monitoring-747bdc64bc-5mkch,default,0,0,0,""
2023-04-02 20:27:07.08651,k3s-master,"",custom-metrics-apiserver-8586695c47-9wswj,custom-metrics,6,200,200,""
2023-04-02 20:27:07.087874,ea-k3s-node-eu-west-2-3,"",delay-discovery-wvs4z,default,0,0,0,""
2023-04-02 20:27:07.089177,ea-k3s-node-eu-west-2-1,"",dispatcher-2g6dw,default,3,0,0,""
