timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-04-03 00:16:06.415075,k3s-master,"",custom-metrics-apiserver-8586695c47-p6ztz,custom-metrics,7,200,200,""
2023-04-03 00:16:06.615517,ea-k3s-node-eu-west-1-3,"",delay-discovery-rkbcz,default,2,0,0,""
2023-04-03 00:16:06.814698,ea-k3s-node-eu-west-1-3,"",edge-system-controller-847d657d8b-cq9r9,kube-system,1,100,200,""
2023-04-03 00:16:07.013574,k3s-master,"",delay-discovery-mtzwm,default,0,0,0,""
2023-04-03 00:16:07.213304,ea-k3s-node-eu-west-1-2,"",svclb-traefik-67lz9,kube-system,0,0,0,""
2023-04-03 00:16:07.413585,k3s-master,"",dispatcher-ww2cl,default,1,0,0,""
2023-04-03 00:16:07.613446,k3s-master,"",coredns-5b5bf59798-lmlp8,kube-system,3,0,0,""
2023-04-03 00:16:07.813288,ea-k3s-node-eu-west-1-2,"",dispatcher-sfx45,default,1,0,0,""
2023-04-03 00:16:08.013201,ea-k3s-node-eu-west-1-2,"",allocation-algorithm-649945b9dc-5b59d,default,1,500,1000,""
2023-04-03 00:16:08.414817,k3s-master,"",cpu-monitoring-7bbd5b549b-l4rwg,kube-system,15,0,0,""
2023-04-03 00:16:08.615224,ea-k3s-node-eu-west-1-2,dynamic-html,dynamic-html-7ari0f29,openfaas-fn,1,1000,1000,community-1
2023-04-03 00:16:13.619877,k3s-master,"",local-path-provisioner-79c4646df5-j8frz,kube-system,1,0,0,""
2023-04-03 00:16:13.623489,ea-k3s-node-eu-west-1-2,thumbnailer,thumbnailer-fh5n5gcw,openfaas-fn,40,1000,1000,community-1
2023-04-03 00:16:13.626166,k3s-master,"",podscale-controller-57f68c67fc-p79jg,kube-system,3,100,200,""
2023-04-03 00:16:13.628963,k3s-master,"",svclb-traefik-hgbf6,kube-system,0,0,0,""
2023-04-03 00:16:13.631406,ea-k3s-node-eu-west-1-1,"",delay-discovery-l8lzw,default,0,0,0,""
2023-04-03 00:16:13.633884,ea-k3s-node-eu-west-1-3,"",svclb-traefik-zvs8d,kube-system,0,0,0,""
2023-04-03 00:16:13.636222,ea-k3s-node-eu-west-1-1,"",slpa-algorithm-76cd7d9b97-g69pl,default,1,100,200,""
2023-04-03 00:16:13.639076,ea-k3s-node-eu-west-1-1,"",metrics-database-6c5586d74-kv2ct,kube-system,118,0,0,""
2023-04-03 00:16:13.641535,k3s-master,"",pod-autoscaler-76b6884b54-tr25v,kube-system,2,500,500,""
