timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-04-02 18:39:09.465683,k3s-master,"",pod-autoscaler-76b6884b54-7qjpm,kube-system,501,500,500,""
2023-04-02 18:39:09.469058,k3s-master,"",custom-metrics-apiserver-8586695c47-wjgn8,custom-metrics,6,200,200,""
2023-04-02 18:39:09.47202,ea-k3s-node-eu-west-1-1,"",traefik-7f48667fb9-qvvxl,kube-system,3,0,0,""
2023-04-02 18:39:09.473515,k3s-master,"",cpu-monitoring-7bbd5b549b-8d65g,kube-system,14,0,0,""
2023-04-02 18:39:09.47488,k3s-master,"",monitoring-747bdc64bc-wtlrj,default,0,0,0,""
2023-04-02 18:39:09.476281,k3s-master,"",coredns-5b5bf59798-rvn5j,kube-system,3,0,0,""
2023-04-02 18:39:09.47931,ea-k3s-node-eu-west-1-1,"",svclb-traefik-fl7g8,kube-system,0,0,0,""
2023-04-02 18:39:09.482318,k3s-master,"",local-path-provisioner-79c4646df5-jwzs2,kube-system,1,0,0,""
2023-04-02 18:39:09.48488,ea-k3s-node-eu-west-1-2,"",dispatcher-qmpfq,default,1,0,0,""
2023-04-02 18:39:09.4874,ea-k3s-node-eu-west-1-2,"",slpa-algorithm-76cd7d9b97-nwj4m,default,1,100,200,""
2023-04-02 18:39:09.66683,ea-k3s-node-eu-west-1-1,"",workload-5cb5f8bd4d-vzwk7,default,1,0,0,""
2023-04-02 18:39:09.866466,k3s-master,"",allocation-algorithm-97d776676-x2p7n,default,1,500,1000,""
2023-04-02 18:39:10.067148,k3s-master,"",metrics-server-c6799cf48-q8qzn,kube-system,6,0,0,""
2023-04-02 18:39:10.266246,k3s-master,"",flannel-fixer-deployment-5c468f87f8-sxl88,kube-system,1,0,0,""
2023-04-02 18:39:10.666718,ea-k3s-node-eu-west-1-3,"",svclb-traefik-m7vcp,kube-system,0,0,0,""
2023-04-02 18:39:10.865436,ea-k3s-node-eu-west-1-2,"",svclb-traefik-6vgnz,kube-system,0,0,0,""
2023-04-02 18:39:11.066378,k3s-master,"",delay-discovery-ld54r,default,0,0,0,""
2023-04-02 18:39:11.266904,ea-k3s-node-eu-west-1-3,"",delay-discovery-xm7tx,default,0,0,0,""
2023-04-02 18:39:11.465758,ea-k3s-node-eu-west-1-1,"",dispatcher-wt2vg,default,1,0,0,""
2023-04-02 18:39:11.666655,ea-k3s-node-eu-west-1-2,thumbnailer,thumbnailer-nnkc3to2,openfaas-fn,1,1000,1000,community-3
2023-04-02 18:39:11.866228,k3s-master,"",community-3-57bf999865-95nrs,openfaas-fn,1,200,200,""
2023-04-02 18:39:12.068053,k3s-master,"",podscale-controller-57f68c67fc-gwv2b,kube-system,4,100,200,""
2023-04-02 18:39:12.265805,ea-k3s-node-eu-west-1-2,"",delay-discovery-dcgt5,default,0,0,0,""
2023-04-02 18:39:12.467515,ea-k3s-node-eu-west-1-3,"",dispatcher-mnm7z,default,1,0,0,""
2023-04-02 18:39:12.665834,ea-k3s-node-eu-west-1-2,compression,compression-452u8ks3,openfaas-fn,1,1000,1000,community-3
2023-04-02 18:39:12.864728,k3s-master,"",dispatcher-vtx9q,default,1,0,0,""
2023-04-02 18:39:13.065515,k3s-master,"",svclb-traefik-dgn8d,kube-system,0,0,0,""
2023-04-02 18:39:13.264737,ea-k3s-node-eu-west-1-2,dynamic-html,dynamic-html-dijlku9k,openfaas-fn,1,1000,1000,community-3
2023-04-02 18:39:13.465177,ea-k3s-node-eu-west-1-1,"",edge-system-controller-847d657d8b-sd2rw,kube-system,1,100,200,""
2023-04-02 18:39:13.664514,ea-k3s-node-eu-west-1-2,"",metrics-database-6c5586d74-v6jjj,kube-system,4,0,0,""
2023-04-02 18:39:13.865425,ea-k3s-node-eu-west-1-1,"",delay-discovery-wksp7,default,0,0,0,""
2023-04-02 18:39:18.86872,ea-k3s-node-eu-west-1-3,"",delay-discovery-xm7tx,default,0,0,0,""
2023-04-02 18:39:18.870714,ea-k3s-node-eu-west-1-1,"",dispatcher-wt2vg,default,1,0,0,""
2023-04-02 18:39:18.872587,k3s-master,"",metrics-server-c6799cf48-q8qzn,kube-system,6,0,0,""
2023-04-02 18:39:18.874229,k3s-master,"",flannel-fixer-deployment-5c468f87f8-sxl88,kube-system,1,0,0,""
2023-04-02 18:39:18.877719,ea-k3s-node-eu-west-1-3,"",svclb-traefik-m7vcp,kube-system,0,0,0,""
2023-04-02 18:39:18.879153,ea-k3s-node-eu-west-1-2,"",svclb-traefik-6vgnz,kube-system,0,0,0,""
2023-04-02 18:39:18.88054,k3s-master,"",delay-discovery-ld54r,default,0,0,0,""
2023-04-02 18:39:18.882266,ea-k3s-node-eu-west-1-2,thumbnailer,thumbnailer-nnkc3to2,openfaas-fn,1,1000,1000,community-3
2023-04-02 18:39:18.883701,k3s-master,"",community-3-57bf999865-95nrs,openfaas-fn,1,200,200,""
2023-04-02 18:39:19.069901,k3s-master,"",podscale-controller-57f68c67fc-gwv2b,kube-system,4,100,200,""
2023-04-02 18:39:19.269353,ea-k3s-node-eu-west-1-2,"",delay-discovery-dcgt5,default,0,0,0,""
2023-04-02 18:39:19.469891,ea-k3s-node-eu-west-1-3,"",dispatcher-mnm7z,default,1,0,0,""
2023-04-02 18:39:19.67015,ea-k3s-node-eu-west-1-2,compression,compression-452u8ks3,openfaas-fn,1,1000,1000,community-3
2023-04-02 18:39:19.871533,ea-k3s-node-eu-west-1-2,dynamic-html,dynamic-html-dijlku9k,openfaas-fn,1,1000,1000,community-3
2023-04-02 18:39:20.071078,k3s-master,"",dispatcher-vtx9q,default,1,0,0,""
2023-04-02 18:39:20.27112,k3s-master,"",svclb-traefik-dgn8d,kube-system,0,0,0,""
2023-04-02 18:39:20.470895,ea-k3s-node-eu-west-1-1,"",edge-system-controller-847d657d8b-sd2rw,kube-system,1,100,200,""
2023-04-02 18:39:20.671078,ea-k3s-node-eu-west-1-2,"",metrics-database-6c5586d74-v6jjj,kube-system,4,0,0,""
2023-04-02 18:39:20.871522,ea-k3s-node-eu-west-1-1,"",delay-discovery-wksp7,default,0,0,0,""
2023-04-02 18:39:21.070822,k3s-master,"",pod-autoscaler-76b6884b54-7qjpm,kube-system,501,500,500,""
2023-04-02 18:39:21.270383,k3s-master,"",custom-metrics-apiserver-8586695c47-wjgn8,custom-metrics,6,200,200,""
2023-04-02 18:39:21.471009,ea-k3s-node-eu-west-1-1,"",traefik-7f48667fb9-qvvxl,kube-system,3,0,0,""
2023-04-02 18:39:21.671665,k3s-master,"",cpu-monitoring-7bbd5b549b-8d65g,kube-system,14,0,0,""
2023-04-02 18:39:21.871054,k3s-master,"",monitoring-747bdc64bc-wtlrj,default,0,0,0,""
2023-04-02 18:39:22.070688,k3s-master,"",coredns-5b5bf59798-rvn5j,kube-system,3,0,0,""
2023-04-02 18:39:22.270588,ea-k3s-node-eu-west-1-1,"",svclb-traefik-fl7g8,kube-system,0,0,0,""
2023-04-02 18:39:22.471161,k3s-master,"",allocation-algorithm-97d776676-x2p7n,default,1,500,1000,""
2023-04-02 18:39:22.670382,k3s-master,"",local-path-provisioner-79c4646df5-jwzs2,kube-system,1,0,0,""
2023-04-02 18:39:22.870922,ea-k3s-node-eu-west-1-2,"",dispatcher-qmpfq,default,1,0,0,""
2023-04-02 18:39:23.070784,ea-k3s-node-eu-west-1-2,"",slpa-algorithm-76cd7d9b97-nwj4m,default,1,100,200,""
2023-04-02 18:39:23.270359,ea-k3s-node-eu-west-1-1,"",workload-5cb5f8bd4d-vzwk7,default,1,0,0,""
2023-04-02 18:39:28.274658,k3s-master,"",local-path-provisioner-79c4646df5-jwzs2,kube-system,1,0,0,""
2023-04-02 18:39:28.276272,ea-k3s-node-eu-west-1-2,"",dispatcher-qmpfq,default,1,0,0,""
2023-04-02 18:39:28.277764,ea-k3s-node-eu-west-1-2,"",slpa-algorithm-76cd7d9b97-nwj4m,default,1,100,200,""
2023-04-02 18:39:28.279165,ea-k3s-node-eu-west-1-1,"",workload-5cb5f8bd4d-vzwk7,default,1,0,0,""
2023-04-02 18:39:28.280681,k3s-master,"",allocation-algorithm-97d776676-x2p7n,default,1,500,1000,""
2023-04-02 18:39:28.283615,k3s-master,"",metrics-server-c6799cf48-q8qzn,kube-system,6,0,0,""
2023-04-02 18:39:28.286527,k3s-master,"",flannel-fixer-deployment-5c468f87f8-sxl88,kube-system,1,0,0,""
2023-04-02 18:39:28.291757,ea-k3s-node-eu-west-1-3,"",svclb-traefik-m7vcp,kube-system,0,0,0,""
2023-04-02 18:39:28.294384,ea-k3s-node-eu-west-1-2,"",svclb-traefik-6vgnz,kube-system,0,0,0,""
2023-04-02 18:39:28.476311,k3s-master,"",delay-discovery-ld54r,default,0,0,0,""
2023-04-02 18:39:28.676801,ea-k3s-node-eu-west-1-3,"",delay-discovery-xm7tx,default,0,0,0,""
2023-04-02 18:39:28.876227,ea-k3s-node-eu-west-1-1,"",dispatcher-wt2vg,default,1,0,0,""
2023-04-02 18:39:29.076757,ea-k3s-node-eu-west-1-2,thumbnailer,thumbnailer-nnkc3to2,openfaas-fn,1,1000,1000,community-3
2023-04-02 18:39:29.276471,k3s-master,"",community-3-57bf999865-95nrs,openfaas-fn,1,200,200,""
2023-04-02 18:39:29.476551,k3s-master,"",podscale-controller-57f68c67fc-gwv2b,kube-system,4,100,200,""
2023-04-02 18:39:29.677594,ea-k3s-node-eu-west-1-2,"",delay-discovery-dcgt5,default,0,0,0,""
2023-04-02 18:39:29.876208,ea-k3s-node-eu-west-1-3,"",dispatcher-mnm7z,default,1,0,0,""
2023-04-02 18:39:30.076623,ea-k3s-node-eu-west-1-2,compression,compression-452u8ks3,openfaas-fn,1,1000,1000,community-3
2023-04-02 18:39:30.276956,k3s-master,"",dispatcher-vtx9q,default,1,0,0,""
2023-04-02 18:39:30.476598,k3s-master,"",svclb-traefik-dgn8d,kube-system,0,0,0,""
2023-04-02 18:39:30.676105,ea-k3s-node-eu-west-1-2,dynamic-html,dynamic-html-dijlku9k,openfaas-fn,21,1000,1000,community-3
2023-04-02 18:39:30.876054,ea-k3s-node-eu-west-1-1,"",edge-system-controller-847d657d8b-sd2rw,kube-system,1,100,200,""
2023-04-02 18:39:31.077774,ea-k3s-node-eu-west-1-2,"",metrics-database-6c5586d74-v6jjj,kube-system,7,0,0,""
2023-04-02 18:39:31.276447,ea-k3s-node-eu-west-1-1,"",delay-discovery-wksp7,default,2,0,0,""
2023-04-02 18:39:31.476174,k3s-master,"",pod-autoscaler-76b6884b54-7qjpm,kube-system,500,500,500,""
2023-04-02 18:39:31.677794,k3s-master,"",custom-metrics-apiserver-8586695c47-wjgn8,custom-metrics,5,200,200,""
2023-04-02 18:39:31.876582,ea-k3s-node-eu-west-1-1,"",traefik-7f48667fb9-qvvxl,kube-system,3,0,0,""
2023-04-02 18:39:32.076284,k3s-master,"",cpu-monitoring-7bbd5b549b-8d65g,kube-system,22,0,0,""
2023-04-02 18:39:32.277005,k3s-master,"",monitoring-747bdc64bc-wtlrj,default,0,0,0,""
2023-04-02 18:39:32.477041,k3s-master,"",coredns-5b5bf59798-rvn5j,kube-system,3,0,0,""
2023-04-02 18:39:32.676647,ea-k3s-node-eu-west-1-1,"",svclb-traefik-fl7g8,kube-system,0,0,0,""
2023-04-02 18:39:37.678748,k3s-master,"",coredns-5b5bf59798-rvn5j,kube-system,3,0,0,""
2023-04-02 18:39:37.680327,ea-k3s-node-eu-west-1-1,"",svclb-traefik-fl7g8,kube-system,0,0,0,""
2023-04-02 18:39:37.683153,ea-k3s-node-eu-west-1-2,"",slpa-algorithm-76cd7d9b97-nwj4m,default,1,100,200,""
2023-04-02 18:39:37.685824,ea-k3s-node-eu-west-1-1,"",workload-5cb5f8bd4d-vzwk7,default,46,0,0,""
2023-04-02 18:39:37.688453,k3s-master,"",allocation-algorithm-97d776676-x2p7n,default,1,500,1000,""
2023-04-02 18:39:37.691034,k3s-master,"",local-path-provisioner-79c4646df5-jwzs2,kube-system,1,0,0,""
2023-04-02 18:39:37.693563,ea-k3s-node-eu-west-1-2,"",dispatcher-qmpfq,default,2,0,0,""
2023-04-02 18:39:37.695389,ea-k3s-node-eu-west-1-3,"",svclb-traefik-m7vcp,kube-system,0,0,0,""
2023-04-02 18:39:37.697016,ea-k3s-node-eu-west-1-2,"",svclb-traefik-6vgnz,kube-system,0,0,0,""
2023-04-02 18:39:37.698412,k3s-master,"",delay-discovery-ld54r,default,0,0,0,""
2023-04-02 18:39:37.879559,ea-k3s-node-eu-west-1-3,"",delay-discovery-xm7tx,default,0,0,0,""
2023-04-02 18:39:38.079335,ea-k3s-node-eu-west-1-1,"",dispatcher-wt2vg,default,1,0,0,""
2023-04-02 18:39:38.279697,k3s-master,"",metrics-server-c6799cf48-q8qzn,kube-system,6,0,0,""
2023-04-02 18:39:38.480361,k3s-master,"",flannel-fixer-deployment-5c468f87f8-sxl88,kube-system,1,0,0,""
2023-04-02 18:39:38.879165,ea-k3s-node-eu-west-1-2,thumbnailer,thumbnailer-nnkc3to2,openfaas-fn,1,1000,1000,community-3
2023-04-02 18:39:39.078969,ea-k3s-node-eu-west-1-2,"",delay-discovery-dcgt5,default,1,0,0,""
2023-04-02 18:39:39.279454,ea-k3s-node-eu-west-1-3,"",dispatcher-mnm7z,default,1,0,0,""
2023-04-02 18:39:39.479701,ea-k3s-node-eu-west-1-2,compression,compression-452u8ks3,openfaas-fn,1,1000,1000,community-3
2023-04-02 18:39:39.680829,k3s-master,"",community-3-57bf999865-95nrs,openfaas-fn,1,200,200,""
2023-04-02 18:39:39.880578,k3s-master,"",podscale-controller-57f68c67fc-gwv2b,kube-system,3,100,200,""
2023-04-02 18:39:40.079837,ea-k3s-node-eu-west-1-2,dynamic-html,dynamic-html-dijlku9k,openfaas-fn,21,1000,1000,community-3
2023-04-02 18:39:40.280384,k3s-master,"",dispatcher-vtx9q,default,1,0,0,""
2023-04-02 18:39:40.481163,k3s-master,"",svclb-traefik-dgn8d,kube-system,0,0,0,""
2023-04-02 18:39:40.679409,ea-k3s-node-eu-west-1-1,"",delay-discovery-wksp7,default,2,0,0,""
2023-04-02 18:39:40.880919,ea-k3s-node-eu-west-1-1,"",edge-system-controller-847d657d8b-sd2rw,kube-system,1,100,200,""
2023-04-02 18:39:41.080326,ea-k3s-node-eu-west-1-2,"",metrics-database-6c5586d74-v6jjj,kube-system,7,0,0,""
2023-04-02 18:39:41.279848,ea-k3s-node-eu-west-1-1,"",traefik-7f48667fb9-qvvxl,kube-system,3,0,0,""
2023-04-02 18:39:41.48027,k3s-master,"",pod-autoscaler-76b6884b54-7qjpm,kube-system,500,500,500,""
2023-04-02 18:39:41.680665,k3s-master,"",custom-metrics-apiserver-8586695c47-wjgn8,custom-metrics,5,200,200,""
2023-04-02 18:39:41.87899,k3s-master,"",cpu-monitoring-7bbd5b549b-8d65g,kube-system,22,0,0,""
2023-04-02 18:39:42.079404,k3s-master,"",monitoring-747bdc64bc-wtlrj,default,0,0,0,""
2023-04-02 18:39:47.085767,ea-k3s-node-eu-west-1-2,"",delay-discovery-dcgt5,default,1,0,0,""
2023-04-02 18:39:47.088504,ea-k3s-node-eu-west-1-3,"",dispatcher-mnm7z,default,1,0,0,""
2023-04-02 18:39:47.091213,ea-k3s-node-eu-west-1-2,compression,compression-452u8ks3,openfaas-fn,1,1000,1000,community-3
2023-04-02 18:39:47.092705,k3s-master,"",community-3-57bf999865-95nrs,openfaas-fn,1,200,200,""
2023-04-02 18:39:47.094137,k3s-master,"",podscale-controller-57f68c67fc-gwv2b,kube-system,3,100,200,""
2023-04-02 18:39:47.09672,ea-k3s-node-eu-west-1-2,dynamic-html,dynamic-html-dijlku9k,openfaas-fn,21,1000,1000,community-3
2023-04-02 18:39:47.098143,k3s-master,"",dispatcher-vtx9q,default,1,0,0,""
2023-04-02 18:39:47.099569,k3s-master,"",svclb-traefik-dgn8d,kube-system,0,0,0,""
2023-04-02 18:39:47.102526,ea-k3s-node-eu-west-1-1,"",delay-discovery-wksp7,default,2,0,0,""
2023-04-02 18:39:47.103927,ea-k3s-node-eu-west-1-1,"",edge-system-controller-847d657d8b-sd2rw,kube-system,1,100,200,""
2023-04-02 18:39:47.284532,ea-k3s-node-eu-west-1-2,"",metrics-database-6c5586d74-v6jjj,kube-system,7,0,0,""
2023-04-02 18:39:47.486377,ea-k3s-node-eu-west-1-1,"",traefik-7f48667fb9-qvvxl,kube-system,3,0,0,""
2023-04-02 18:39:47.685107,k3s-master,"",pod-autoscaler-76b6884b54-7qjpm,kube-system,500,500,500,""
2023-04-02 18:39:47.884347,k3s-master,"",custom-metrics-apiserver-8586695c47-wjgn8,custom-metrics,5,200,200,""
2023-04-02 18:39:48.085952,k3s-master,"",cpu-monitoring-7bbd5b549b-8d65g,kube-system,22,0,0,""
2023-04-02 18:39:48.285904,k3s-master,"",monitoring-747bdc64bc-wtlrj,default,0,0,0,""
2023-04-02 18:39:48.486002,k3s-master,"",coredns-5b5bf59798-rvn5j,kube-system,3,0,0,""
2023-04-02 18:39:48.686608,ea-k3s-node-eu-west-1-1,"",svclb-traefik-fl7g8,kube-system,0,0,0,""
2023-04-02 18:39:48.886246,ea-k3s-node-eu-west-1-2,"",slpa-algorithm-76cd7d9b97-nwj4m,default,1,100,200,""
2023-04-02 18:39:49.086302,ea-k3s-node-eu-west-1-1,"",workload-5cb5f8bd4d-vzwk7,default,46,0,0,""
2023-04-02 18:39:49.285901,k3s-master,"",allocation-algorithm-97d776676-x2p7n,default,1,500,1000,""
