timestamp,node,function,namespace,community,latency,gpu
2023-04-02 11:05:52.679578,compression,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,97,f
2023-04-02 11:05:53.611707,compression,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,27,f
2023-04-02 11:05:54.542945,compression,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,27,f
2023-04-02 11:05:55.474867,compression,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,27,f
2023-04-02 11:05:56.406235,compression,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,27,f
2023-04-02 11:05:57.33978,compression,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,27,f
2023-04-02 11:05:58.271268,compression,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,27,f
2023-04-02 11:05:59.203006,compression,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,27,f
2023-04-02 11:06:00.134319,compression,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,27,f
2023-04-02 11:06:01.067542,compression,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,28,f
2023-04-02 11:06:02.000959,compression,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,27,f
2023-04-02 11:06:02.93219,compression,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,27,f
2023-04-02 11:06:03.863452,compression,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,27,f
2023-04-02 11:06:04.794333,compression,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,27,f
2023-04-02 11:06:05.725618,compression,ea-k3s-node-eu-west-1-2,openfaas-fn,community-3,27,f
2023-04-02 11:06:15.702275,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,61,f
2023-04-02 11:06:16.637457,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,31,f
2023-04-02 11:06:17.568807,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,27,f
2023-04-02 11:06:18.5011,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,28,f
2023-04-02 11:06:19.433788,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,27,f
2023-04-02 11:06:20.369559,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,27,f
2023-04-02 11:06:21.302334,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,27,f
2023-04-02 11:06:22.234647,compression,ea-k3s-node-eu-west-1-3,openfaas-fn,community-3,27,f
