timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-03-24 21:47:53.476626,ea-k3s-node-eu-west-2-1,"",dispatcher-8xlg9,default,1,0,0,""
2023-03-24 21:47:53.675638,k3s-master,"",monitoring-747bdc64bc-pggzb,default,0,0,0,""
2023-03-24 21:47:58.679499,k3s-master,"",cpu-monitoring-7bbd5b549b-8466n,kube-system,14,0,0,""
2023-03-24 21:47:58.681833,ea-k3s-node-eu-west-2-3,compression,compression-wn2dxkjq,openfaas-fn,1,200,200,community-1
2023-03-24 21:47:58.684558,ea-k3s-node-eu-west-2-1,dynamic-html,dynamic-html-jmxbouxs,openfaas-fn,1,200,200,community-1
2023-03-24 21:47:58.686579,k3s-master,"",allocation-algorithm-77df96cb9b-mzwkk,default,1,500,1000,""
2023-03-24 21:47:58.6886,ea-k3s-node-eu-west-2-2,"",dispatcher-slkjz,default,1,0,0,""
2023-03-24 21:47:58.690553,ea-k3s-node-eu-west-2-2,thumbnailer,thumbnailer-3tvjzjpe,openfaas-fn,1,200,200,community-1
2023-03-24 21:47:58.692471,ea-k3s-node-eu-west-2-1,compression,compression-hy3plmkm,openfaas-fn,1,200,200,community-1
2023-03-24 21:47:58.694406,ea-k3s-node-eu-west-2-1,"",slpa-algorithm-76cd7d9b97-cw9c2,default,1,100,200,""
2023-03-24 21:47:58.696388,k3s-master,"",local-path-provisioner-79c4646df5-tmmnv,kube-system,1,0,0,""
2023-03-24 21:47:58.698443,ea-k3s-node-eu-west-2-2,"",edge-system-controller-847d657d8b-zgf85,kube-system,1,100,200,""
2023-03-24 21:47:58.880218,ea-k3s-node-eu-west-2-2,"",workload-5cb5f8bd4d-n488c,default,24,0,0,""
2023-03-24 21:47:59.079082,k3s-master,"",flannel-fixer-deployment-5c468f87f8-29pk8,kube-system,1,0,0,""
2023-03-24 21:47:59.279281,ea-k3s-node-eu-west-2-1,"",delay-discovery-p8lhs,default,0,0,0,""
2023-03-24 21:47:59.479385,ea-k3s-node-eu-west-2-3,thumbnailer,thumbnailer-ypq5s0mi,openfaas-fn,1,200,200,community-1
2023-03-24 21:47:59.680065,ea-k3s-node-eu-west-2-3,"",delay-discovery-h4bz9,default,0,0,0,""
2023-03-24 21:47:59.879898,k3s-master,"",coredns-5b5bf59798-92xmm,kube-system,3,0,0,""
2023-03-24 21:48:00.080104,k3s-master,"",metrics-server-c6799cf48-fnrqd,kube-system,5,0,0,""
2023-03-24 21:48:00.279938,ea-k3s-node-eu-west-2-3,"",dispatcher-5sjcv,default,1,0,0,""
2023-03-24 21:48:00.480028,k3s-master,"",traefik-7f48667fb9-kbmb5,kube-system,4,0,0,""
2023-03-24 21:48:00.87994,ea-k3s-node-eu-west-2-3,"",svclb-traefik-8g6mf,kube-system,0,0,0,""
2023-03-24 21:48:01.080283,ea-k3s-node-eu-west-2-2,compression,compression-1244ols7,openfaas-fn,1,200,200,community-1
2023-03-24 21:48:01.279411,ea-k3s-node-eu-west-2-1,"",metrics-database-6c5586d74-v4lwn,kube-system,8,0,0,""
2023-03-24 21:48:01.480127,k3s-master,"",pod-autoscaler-76b6884b54-kc5kl,kube-system,3,500,500,""
2023-03-24 21:48:01.679403,k3s-master,"",delay-discovery-7jmvb,default,0,0,0,""
2023-03-24 21:48:01.879833,k3s-master,"",community-1-7dddd9c85c-856nw,openfaas-fn,1,200,200,""
2023-03-24 21:48:02.080242,ea-k3s-node-eu-west-2-3,dynamic-html,dynamic-html-d725m69f,openfaas-fn,1,425,425,community-1
2023-03-24 21:48:02.479917,k3s-master,"",custom-metrics-apiserver-8586695c47-rbhgw,custom-metrics,8,200,200,""
2023-03-24 21:48:02.679446,k3s-master,"",svclb-traefik-tzvzs,kube-system,0,0,0,""
