timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-03-24 09:44:07.51178,k3s-master,"",podscale-controller-57f68c67fc-v64k8,kube-system,3,100,200,""
2023-03-24 09:44:07.711196,ea-k3s-node-us-east-2-3,"",slpa-algorithm-76cd7d9b97-mhjwp,default,1,100,200,""
2023-03-24 09:44:07.912358,k3s-master,"",monitoring-747bdc64bc-jvclv,default,0,0,0,""
2023-03-24 09:44:08.112641,k3s-master,"",local-path-provisioner-79c4646df5-tk9bc,kube-system,1,0,0,""
2023-03-24 09:44:08.312118,ea-k3s-node-us-east-2-1,thumbnailer,thumbnailer-ieyoh54e,openfaas-fn,1,200,200,community-2
2023-03-24 09:44:08.512061,ea-k3s-node-us-east-2-2,"",svclb-traefik-jjrw2,kube-system,0,0,0,""
2023-03-24 09:44:08.712261,ea-k3s-node-us-east-2-2,"",delay-discovery-zcmpl,default,0,0,0,""
2023-03-24 09:44:08.912162,ea-k3s-node-us-east-2-2,"",workload-5cb5f8bd4d-j9b4x,default,0,0,0,""
2023-03-24 09:44:09.112219,k3s-master,"",cpu-monitoring-7bbd5b549b-mxbsz,kube-system,19,0,0,""
2023-03-24 09:44:09.312156,ea-k3s-node-us-east-2-3,"",metrics-database-6c5586d74-snsw2,kube-system,4,0,0,""
2023-03-24 09:44:09.512138,k3s-master,"",coredns-5b5bf59798-mvlm2,kube-system,3,0,0,""
2023-03-24 09:44:09.7131,ea-k3s-node-us-east-2-3,"",dispatcher-8flgq,default,1,0,0,""
2023-03-24 09:44:09.91259,ea-k3s-node-us-east-2-3,dynamic-html,dynamic-html-6m2zcv6d,openfaas-fn,1,200,200,community-2
2023-03-24 09:44:10.112577,ea-k3s-node-us-east-2-1,"",dispatcher-nxwkg,default,1,0,0,""
2023-03-24 09:44:10.312418,k3s-master,"",traefik-7f48667fb9-gvm5j,kube-system,4,0,0,""
2023-03-24 09:44:15.515532,ea-k3s-node-us-east-2-1,"",dispatcher-nxwkg,default,1,0,0,""
2023-03-24 09:44:15.517201,k3s-master,"",traefik-7f48667fb9-gvm5j,kube-system,4,0,0,""
2023-03-24 09:44:15.521229,k3s-master,"",dispatcher-r87bf,default,1,0,0,""
2023-03-24 09:44:15.524448,k3s-master,"",metrics-server-c6799cf48-b7j62,kube-system,6,0,0,""
2023-03-24 09:44:15.527006,k3s-master,"",svclb-traefik-p5jfb,kube-system,0,0,0,""
2023-03-24 09:44:15.529601,ea-k3s-node-us-east-2-2,"",dispatcher-nh54l,default,1,0,0,""
2023-03-24 09:44:15.532122,ea-k3s-node-us-east-2-3,"",delay-discovery-fh6h9,default,0,0,0,""
2023-03-24 09:44:15.534787,ea-k3s-node-us-east-2-1,"",allocation-algorithm-86ccb8bbdf-tljkk,default,1,500,1000,""
2023-03-24 09:44:15.537261,k3s-master,"",pod-autoscaler-76b6884b54-9xq22,kube-system,2,500,500,""
2023-03-24 09:44:15.717786,k3s-master,"",community-2-676fc9656c-qrk9v,openfaas-fn,1,200,200,""
2023-03-24 09:44:15.917286,ea-k3s-node-us-east-2-1,compression,compression-1244ols7,openfaas-fn,1,200,200,community-2
