timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-03-24 11:15:45.538948,k3s-master,"",cpu-monitoring-7bbd5b549b-ps2dr,kube-system,14,0,0,""
2023-03-24 11:15:45.540294,ea-k3s-node-eu-west-1-2,"",svclb-traefik-5cj5j,kube-system,0,0,0,""
2023-03-24 11:15:45.542984,k3s-master,"",podscale-controller-57f68c67fc-49xzp,kube-system,4,100,200,""
2023-03-24 11:15:45.54511,k3s-master,"",coredns-5b5bf59798-5vllp,kube-system,3,0,0,""
2023-03-24 11:15:45.5463,k3s-master,"",dispatcher-hpxqz,default,1,0,0,""
2023-03-24 11:15:45.547473,ea-k3s-node-eu-west-1-3,"",delay-discovery-zbjqx,default,0,0,0,""
2023-03-24 11:15:45.548813,ea-k3s-node-eu-west-1-1,graph-mst,graph-mst-drxckn53,openfaas-fn,1,200,200,community-1
2023-03-24 11:15:45.550415,ea-k3s-node-eu-west-1-1,"",metrics-database-6c5586d74-b7ghs,kube-system,3,0,0,""
2023-03-24 11:15:45.551504,ea-k3s-node-eu-west-1-2,"",edge-system-controller-847d657d8b-tzm2f,kube-system,1,100,200,""
2023-03-24 11:15:45.739969,ea-k3s-node-eu-west-1-3,"",allocation-algorithm-86ccb8bbdf-x2lkv,default,1,500,1000,""
2023-03-24 11:15:45.939843,ea-k3s-node-eu-west-1-2,"",delay-discovery-qd9mg,default,0,0,0,""
2023-03-24 11:15:46.139449,k3s-master,"",community-1-7dddd9c85c-z68hb,openfaas-fn,1,200,200,""
2023-03-24 11:15:46.33935,k3s-master,"",monitoring-747bdc64bc-v7hjj,default,0,0,0,""
2023-03-24 11:15:46.54007,ea-k3s-node-eu-west-1-1,"",slpa-algorithm-76cd7d9b97-njkhw,default,1,100,200,""
2023-03-24 11:15:46.739377,k3s-master,"",local-path-provisioner-79c4646df5-s6mps,kube-system,2,0,0,""
2023-03-24 11:15:46.939358,ea-k3s-node-eu-west-1-2,"",dispatcher-k7bb8,default,1,0,0,""
2023-03-24 11:15:47.140034,ea-k3s-node-eu-west-1-3,"",svclb-traefik-gwtmt,kube-system,0,0,0,""
2023-03-24 11:15:47.339465,k3s-master,"",svclb-traefik-bdzdm,kube-system,0,0,0,""
2023-03-24 11:15:47.539394,ea-k3s-node-eu-west-1-1,"",svclb-traefik-n782b,kube-system,0,0,0,""
2023-03-24 11:15:47.739843,ea-k3s-node-eu-west-1-3,graph-bfs,graph-bfs-gb61anxn,openfaas-fn,1,300,300,community-1
2023-03-24 11:15:47.940443,ea-k3s-node-eu-west-1-3,"",dispatcher-pnh5t,default,1,0,0,""
2023-03-24 11:15:48.140583,k3s-master,"",metrics-server-c6799cf48-26thb,kube-system,5,0,0,""
2023-03-24 11:15:48.34036,k3s-master,"",pod-autoscaler-76b6884b54-9sq4k,kube-system,2,500,500,""
2023-03-24 11:15:48.540937,k3s-master,"",custom-metrics-apiserver-8586695c47-kx67v,custom-metrics,5,200,200,""
2023-03-24 11:15:48.740659,ea-k3s-node-eu-west-1-1,"",dispatcher-xblvd,default,1,0,0,""
2023-03-24 11:15:48.940937,k3s-master,"",flannel-fixer-deployment-5c468f87f8-bmj4f,kube-system,1,0,0,""
2023-03-24 11:15:49.140111,ea-k3s-node-eu-west-1-1,"",delay-discovery-x9dnn,default,0,0,0,""
2023-03-24 11:15:49.340701,k3s-master,"",traefik-7f48667fb9-vmjs7,kube-system,4,0,0,""
