timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-03-29 15:34:07.576502,k3s-master,"",pod-autoscaler-76b6884b54-phmrz,kube-system,1,500,500,""
2023-03-29 15:34:07.577976,k3s-master,"",coredns-5b5bf59798-jtfj2,kube-system,4,0,0,""
2023-03-29 15:34:07.579454,ea-k3s-node-eu-west-2-1,"",workload-5cb5f8bd4d-md7kj,default,13,0,0,""
2023-03-29 15:34:07.580987,ea-k3s-node-eu-west-2-1,thumbnailer,thumbnailer-rexthlm0,openfaas-fn,1,200,200,community-3
2023-03-29 15:34:07.583532,ea-k3s-node-eu-west-2-3,"",svclb-traefik-ggth7,kube-system,0,0,0,""
2023-03-29 15:34:07.584757,k3s-master,"",delay-discovery-5x4mj,default,0,0,0,""
2023-03-29 15:34:07.585996,ea-k3s-node-eu-west-2-1,"",delay-discovery-mjnql,default,0,0,0,""
2023-03-29 15:34:07.587788,ea-k3s-node-eu-west-2-3,"",edge-system-controller-847d657d8b-m2lmf,kube-system,1,100,200,""
2023-03-29 15:34:07.589026,ea-k3s-node-eu-west-2-2,"",allocation-algorithm-77df96cb9b-vwzlc,default,1,500,1000,""
2023-03-29 15:34:07.776617,k3s-master,"",cpu-monitoring-7bbd5b549b-62skl,kube-system,16,0,0,""
2023-03-29 15:34:07.977361,k3s-master,"",local-path-provisioner-79c4646df5-bx2h6,kube-system,1,0,0,""
2023-03-29 15:34:08.176815,ea-k3s-node-eu-west-2-1,compression,compression-b9604le1,openfaas-fn,1,200,200,community-3
2023-03-29 15:34:08.37835,ea-k3s-node-eu-west-2-2,"",delay-discovery-gc8cq,default,2,0,0,""
2023-03-29 15:34:08.578271,k3s-master,"",community-3-57bf999865-jt724,openfaas-fn,1,200,200,""
2023-03-29 15:34:08.778091,ea-k3s-node-eu-west-2-3,"",delay-discovery-pdwzx,default,2,0,0,""
2023-03-29 15:34:08.97821,ea-k3s-node-eu-west-2-3,"",metrics-database-6c5586d74-qql6m,kube-system,25,0,0,""
2023-03-29 15:34:09.178642,ea-k3s-node-eu-west-2-3,"",dispatcher-qkfb9,default,1,0,0,""
2023-03-29 15:34:09.378673,k3s-master,"",flannel-fixer-deployment-5c468f87f8-hfdzj,kube-system,1,0,0,""
2023-03-29 15:34:09.577897,k3s-master,"",dispatcher-q8wl9,default,2,0,0,""
2023-03-29 15:34:09.778667,ea-k3s-node-eu-west-2-2,"",svclb-traefik-7zfzf,kube-system,0,0,0,""
2023-03-29 15:34:09.977999,k3s-master,"",metrics-server-c6799cf48-htjg4,kube-system,5,0,0,""
2023-03-29 15:34:10.177893,k3s-master,"",monitoring-747bdc64bc-rzgxj,default,0,0,0,""
2023-03-29 15:34:10.378079,ea-k3s-node-eu-west-2-2,"",dispatcher-c9kt5,default,1,0,0,""
