timestamp,node,function,namespace,community,latency,gpu
2023-03-29 15:59:06.375402,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,121,f
2023-03-29 15:59:07.478875,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,197,f
2023-03-29 15:59:08.577426,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,193,f
2023-03-29 15:59:09.675879,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,193,f
2023-03-29 15:59:10.776371,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,195,f
2023-03-29 15:59:11.877601,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,190,f
2023-03-29 15:59:12.893591,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,110,f
2023-03-29 15:59:13.886591,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,88,f
2023-03-29 15:59:14.885864,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,94,f
2023-03-29 15:59:15.884852,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,94,f
2023-03-29 15:59:21.378919,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,58,f
2023-03-29 15:59:22.328671,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,44,f
2023-03-29 15:59:23.277267,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,43,f
2023-03-29 15:59:24.227046,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,44,f
2023-03-29 15:59:25.17504,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,42,f
2023-03-29 15:59:26.13042,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,44,f
2023-03-29 15:59:27.078536,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,43,f
2023-03-29 15:59:28.026327,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,43,f
2023-03-29 15:59:28.974615,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,43,f
2023-03-29 15:59:29.922061,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,43,f
2023-03-29 15:59:35.402353,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,44,f
2023-03-29 15:59:36.382432,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,74,f
2023-03-29 15:59:37.382571,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,94,f
2023-03-29 15:59:38.378081,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,89,f
2023-03-29 15:59:39.377562,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,94,f
2023-03-29 15:59:44.985002,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,174,f
2023-03-29 15:59:45.994746,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,106,f
2023-03-29 15:59:47.075877,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,178,f
2023-03-29 15:59:48.178486,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,199,f
2023-03-29 15:59:49.277254,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,195,f
2023-03-29 15:59:54.802698,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,90,f
2023-03-29 15:59:55.800016,dynamic-html,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,92,f
