timestamp,node,function,namespace,community,latency,gpu
2023-03-29 03:00:05.424148,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,743,f
2023-03-29 03:00:06.725357,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,392,f
2023-03-29 03:00:07.888491,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,257,f
2023-03-29 03:00:09.025229,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,230,f
2023-03-29 03:00:10.144264,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,212,f
2023-03-29 03:00:11.31417,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,258,f
2023-03-29 03:00:12.515794,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,295,f
2023-03-29 03:00:13.618769,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,197,f
2023-03-29 03:00:14.722342,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,198,f
2023-03-29 03:00:15.757587,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,130,f
2023-03-29 03:00:16.814599,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,146,f
2023-03-29 03:00:17.858984,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,138,f
2023-03-29 03:00:18.857681,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,94,f
2023-03-29 03:00:19.854044,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,92,f
2023-03-29 03:00:20.849462,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,91,f
2023-03-29 03:00:21.850408,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,91,f
2023-03-29 03:00:23.066603,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,311,f
2023-03-29 03:00:24.062227,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,90,f
2023-03-29 03:00:25.057907,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,90,f
2023-03-29 03:00:26.052676,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,90,f
2023-03-29 03:00:31.580038,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,93,f
2023-03-29 03:00:32.579248,graph-bfs,ea-k3s-node-eu-west-2-3,openfaas-fn,community-2,91,f
