timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-03-29 12:43:24.537519,k3s-master,"",flannel-fixer-deployment-5c468f87f8-kn7fh,kube-system,1,0,0,""
2023-03-29 12:43:24.738065,ea-k3s-node-eu-west-2-3,"",dispatcher-nftqr,default,1,0,0,""
2023-03-29 12:43:24.93867,k3s-master,"",traefik-7f48667fb9-cq7pt,kube-system,4,0,0,""
2023-03-29 12:43:25.138168,ea-k3s-node-eu-west-2-2,"",dispatcher-c7gpt,default,1,0,0,""
2023-03-29 12:43:25.337892,k3s-master,"",pod-autoscaler-76b6884b54-w88sl,kube-system,1,500,500,""
2023-03-29 12:43:25.538315,k3s-master,"",dispatcher-g8qp9,default,1,0,0,""
2023-03-29 12:43:25.737651,k3s-master,"",metrics-server-c6799cf48-92bwh,kube-system,6,0,0,""
2023-03-29 12:43:25.938452,ea-k3s-node-eu-west-2-1,"",dispatcher-qdnrw,default,1,0,0,""
2023-03-29 12:43:26.13843,k3s-master,"",svclb-traefik-5gzhf,kube-system,0,0,0,""
2023-03-29 12:43:26.33773,ea-k3s-node-eu-west-2-3,"",delay-discovery-lj6t7,default,0,0,0,""
2023-03-29 12:43:26.538636,ea-k3s-node-eu-west-2-1,"",edge-system-controller-847d657d8b-b8zwn,kube-system,1,100,200,""
2023-03-29 12:43:26.7384,ea-k3s-node-eu-west-2-2,"",workload-5cb5f8bd4d-92wlk,default,8,0,0,""
2023-03-29 12:43:31.740849,k3s-master,"",delay-discovery-75t5g,default,0,0,0,""
2023-03-29 12:43:31.742225,k3s-master,"",custom-metrics-apiserver-8586695c47-d84mh,custom-metrics,58,200,200,""
2023-03-29 12:43:31.743555,ea-k3s-node-eu-west-2-3,"",allocation-algorithm-77df96cb9b-gdwb4,default,1,500,1000,""
2023-03-29 12:43:31.744731,k3s-master,"",coredns-5b5bf59798-thdhj,kube-system,3,0,0,""
2023-03-29 12:43:31.745891,k3s-master,"",monitoring-747bdc64bc-jrpb4,default,0,0,0,""
2023-03-29 12:43:31.747115,ea-k3s-node-eu-west-2-3,graph-mst,graph-mst-jdwgfw6j,openfaas-fn,1,300,300,community-3
2023-03-29 12:43:31.748254,ea-k3s-node-eu-west-2-1,"",delay-discovery-8tzpp,default,1,0,0,""
2023-03-29 12:43:31.749372,ea-k3s-node-eu-west-2-1,"",metrics-database-6c5586d74-8wmq5,kube-system,125,0,0,""
2023-03-29 12:43:31.750561,k3s-master,"",podscale-controller-57f68c67fc-clw2s,kube-system,3,100,200,""
2023-03-29 12:43:31.752665,k3s-master,"",cpu-monitoring-7bbd5b549b-ljnpj,kube-system,18,0,0,""
2023-03-29 12:43:31.941628,k3s-master,"",local-path-provisioner-79c4646df5-wqg4g,kube-system,1,0,0,""
2023-03-29 12:43:32.342134,k3s-master,"",flannel-fixer-deployment-5c468f87f8-kn7fh,kube-system,1,0,0,""
2023-03-29 12:43:32.542627,ea-k3s-node-eu-west-2-3,"",svclb-traefik-m5lkx,kube-system,0,0,0,""
2023-03-29 12:43:32.742197,ea-k3s-node-eu-west-2-2,"",delay-discovery-2z76p,default,0,0,0,""
2023-03-29 12:43:32.942584,ea-k3s-node-eu-west-2-1,"",svclb-traefik-frqxw,kube-system,0,0,0,""
2023-03-29 12:43:33.143201,k3s-master,"",community-3-57bf999865-qffjd,openfaas-fn,1,200,200,""
2023-03-29 12:43:33.341076,k3s-master,"",dispatcher-g8qp9,default,1,0,0,""
2023-03-29 12:43:33.54204,ea-k3s-node-eu-west-2-3,"",dispatcher-nftqr,default,1,0,0,""
2023-03-29 12:43:33.741279,k3s-master,"",traefik-7f48667fb9-cq7pt,kube-system,4,0,0,""
2023-03-29 12:43:33.941185,ea-k3s-node-eu-west-2-2,"",dispatcher-c7gpt,default,1,0,0,""
2023-03-29 12:43:34.141582,k3s-master,"",pod-autoscaler-76b6884b54-w88sl,kube-system,1,500,500,""
2023-03-29 12:43:34.34105,k3s-master,"",metrics-server-c6799cf48-92bwh,kube-system,5,0,0,""
2023-03-29 12:43:34.541411,ea-k3s-node-eu-west-2-1,"",dispatcher-qdnrw,default,1,0,0,""
2023-03-29 12:43:34.74134,k3s-master,"",svclb-traefik-5gzhf,kube-system,0,0,0,""
2023-03-29 12:43:34.941007,ea-k3s-node-eu-west-2-3,"",delay-discovery-lj6t7,default,0,0,0,""
2023-03-29 12:43:35.141247,ea-k3s-node-eu-west-2-1,"",edge-system-controller-847d657d8b-b8zwn,kube-system,1,100,200,""
2023-03-29 12:43:35.341516,ea-k3s-node-eu-west-2-2,"",workload-5cb5f8bd4d-92wlk,default,38,0,0,""
2023-03-29 12:43:35.542788,ea-k3s-node-eu-west-2-2,"",slpa-algorithm-76cd7d9b97-btpmb,default,1,100,200,""
2023-03-29 12:43:35.743144,ea-k3s-node-eu-west-2-2,"",svclb-traefik-7zqhk,kube-system,0,0,0,""
2023-03-29 12:43:40.747071,ea-k3s-node-eu-west-2-1,"",edge-system-controller-847d657d8b-b8zwn,kube-system,1,100,200,""
2023-03-29 12:43:40.749727,ea-k3s-node-eu-west-2-2,"",workload-5cb5f8bd4d-92wlk,default,38,0,0,""
2023-03-29 12:43:40.751879,ea-k3s-node-eu-west-2-3,"",delay-discovery-lj6t7,default,0,0,0,""
2023-03-29 12:43:40.753094,ea-k3s-node-eu-west-2-2,"",svclb-traefik-7zqhk,kube-system,0,0,0,""
2023-03-29 12:43:40.754285,ea-k3s-node-eu-west-2-2,"",slpa-algorithm-76cd7d9b97-btpmb,default,1,100,200,""
2023-03-29 12:43:40.756357,k3s-master,"",custom-metrics-apiserver-8586695c47-d84mh,custom-metrics,58,200,200,""
2023-03-29 12:43:40.758367,ea-k3s-node-eu-west-2-3,"",allocation-algorithm-77df96cb9b-gdwb4,default,1,500,1000,""
2023-03-29 12:43:40.760676,k3s-master,"",delay-discovery-75t5g,default,0,0,0,""
2023-03-29 12:43:40.762782,k3s-master,"",monitoring-747bdc64bc-jrpb4,default,0,0,0,""
2023-03-29 12:43:40.764873,ea-k3s-node-eu-west-2-3,graph-mst,graph-mst-jdwgfw6j,openfaas-fn,1,627,627,community-3
2023-03-29 12:43:40.947257,k3s-master,"",coredns-5b5bf59798-thdhj,kube-system,3,0,0,""
2023-03-29 12:43:41.147013,k3s-master,"",podscale-controller-57f68c67fc-clw2s,kube-system,3,100,200,""
2023-03-29 12:43:41.347464,k3s-master,"",cpu-monitoring-7bbd5b549b-ljnpj,kube-system,18,0,0,""
2023-03-29 12:43:41.547125,k3s-master,"",local-path-provisioner-79c4646df5-wqg4g,kube-system,1,0,0,""
2023-03-29 12:43:41.747187,ea-k3s-node-eu-west-2-1,"",delay-discovery-8tzpp,default,1,0,0,""
2023-03-29 12:43:41.946723,ea-k3s-node-eu-west-2-1,"",metrics-database-6c5586d74-8wmq5,kube-system,125,0,0,""
