timestamp,node,function,namespace,community,latency,gpu
2023-03-29 16:49:13.989418,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,185,f
2023-03-29 16:49:15.087793,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,193,f
2023-03-29 16:49:16.191319,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,198,f
2023-03-29 16:49:17.289743,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,193,f
2023-03-29 16:49:18.389014,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,194,f
2023-03-29 16:49:19.406288,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,105,f
2023-03-29 16:49:20.403774,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,92,f
2023-03-29 16:49:21.401719,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,92,f
2023-03-29 16:49:22.398473,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,92,f
2023-03-29 16:49:23.401412,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,97,f
2023-03-29 16:49:28.890655,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,56,f
2023-03-29 16:49:29.886535,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,91,f
2023-03-29 16:49:30.882396,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,91,f
2023-03-29 16:49:31.875379,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,88,f
2023-03-29 16:49:32.875042,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,95,f
2023-03-29 16:49:33.875996,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,91,f
2023-03-29 16:49:34.87578,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,96,f
2023-03-29 16:49:35.875581,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,96,f
2023-03-29 16:49:36.877957,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,99,f
2023-03-29 16:49:37.876865,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,95,f
2023-03-29 16:49:38.843971,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,57,f
2023-03-29 16:49:39.807816,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,58,f
2023-03-29 16:49:40.787142,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,74,f
2023-03-29 16:49:41.749944,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,57,f
2023-03-29 16:49:42.711876,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,56,f
2023-03-29 16:49:43.680305,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,57,f
2023-03-29 16:49:44.643445,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,58,f
2023-03-29 16:49:45.606488,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,57,f
2023-03-29 16:49:46.567678,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,56,f
2023-03-29 16:49:47.530103,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,57,f
2023-03-29 16:49:48.498411,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,57,f
2023-03-29 16:49:49.495328,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,91,f
2023-03-29 16:49:50.495929,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,95,f
2023-03-29 16:49:51.48908,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,87,f
2023-03-29 16:49:52.488756,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,95,f
2023-03-29 16:49:58.085089,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,162,f
2023-03-29 16:49:59.184937,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,194,f
2023-03-29 16:50:00.28499,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,194,f
2023-03-29 16:50:01.475467,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,285,f
2023-03-29 16:50:02.58851,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,207,f
2023-03-29 16:50:03.689549,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,191,f
2023-03-29 16:50:04.787218,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,194,f
2023-03-29 16:50:05.888992,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,198,f
2023-03-29 16:50:06.978307,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,186,f
2023-03-29 16:50:07.999272,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,117,f
2023-03-29 16:50:18.011203,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,57,f
2023-03-29 16:50:18.970411,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,56,f
2023-03-29 16:50:19.930224,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,57,f
2023-03-29 16:50:20.890523,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,57,f
2023-03-29 16:50:21.85158,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,57,f
2023-03-29 16:50:22.820376,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,58,f
2023-03-29 16:50:23.782986,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,57,f
2023-03-29 16:50:24.748376,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,60,f
2023-03-29 16:50:25.711502,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,57,f
2023-03-29 16:50:26.673826,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,57,f
2023-03-29 16:50:27.64058,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,57,f
2023-03-29 16:50:28.60051,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,56,f
2023-03-29 16:50:29.561445,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,57,f
2023-03-29 16:50:30.523119,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,58,f
2023-03-29 16:50:31.48456,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,57,f
2023-03-29 16:50:32.450757,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,56,f
2023-03-29 16:50:33.413193,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,57,f
2023-03-29 16:50:34.376044,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,58,f
2023-03-29 16:50:35.338077,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,57,f
2023-03-29 16:50:36.299651,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,56,f
2023-03-29 16:50:37.289029,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,79,f
2023-03-29 16:50:38.284261,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,91,f
2023-03-29 16:50:39.282924,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,95,f
2023-03-29 16:50:40.284012,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,97,f
2023-03-29 16:50:41.282174,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,95,f
2023-03-29 16:50:42.397616,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,200,f
2023-03-29 16:50:43.575921,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,277,f
2023-03-29 16:50:44.68694,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,206,f
2023-03-29 16:50:45.787833,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,195,f
2023-03-29 16:50:46.938764,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,246,f
2023-03-29 16:50:48.050752,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,200,f
2023-03-29 16:50:48.950089,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,126,f
2023-03-29 16:50:49.147022,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,192,f
2023-03-29 16:50:50.075644,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,219,f
2023-03-29 16:50:50.2926,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,239,f
2023-03-29 16:50:51.188103,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,206,f
2023-03-29 16:50:51.259282,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,62,f
2023-03-29 16:50:52.15933,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,65,f
2023-03-29 16:50:52.383641,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,219,f
2023-03-29 16:50:53.283897,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,218,f
2023-03-29 16:50:54.390168,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,195,f
2023-03-29 16:50:55.47651,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,182,f
2023-03-29 16:50:56.497645,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,116,f
2023-03-29 16:50:57.457527,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,55,f
2023-03-29 16:50:57.874492,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,56,f
2023-03-29 16:50:58.451241,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,89,f
2023-03-29 16:50:58.849572,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,70,f
2023-03-29 16:50:59.447592,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,85,f
2023-03-29 16:50:59.857928,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,103,f
2023-03-29 16:51:00.479063,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,126,f
2023-03-29 16:51:00.856442,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,94,f
2023-03-29 16:51:01.449331,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,65,f
2023-03-29 16:51:01.850596,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,89,f
2023-03-29 16:51:02.448092,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,93,f
2023-03-29 16:51:03.44726,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,93,f
2023-03-29 16:51:04.448708,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,90,f
2023-03-29 16:51:05.412859,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,58,f
2023-03-29 16:51:06.375508,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,57,f
2023-03-29 16:51:07.3503,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,69,f
2023-03-29 16:51:08.348368,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,93,f
2023-03-29 16:51:09.318005,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,59,f
2023-03-29 16:51:10.278272,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,56,f
2023-03-29 16:51:11.241008,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,57,f
2023-03-29 16:51:11.867329,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,57,f
2023-03-29 16:51:12.203228,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,57,f
2023-03-29 16:51:12.830372,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,57,f
2023-03-29 16:51:13.163403,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,56,f
2023-03-29 16:51:13.791675,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,56,f
2023-03-29 16:51:14.754552,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,58,f
2023-03-29 16:51:15.752806,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,92,f
2023-03-29 16:51:21.386339,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,194,f
2023-03-29 16:51:22.360514,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,73,f
2023-03-29 16:51:23.241581,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,125,f
2023-03-29 16:51:23.443341,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,178,f
2023-03-29 16:51:24.258255,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,113,f
2023-03-29 16:51:24.40414,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,56,f
2023-03-29 16:51:25.219654,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,56,f
2023-03-29 16:51:25.364241,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,56,f
2023-03-29 16:51:26.18947,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,65,f
2023-03-29 16:51:27.248198,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,154,f
2023-03-29 16:51:28.347564,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,190,f
2023-03-29 16:51:29.30887,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,57,f
2023-03-29 16:51:30.268837,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,56,f
2023-03-29 16:51:31.287206,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,114,f
2023-03-29 16:51:32.252638,thumbnailer,ea-k3s-node-eu-west-2-2,openfaas-fn,community-3,57,f
2023-03-29 16:51:34.549812,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,129,f
2023-03-29 16:51:35.394434,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,67,f
2023-03-29 16:51:35.645502,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,192,f
2023-03-29 16:51:36.442311,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,143,f
2023-03-29 16:51:36.663454,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,113,f
2023-03-29 16:51:37.576253,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,229,f
2023-03-29 16:51:37.664617,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,97,f
2023-03-29 16:51:37.855262,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,174,f
2023-03-29 16:51:38.553665,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,72,f
2023-03-29 16:51:38.783394,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,215,f
2023-03-29 16:51:38.855454,thumbnailer,ea-k3s-node-eu-west-2-3,openfaas-fn,community-3,96,f
2023-03-29 16:51:39.591235,thumbnailer,ea-k3s-node-eu-west-2-1,openfaas-fn,community-3,131,f
