timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-03-29 17:14:10.127928,k3s-master,"",pod-autoscaler-76b6884b54-phmrz,kube-system,1,500,500,""
2023-03-29 17:14:10.129253,k3s-master,"",coredns-5b5bf59798-jtfj2,kube-system,3,0,0,""
2023-03-29 17:14:10.130504,ea-k3s-node-eu-west-2-1,"",workload-5cb5f8bd4d-md7kj,default,16,0,0,""
2023-03-29 17:14:10.131746,ea-k3s-node-eu-west-2-1,thumbnailer,thumbnailer-yrw2syxa,openfaas-fn,1,200,200,community-3
2023-03-29 17:14:10.134258,ea-k3s-node-eu-west-2-2,"",allocation-algorithm-77df96cb9b-vwzlc,default,1,500,1000,""
2023-03-29 17:14:10.138457,ea-k3s-node-eu-west-2-3,"",svclb-traefik-ggth7,kube-system,0,0,0,""
2023-03-29 17:14:10.140371,k3s-master,"",delay-discovery-5x4mj,default,0,0,0,""
2023-03-29 17:14:10.142403,ea-k3s-node-eu-west-2-1,"",delay-discovery-mjnql,default,0,0,0,""
2023-03-29 17:14:10.145221,ea-k3s-node-eu-west-2-3,"",edge-system-controller-847d657d8b-m2lmf,kube-system,1,100,200,""
2023-03-29 17:14:10.329128,ea-k3s-node-eu-west-2-1,dynamic-html,dynamic-html-f29nkvax,openfaas-fn,1,200,200,community-3
2023-03-29 17:14:10.529214,k3s-master,"",cpu-monitoring-7bbd5b549b-62skl,kube-system,17,0,0,""
2023-03-29 17:14:10.728817,k3s-master,"",local-path-provisioner-79c4646df5-bx2h6,kube-system,1,0,0,""
2023-03-29 17:14:10.92855,ea-k3s-node-eu-west-2-2,"",svclb-traefik-7zfzf,kube-system,0,0,0,""
2023-03-29 17:14:11.128012,ea-k3s-node-eu-west-2-2,"",delay-discovery-gc8cq,default,0,0,0,""
2023-03-29 17:14:11.328114,k3s-master,"",community-3-57bf999865-jt724,openfaas-fn,1,200,200,""
2023-03-29 17:14:11.529552,ea-k3s-node-eu-west-2-3,"",delay-discovery-pdwzx,default,0,0,0,""
2023-03-29 17:14:11.729157,ea-k3s-node-eu-west-2-3,"",metrics-database-6c5586d74-qql6m,kube-system,8,0,0,""
2023-03-29 17:14:11.929227,ea-k3s-node-eu-west-2-3,"",dispatcher-qkfb9,default,1,0,0,""
2023-03-29 17:14:12.12953,k3s-master,"",flannel-fixer-deployment-5c468f87f8-hfdzj,kube-system,1,0,0,""
2023-03-29 17:14:12.329248,k3s-master,"",dispatcher-q8wl9,default,1,0,0,""
2023-03-29 17:14:12.528641,k3s-master,"",metrics-server-c6799cf48-htjg4,kube-system,4,0,0,""
2023-03-29 17:14:12.728332,k3s-master,"",monitoring-747bdc64bc-rzgxj,default,0,0,0,""
2023-03-29 17:14:12.929414,ea-k3s-node-eu-west-2-1,compression,compression-pc27ari0,openfaas-fn,1,200,200,community-3
2023-03-29 17:14:13.128144,ea-k3s-node-eu-west-2-2,"",dispatcher-c9kt5,default,1,0,0,""
2023-03-29 17:14:13.32871,k3s-master,"",custom-metrics-apiserver-8586695c47-7v5pv,custom-metrics,5,200,200,""
2023-03-29 17:14:13.528577,k3s-master,"",traefik-7f48667fb9-jrg6n,kube-system,3,0,0,""
2023-03-29 17:14:13.730059,ea-k3s-node-eu-west-2-1,"",svclb-traefik-k4lnb,kube-system,0,0,0,""
