timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-03-29 21:14:25.560243,k3s-master,"",custom-metrics-apiserver-8586695c47-7v5pv,custom-metrics,5,200,200,""
2023-03-29 21:14:25.561675,k3s-master,"",traefik-7f48667fb9-jrg6n,kube-system,3,0,0,""
2023-03-29 21:14:25.562906,ea-k3s-node-eu-west-2-1,"",svclb-traefik-k4lnb,kube-system,0,0,0,""
2023-03-29 21:14:25.5641,ea-k3s-node-eu-west-2-1,"",dispatcher-t949m,default,1,0,0,""
2023-03-29 21:14:25.565374,k3s-master,"",svclb-traefik-k4z42,kube-system,0,0,0,""
2023-03-29 21:14:25.566723,k3s-master,"",podscale-controller-57f68c67fc-fs7kv,kube-system,3,100,200,""
2023-03-29 21:14:25.567881,ea-k3s-node-eu-west-2-1,"",slpa-algorithm-76cd7d9b97-8dmnx,default,1,100,200,""
2023-03-29 21:14:25.569129,k3s-master,"",pod-autoscaler-76b6884b54-phmrz,kube-system,1,500,500,""
2023-03-29 21:14:25.570323,k3s-master,"",coredns-5b5bf59798-jtfj2,kube-system,3,0,0,""
2023-03-29 21:14:25.57155,ea-k3s-node-eu-west-2-1,"",allocation-algorithm-649945b9dc-vzxsf,default,1,500,1000,""
2023-03-29 21:14:25.962251,ea-k3s-node-eu-west-2-3,"",svclb-traefik-ggth7,kube-system,0,0,0,""
2023-03-29 21:14:26.162296,k3s-master,"",delay-discovery-5x4mj,default,2,0,0,""
2023-03-29 21:14:26.361646,ea-k3s-node-eu-west-2-1,"",delay-discovery-mjnql,default,0,0,0,""
2023-03-29 21:14:26.56082,ea-k3s-node-eu-west-2-3,"",edge-system-controller-847d657d8b-m2lmf,kube-system,1,100,200,""
2023-03-29 21:14:26.761665,ea-k3s-node-eu-west-2-2,thumbnailer,thumbnailer-q1py5nmj,openfaas-fn,1,200,200,community-3
2023-03-29 21:14:26.962304,k3s-master,"",cpu-monitoring-7bbd5b549b-62skl,kube-system,14,0,0,""
2023-03-29 21:14:27.161891,k3s-master,"",local-path-provisioner-79c4646df5-bx2h6,kube-system,1,0,0,""
2023-03-29 21:14:27.36235,ea-k3s-node-eu-west-2-3,"",workload-5cb5f8bd4d-95bvf,default,13,0,0,""
2023-03-29 21:14:27.562089,ea-k3s-node-eu-west-2-2,compression,compression-21uubpmm,openfaas-fn,1,200,200,community-3
2023-03-29 21:14:27.761646,ea-k3s-node-eu-west-2-2,"",delay-discovery-gc8cq,default,0,0,0,""
2023-03-29 21:14:27.961969,k3s-master,"",community-3-57bf999865-2pf7q,openfaas-fn,1,200,200,""
2023-03-29 21:14:28.161731,ea-k3s-node-eu-west-2-3,"",delay-discovery-pdwzx,default,0,0,0,""
2023-03-29 21:14:28.361443,ea-k3s-node-eu-west-2-3,"",metrics-database-6c5586d74-qql6m,kube-system,9,0,0,""
2023-03-29 21:14:28.562372,ea-k3s-node-eu-west-2-3,"",dispatcher-qkfb9,default,1,0,0,""
2023-03-29 21:14:28.761654,k3s-master,"",flannel-fixer-deployment-5c468f87f8-hfdzj,kube-system,1,0,0,""
2023-03-29 21:14:28.961566,k3s-master,"",dispatcher-q8wl9,default,1,0,0,""
2023-03-29 21:14:29.16157,ea-k3s-node-eu-west-2-2,"",svclb-traefik-7zfzf,kube-system,0,0,0,""
2023-03-29 21:14:29.362275,ea-k3s-node-eu-west-2-2,dynamic-html,dynamic-html-wx9hshx6,openfaas-fn,1,300,300,community-3
2023-03-29 21:14:29.56186,k3s-master,"",metrics-server-c6799cf48-htjg4,kube-system,5,0,0,""
2023-03-29 21:14:29.761707,k3s-master,"",monitoring-747bdc64bc-rzgxj,default,0,0,0,""
2023-03-29 21:14:29.962377,ea-k3s-node-eu-west-2-2,"",dispatcher-c9kt5,default,1,0,0,""
2023-03-29 21:14:34.966033,k3s-master,"",podscale-controller-57f68c67fc-fs7kv,kube-system,3,100,200,""
