timestamp,node,function,namespace,community,latency,gpu
2023-03-29 02:02:52.715426,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,793,f
2023-03-29 02:02:54.416573,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,794,f
2023-03-29 02:02:55.537382,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,215,f
2023-03-29 02:02:56.717827,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,274,f
2023-03-29 02:02:57.834959,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,211,f
2023-03-29 02:02:58.937952,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,192,f
2023-03-29 02:03:00.108658,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,267,f
2023-03-29 02:03:01.217215,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,205,f
2023-03-29 02:03:02.316416,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,196,f
2023-03-29 02:03:03.407333,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,187,f
2023-03-29 02:03:13.458253,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,94,f
2023-03-29 02:03:14.458766,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,92,f
2023-03-29 02:03:15.461656,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,95,f
2023-03-29 02:03:16.46309,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,93,f
2023-03-29 02:03:17.463095,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,92,f
2023-03-29 02:03:18.466785,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,92,f
2023-03-29 02:03:19.654587,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,284,f
2023-03-29 02:03:20.650298,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,91,f
2023-03-29 02:03:21.649104,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,95,f
2023-03-29 02:03:22.644928,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,92,f
2023-03-29 02:03:23.64797,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,95,f
2023-03-29 02:03:24.643179,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,91,f
2023-03-29 02:03:25.638823,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,92,f
2023-03-29 02:03:26.637508,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,94,f
2023-03-29 02:03:27.632317,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,91,f
2023-03-29 02:03:28.636953,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,95,f
2023-03-29 02:03:29.634684,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,91,f
2023-03-29 02:03:30.632504,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,91,f
2023-03-29 02:03:31.636168,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,98,f
2023-03-29 02:03:32.633434,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,91,f
2023-03-29 02:03:33.635992,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,91,f
2023-03-29 02:03:34.638855,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,93,f
2023-03-29 02:03:35.641985,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,95,f
2023-03-29 02:03:36.643287,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,93,f
2023-03-29 02:03:37.643598,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,92,f
2023-03-29 02:03:38.64841,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,92,f
2023-03-29 02:03:39.644922,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,93,f
2023-03-29 02:03:40.641001,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,92,f
2023-03-29 02:03:41.636067,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,91,f
2023-03-29 02:03:42.631609,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,92,f
2023-03-29 02:03:43.633935,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,93,f
2023-03-29 02:03:44.637718,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,96,f
2023-03-29 02:03:45.638137,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,94,f
2023-03-29 02:03:46.639304,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,94,f
2023-03-29 02:03:47.642133,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,96,f
2023-03-29 02:03:48.648349,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,93,f
2023-03-29 02:03:49.651247,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,93,f
2023-03-29 02:03:50.65041,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,91,f
2023-03-29 02:03:51.651687,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,93,f
2023-03-29 02:03:52.650706,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,91,f
2023-03-29 02:03:53.659606,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,96,f
2023-03-29 02:03:54.659332,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,92,f
2023-03-29 02:03:55.656942,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,91,f
2023-03-29 02:03:56.655978,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,92,f
2023-03-29 02:03:57.655353,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,92,f
2023-03-29 02:03:58.660801,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,93,f
2023-03-29 02:03:59.661457,graph-bfs,ea-k3s-node-eu-west-2-2,openfaas-fn,community-2,93,f
