timestamp,node,function,pod,namespace,cores,requests,limits,community
2023-03-29 02:03:05.924436,k3s-master,"",traefik-7f48667fb9-zwhjr,kube-system,3,0,0,""
2023-03-29 02:03:05.925772,ea-k3s-node-eu-west-2-3,"",svclb-traefik-gczkc,kube-system,0,0,0,""
2023-03-29 02:03:05.926956,ea-k3s-node-eu-west-2-1,"",dispatcher-gd7fq,default,1,0,0,""
2023-03-29 02:03:05.928789,k3s-master,"",custom-metrics-apiserver-8586695c47-wskng,custom-metrics,4,200,200,""
2023-03-29 02:03:05.931232,k3s-master,"",coredns-5b5bf59798-5zph8,kube-system,3,0,0,""
2023-03-29 02:03:05.933255,k3s-master,"",community-2-676fc9656c-2p5c4,openfaas-fn,2,200,200,""
2023-03-29 02:03:05.935266,ea-k3s-node-eu-west-2-3,"",delay-discovery-vqjpx,default,2,0,0,""
2023-03-29 02:03:05.938015,k3s-master,"",flannel-fixer-deployment-5c468f87f8-4ffdt,kube-system,1,0,0,""
2023-03-29 02:03:05.939975,ea-k3s-node-eu-west-2-1,"",allocation-algorithm-649945b9dc-z6jm5,default,18,500,1000,""
2023-03-29 02:03:05.941851,ea-k3s-node-eu-west-2-2,graph-bfs,graph-bfs-0g7ujmxb,openfaas-fn,1,450,450,community-2
2023-03-29 02:03:06.126569,k3s-master,"",metrics-server-c6799cf48-lgqc5,kube-system,6,0,0,""
2023-03-29 02:03:06.524526,k3s-master,"",monitoring-747bdc64bc-48gvh,default,0,0,0,""
2023-03-29 02:03:06.725425,ea-k3s-node-eu-west-2-2,"",workload-5cb5f8bd4d-pwpkg,default,1,0,0,""
2023-03-29 02:03:06.924952,k3s-master,"",delay-discovery-c8ksz,default,0,0,0,""
2023-03-29 02:03:07.125676,ea-k3s-node-eu-west-2-2,"",delay-discovery-pbhgc,default,0,0,0,""
2023-03-29 02:03:07.325208,k3s-master,"",pod-autoscaler-76b6884b54-4cpkn,kube-system,1,500,500,""
2023-03-29 02:03:07.525827,ea-k3s-node-eu-west-2-3,"",edge-system-controller-847d657d8b-gc7qt,kube-system,1,100,200,""
2023-03-29 02:03:07.726401,ea-k3s-node-eu-west-2-2,"",svclb-traefik-6m9ft,kube-system,0,0,0,""
2023-03-29 02:03:07.925407,ea-k3s-node-eu-west-2-2,"",slpa-algorithm-76cd7d9b97-cg2lh,default,1,100,200,""
2023-03-29 02:03:08.125164,ea-k3s-node-eu-west-2-1,"",delay-discovery-fk8f5,default,0,0,0,""
2023-03-29 02:03:08.325954,ea-k3s-node-eu-west-2-3,"",dispatcher-9lbqh,default,1,0,0,""
2023-03-29 02:03:08.526515,k3s-master,"",dispatcher-f7fp6,default,2,0,0,""
2023-03-29 02:03:08.725647,k3s-master,"",local-path-provisioner-79c4646df5-qgz56,kube-system,1,0,0,""
2023-03-29 02:03:08.926314,ea-k3s-node-eu-west-2-3,"",metrics-database-6c5586d74-t4v8d,kube-system,14,0,0,""
2023-03-29 02:03:09.126062,k3s-master,"",cpu-monitoring-7bbd5b549b-6f8zw,kube-system,15,0,0,""
2023-03-29 02:03:09.325188,k3s-master,"",podscale-controller-57f68c67fc-dh4r4,kube-system,3,100,200,""
2023-03-29 02:03:09.525092,ea-k3s-node-eu-west-2-2,"",dispatcher-7mv6d,default,1,0,0,""
2023-03-29 02:03:09.725944,k3s-master,"",svclb-traefik-h88wx,kube-system,0,0,0,""
2023-03-29 02:03:09.926467,ea-k3s-node-eu-west-2-1,"",svclb-traefik-jh5d8,kube-system,0,0,0,""
2023-03-29 02:03:14.929832,k3s-master,"",delay-discovery-c8ksz,default,0,0,0,""
2023-03-29 02:03:14.931068,ea-k3s-node-eu-west-2-2,"",delay-discovery-pbhgc,default,0,0,0,""
2023-03-29 02:03:14.933267,k3s-master,"",monitoring-747bdc64bc-48gvh,default,0,0,0,""
2023-03-29 02:03:14.935286,ea-k3s-node-eu-west-2-2,"",workload-5cb5f8bd4d-pwpkg,default,1,0,0,""
2023-03-29 02:03:14.936932,ea-k3s-node-eu-west-2-3,"",edge-system-controller-847d657d8b-gc7qt,kube-system,1,100,200,""
2023-03-29 02:03:14.938126,ea-k3s-node-eu-west-2-2,"",svclb-traefik-6m9ft,kube-system,0,0,0,""
2023-03-29 02:03:14.940145,k3s-master,"",pod-autoscaler-76b6884b54-4cpkn,kube-system,1,500,500,""
2023-03-29 02:03:14.941252,ea-k3s-node-eu-west-2-3,"",dispatcher-9lbqh,default,1,0,0,""
2023-03-29 02:03:14.942376,k3s-master,"",dispatcher-f7fp6,default,2,0,0,""
2023-03-29 02:03:14.944373,k3s-master,"",local-path-provisioner-79c4646df5-qgz56,kube-system,1,0,0,""
2023-03-29 02:03:15.129204,ea-k3s-node-eu-west-2-3,"",metrics-database-6c5586d74-t4v8d,kube-system,14,0,0,""
2023-03-29 02:03:15.329305,k3s-master,"",cpu-monitoring-7bbd5b549b-6f8zw,kube-system,15,0,0,""
2023-03-29 02:03:15.530125,ea-k3s-node-eu-west-2-2,"",slpa-algorithm-76cd7d9b97-cg2lh,default,1,100,200,""
2023-03-29 02:03:15.73066,ea-k3s-node-eu-west-2-1,"",delay-discovery-fk8f5,default,0,0,0,""
2023-03-29 02:03:15.930357,k3s-master,"",podscale-controller-57f68c67fc-dh4r4,kube-system,3,100,200,""
2023-03-29 02:03:16.130715,k3s-master,"",svclb-traefik-h88wx,kube-system,0,0,0,""
2023-03-29 02:03:16.328916,ea-k3s-node-eu-west-2-1,"",svclb-traefik-jh5d8,kube-system,0,0,0,""
2023-03-29 02:03:16.530384,ea-k3s-node-eu-west-2-2,"",dispatcher-7mv6d,default,1,0,0,""
2023-03-29 02:03:16.730256,k3s-master,"",traefik-7f48667fb9-zwhjr,kube-system,3,0,0,""
2023-03-29 02:03:16.9309,ea-k3s-node-eu-west-2-3,"",svclb-traefik-gczkc,kube-system,0,0,0,""
2023-03-29 02:03:17.130657,ea-k3s-node-eu-west-2-1,"",dispatcher-gd7fq,default,1,0,0,""
2023-03-29 02:03:17.330307,k3s-master,"",custom-metrics-apiserver-8586695c47-wskng,custom-metrics,4,200,200,""
2023-03-29 02:03:17.530195,ea-k3s-node-eu-west-2-3,"",delay-discovery-vqjpx,default,2,0,0,""
2023-03-29 02:03:17.730111,k3s-master,"",flannel-fixer-deployment-5c468f87f8-4ffdt,kube-system,1,0,0,""
2023-03-29 02:03:17.93079,k3s-master,"",coredns-5b5bf59798-5zph8,kube-system,3,0,0,""
2023-03-29 02:03:18.130401,k3s-master,"",community-2-676fc9656c-2p5c4,openfaas-fn,2,200,200,""
2023-03-29 02:03:18.330276,k3s-master,"",metrics-server-c6799cf48-lgqc5,kube-system,6,0,0,""
2023-03-29 02:03:18.729932,ea-k3s-node-eu-west-2-1,"",allocation-algorithm-649945b9dc-z6jm5,default,18,500,1000,""
2023-03-29 02:03:18.930208,ea-k3s-node-eu-west-2-2,graph-bfs,graph-bfs-0g7ujmxb,openfaas-fn,1,1012,1012,community-2
2023-03-29 02:03:23.934364,k3s-master,"",flannel-fixer-deployment-5c468f87f8-4ffdt,kube-system,1,0,0,""
2023-03-29 02:03:23.935668,k3s-master,"",coredns-5b5bf59798-5zph8,kube-system,3,0,0,""
2023-03-29 02:03:23.936845,k3s-master,"",community-2-676fc9656c-2p5c4,openfaas-fn,2,200,200,""
2023-03-29 02:03:23.937999,ea-k3s-node-eu-west-2-3,"",delay-discovery-vqjpx,default,2,0,0,""
2023-03-29 02:03:23.940997,ea-k3s-node-eu-west-2-1,"",allocation-algorithm-649945b9dc-z6jm5,default,18,500,1000,""
2023-03-29 02:03:23.942138,ea-k3s-node-eu-west-2-2,graph-bfs,graph-bfs-0g7ujmxb,openfaas-fn,1,1278,1278,community-2
2023-03-29 02:03:23.943303,k3s-master,"",metrics-server-c6799cf48-lgqc5,kube-system,6,0,0,""
2023-03-29 02:03:23.945509,ea-k3s-node-eu-west-2-2,"",delay-discovery-pbhgc,default,0,0,0,""
2023-03-29 02:03:23.946628,k3s-master,"",monitoring-747bdc64bc-48gvh,default,0,0,0,""
2023-03-29 02:03:24.135456,ea-k3s-node-eu-west-2-2,"",workload-5cb5f8bd4d-pwpkg,default,1,0,0,""
2023-03-29 02:03:24.335185,k3s-master,"",delay-discovery-c8ksz,default,0,0,0,""
2023-03-29 02:03:24.536019,ea-k3s-node-eu-west-2-2,"",svclb-traefik-6m9ft,kube-system,0,0,0,""
2023-03-29 02:03:24.734597,k3s-master,"",pod-autoscaler-76b6884b54-4cpkn,kube-system,1,500,500,""
2023-03-29 02:03:24.936283,ea-k3s-node-eu-west-2-3,"",edge-system-controller-847d657d8b-gc7qt,kube-system,1,100,200,""
2023-03-29 02:03:25.135766,k3s-master,"",cpu-monitoring-7bbd5b549b-6f8zw,kube-system,15,0,0,""
2023-03-29 02:03:25.33473,ea-k3s-node-eu-west-2-2,"",slpa-algorithm-76cd7d9b97-cg2lh,default,1,100,200,""
2023-03-29 02:03:25.535349,ea-k3s-node-eu-west-2-1,"",delay-discovery-fk8f5,default,0,0,0,""
2023-03-29 02:03:25.735609,ea-k3s-node-eu-west-2-3,"",dispatcher-9lbqh,default,1,0,0,""
2023-03-29 02:03:25.935833,k3s-master,"",dispatcher-f7fp6,default,2,0,0,""
2023-03-29 02:03:26.135707,k3s-master,"",local-path-provisioner-79c4646df5-qgz56,kube-system,1,0,0,""
2023-03-29 02:03:26.336182,ea-k3s-node-eu-west-2-3,"",metrics-database-6c5586d74-t4v8d,kube-system,14,0,0,""
2023-03-29 02:03:26.536063,k3s-master,"",podscale-controller-57f68c67fc-dh4r4,kube-system,3,100,200,""
2023-03-29 02:03:26.735967,ea-k3s-node-eu-west-2-1,"",svclb-traefik-jh5d8,kube-system,0,0,0,""
2023-03-29 02:03:26.936709,ea-k3s-node-eu-west-2-2,"",dispatcher-7mv6d,default,1,0,0,""
2023-03-29 02:03:27.136609,k3s-master,"",svclb-traefik-h88wx,kube-system,0,0,0,""
2023-03-29 02:03:27.335408,ea-k3s-node-eu-west-2-3,"",svclb-traefik-gczkc,kube-system,0,0,0,""
2023-03-29 02:03:27.536159,k3s-master,"",traefik-7f48667fb9-zwhjr,kube-system,3,0,0,""
2023-03-29 02:03:27.735908,k3s-master,"",custom-metrics-apiserver-8586695c47-wskng,custom-metrics,4,200,200,""
2023-03-29 02:03:27.936779,ea-k3s-node-eu-west-2-1,"",dispatcher-gd7fq,default,1,0,0,""
2023-03-29 02:03:32.94004,ea-k3s-node-eu-west-2-3,"",delay-discovery-vqjpx,default,2,0,0,""
2023-03-29 02:03:32.942327,k3s-master,"",flannel-fixer-deployment-5c468f87f8-4ffdt,kube-system,1,0,0,""
2023-03-29 02:03:32.944569,k3s-master,"",coredns-5b5bf59798-5zph8,kube-system,3,0,0,""
2023-03-29 02:03:32.946637,k3s-master,"",community-2-676fc9656c-2p5c4,openfaas-fn,2,200,200,""
2023-03-29 02:03:32.948661,k3s-master,"",metrics-server-c6799cf48-lgqc5,kube-system,6,0,0,""
2023-03-29 02:03:32.953202,ea-k3s-node-eu-west-2-1,"",allocation-algorithm-649945b9dc-z6jm5,default,18,500,1000,""
2023-03-29 02:03:32.955228,ea-k3s-node-eu-west-2-2,graph-bfs,graph-bfs-0g7ujmxb,openfaas-fn,1,1404,1404,community-2
2023-03-29 02:03:32.957162,k3s-master,"",delay-discovery-c8ksz,default,0,0,0,""
2023-03-29 02:03:32.958283,ea-k3s-node-eu-west-2-2,"",delay-discovery-pbhgc,default,0,0,0,""
2023-03-29 02:03:33.140638,k3s-master,"",monitoring-747bdc64bc-48gvh,default,0,0,0,""
2023-03-29 02:03:33.340865,ea-k3s-node-eu-west-2-2,"",workload-5cb5f8bd4d-pwpkg,default,1,0,0,""
2023-03-29 02:03:33.539736,ea-k3s-node-eu-west-2-3,"",edge-system-controller-847d657d8b-gc7qt,kube-system,1,100,200,""
2023-03-29 02:03:33.739413,ea-k3s-node-eu-west-2-2,"",svclb-traefik-6m9ft,kube-system,0,0,0,""
2023-03-29 02:03:33.940968,k3s-master,"",pod-autoscaler-76b6884b54-4cpkn,kube-system,1,500,500,""
2023-03-29 02:03:34.139728,k3s-master,"",local-path-provisioner-79c4646df5-qgz56,kube-system,1,0,0,""
2023-03-29 02:03:34.339352,ea-k3s-node-eu-west-2-3,"",metrics-database-6c5586d74-t4v8d,kube-system,14,0,0,""
2023-03-29 02:03:34.539148,k3s-master,"",cpu-monitoring-7bbd5b549b-6f8zw,kube-system,15,0,0,""
2023-03-29 02:03:34.740886,ea-k3s-node-eu-west-2-2,"",slpa-algorithm-76cd7d9b97-cg2lh,default,1,100,200,""
